PLAYER,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
Mikki Moore,2000-04-22,24-170,DET,AWAY,MIA,L (-10),0,19:17,2,5,0.4,0,0,,2,2,1.0,2,4,6,1,1,0,1,3,6,5.4,1
Mikki Moore,2000-04-25,24-173,DET,AWAY,MIA,L (-2),0,7:33,2,3,0.667,0,0,,0,0,,1,1,2,1,0,0,0,2,4,3.6,2
Mikki Moore,2000-04-29,24-177,DET,HOME,MIA,L (-19),0,15:18,1,4,0.25,0,0,,6,6,1.0,4,0,4,1,0,0,3,4,8,4.5,-5
Mikki Moore,2007-04-21,31-168,NJN,AWAY,TOR,W (+5),1,28:08,3,8,0.375,0,0,,3,4,0.75,3,4,7,0,2,1,1,4,9,7.6,15
Mikki Moore,2007-04-24,31-171,NJN,AWAY,TOR,L (-6),1,32:48,3,4,0.75,0,0,,2,3,0.667,3,3,6,1,0,1,1,3,8,8.2,7
Mikki Moore,2007-04-27,31-174,NJN,HOME,TOR,W (+13),1,25:34,3,6,0.5,0,0,,1,1,1.0,0,1,1,1,1,0,1,3,7,3.8,11
Mikki Moore,2007-04-29,31-176,NJN,HOME,TOR,W (+21),1,32:06,3,7,0.429,0,0,,0,0,,1,6,7,1,0,1,2,5,6,2.2,26
Mikki Moore,2007-05-01,31-178,NJN,AWAY,TOR,L (-2),1,32:28,3,9,0.333,0,0,,0,0,,3,7,10,1,1,1,0,3,6,6.3,-10
Mikki Moore,2007-05-04,31-181,NJN,HOME,TOR,W (+1),1,28:00,5,6,0.833,0,0,,0,0,,2,6,8,2,0,1,2,5,10,9.1,5
Mikki Moore,2007-05-06,31-183,NJN,AWAY,CLE,L (-4),1,36:55,4,9,0.444,0,0,,2,2,1.0,2,1,3,1,1,1,1,3,10,7.2,-9
Mikki Moore,2007-05-08,31-185,NJN,AWAY,CLE,L (-10),1,39:17,6,8,0.75,0,0,,3,5,0.6,1,2,3,0,0,0,2,5,15,8.3,-8
Mikki Moore,2007-05-12,31-189,NJN,HOME,CLE,W (+11),1,34:12,5,9,0.556,0,0,,1,2,0.5,4,1,5,4,2,0,3,3,11,10.0,27
Mikki Moore,2007-05-14,31-191,NJN,HOME,CLE,L (-2),1,39:05,11,14,0.786,0,0,,3,3,1.0,2,2,4,0,0,1,3,5,25,17.3,3
Mikki Moore,2007-05-16,31-193,NJN,AWAY,CLE,W (+11),1,33:12,6,12,0.5,0,0,,2,2,1.0,1,5,6,2,1,0,2,5,14,8.6,10
Mikki Moore,2007-05-18,31-195,NJN,HOME,CLE,L (-16),1,37:31,4,8,0.5,0,0,,6,7,0.857,1,6,7,1,2,0,2,3,14,11.6,10
Mikki Moore,2009-04-18,33-165,BOS,HOME,CHI,L (-2),0,5:31,1,3,.333,0,0,,0,0,,2,2,4,0,0,0,0,0,2,2.3,-6
Mikki Moore,2009-04-20,33-167,BOS,HOME,CHI,W (+3),0,11:35,1,1,1.000,0,0,,0,0,,1,1,2,1,0,1,0,2,2,3.3,-17
Mikki Moore,2009-04-23,33-170,BOS,AWAY,CHI,W (+21),0,20:18,0,0,,0,0,,1,2,.500,0,2,2,2,1,3,1,5,1,2.7,-4
Mikki Moore,2009-04-26,33-173,BOS,AWAY,CHI,L (-3),0,6:10,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,-9
Mikki Moore,2009-04-30,33-177,BOS,AWAY,CHI,L (-1),0,2:50,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
Mikki Moore,2009-05-02,33-179,BOS,HOME,CHI,W (+10),0,2:39,1,1,1.000,0,0,,2,2,1.000,1,1,2,0,0,0,0,0,4,4.7,+6
Mikki Moore,2009-05-06,33-183,BOS,HOME,ORL,W (+18),0,1:40,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,1.6,-2
Mikki Moore,2009-05-08,33-185,BOS,AWAY,ORL,L (-21),0,6:15,1,1,1.000,0,0,,0,0,,0,1,1,1,1,0,0,1,2,3.3,-6
Mikki Moore,2009-05-10,33-187,BOS,AWAY,ORL,W (+1),0,6:40,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.8,+1
Mikki Moore,2009-05-17,33-194,BOS,HOME,ORL,L (-19),0,2:08,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.7,+4
Vassilis Spanoulis,2007-04-28,24-264,HOU,AWAY,UTA,L (-13),0,2:49,1,2,.500,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,4,4.0,+10
JaJuan Johnson,2014-04-19,27-058,MEM,AWAY,OKC,L (-14),0,5:50,1,3,.333,1,1,1.000,1,2,.500,0,1,1,0,0,0,0,0,4,2.2,-6
JaJuan Johnson,2014-04-26,27-065,MEM,HOME,OKC,L (-3),0,3:43,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-3
JaJuan Johnson,2014-05-01,27-070,MEM,HOME,OKC,L (-20),0,18:14,4,11,.364,1,4,.250,6,8,.750,4,1,5,0,1,0,0,1,15,11.8,0
JaJuan Johnson,2010-04-17,23-056,CHI,AWAY,CLE,L (-13),0,0:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
JaJuan Johnson,2010-04-19,23-058,CHI,AWAY,CLE,L (-10),0,4:52,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.9,-5
JaJuan Johnson,2010-04-22,23-061,CHI,HOME,CLE,W (+2),0,5:29,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,3,0,-1.5,+2
JaJuan Johnson,2010-04-25,23-064,CHI,HOME,CLE,L (-23),0,8:54,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,5,0,-3.0,-3
JaJuan Johnson,2016-04-23,29-063,TOR,AWAY,IND,L (-17),0,3:19,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,2.7,+2
JaJuan Johnson,2016-05-05,29-075,TOR,HOME,MIA,W (+4),0,4:58,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+2
JaJuan Johnson,2016-05-13,29-083,TOR,AWAY,MIA,L (-12),0,6:23,0,1,.000,0,1,.000,0,0,,1,0,1,0,1,0,1,1,0,-0.4,-2
JaJuan Johnson,2016-05-15,29-085,TOR,HOME,MIA,W (+27),0,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
JaJuan Johnson,2016-05-17,29-087,TOR,AWAY,CLE,L (-31),0,19:38,4,6,.667,2,2,1.000,0,0,,1,3,4,1,1,0,2,4,10,7.1,-6
JaJuan Johnson,2016-05-19,29-089,TOR,AWAY,CLE,L (-19),0,19:20,5,7,.714,1,2,.500,0,1,.000,0,3,3,1,0,0,0,2,11,8.5,-7
JaJuan Johnson,2016-05-21,29-091,TOR,HOME,CLE,W (+15),0,10:41,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,3.0,+1
JaJuan Johnson,2016-05-23,29-093,TOR,HOME,CLE,W (+6),0,6:05,1,2,.500,0,0,,0,0,,1,0,1,1,0,0,1,1,2,1.0,-3
JaJuan Johnson,2016-05-25,29-095,TOR,AWAY,CLE,L (-38),0,11:04,0,3,.000,0,1,.000,0,0,,0,3,3,1,1,0,1,2,0,-1.3,-3
JaJuan Johnson,2016-05-27,29-097,TOR,HOME,CLE,L (-26),0,14:55,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,2,2,2,-2.9,-8
JaJuan Johnson,2015-04-21,28-060,TOR,HOME,WAS,L (-11),0,7:07,2,3,.667,0,0,,0,4,.000,0,0,0,0,0,0,0,0,4,1.1,-14
JaJuan Johnson,2015-04-26,28-065,TOR,AWAY,WAS,L (-31),0,4:47,0,3,.000,0,0,,0,2,.000,0,2,2,1,0,0,0,0,0,-1.6,+6
JaJuan Johnson,2018-04-14,31-053,MIA,AWAY,PHI,L (-27),1,24:44,5,9,0.556,2,2,1.0,1,2,0.5,0,3,3,4,0,0,2,1,13,9.6,-13
JaJuan Johnson,2018-04-16,31-055,MIA,AWAY,PHI,W (+10),1,36:34,7,7,1.0,2,2,1.0,2,3,0.667,1,6,7,5,3,1,3,4,18,20.6,6
JaJuan Johnson,2018-04-19,31-058,MIA,HOME,PHI,L (-20),1,31:40,4,9,0.444,2,3,0.667,2,4,0.5,1,6,7,5,1,2,1,3,12,12.7,-19
JaJuan Johnson,2018-04-21,31-060,MIA,HOME,PHI,L (-4),1,35:51,5,12,0.417,1,4,0.25,4,5,0.8,1,7,8,5,1,1,3,4,15,11.6,-10
JaJuan Johnson,2018-04-24,31-063,MIA,AWAY,PHI,L (-13),1,31:41,2,5,0.4,0,2,0.0,0,0,,0,5,5,5,1,2,1,5,4,5.7,-6
Deandre Ayton,2021-05-23,22-304,PHO,HOME,LAL,W (+9),1,36:43,10,11,.909,0,0,,1,2,.500,8,8,16,0,0,1,1,3,21,23.4,+16
Deandre Ayton,2021-05-25,22-306,PHO,HOME,LAL,L (-7),1,42:14,11,13,.846,0,0,,0,0,,2,8,10,1,0,0,1,4,22,19.2,-5
Deandre Ayton,2021-05-27,22-308,PHO,AWAY,LAL,L (-14),1,41:11,11,15,.733,0,0,,0,1,.000,4,7,11,0,1,2,4,4,22,17.2,-14
Deandre Ayton,2021-05-30,22-311,PHO,AWAY,LAL,W (+8),1,38:29,6,8,.750,0,0,,2,5,.400,2,15,17,0,2,1,0,4,14,16.6,+12
Deandre Ayton,2021-06-01,22-313,PHO,HOME,LAL,W (+30),1,27:16,2,3,.667,0,0,,4,6,.667,2,5,7,2,0,0,0,2,8,9.4,+25
Deandre Ayton,2021-06-03,22-315,PHO,AWAY,LAL,W (+13),1,31:52,3,4,.750,0,0,,2,2,1.000,0,3,3,1,0,0,0,1,8,7.6,0
Deandre Ayton,2021-06-07,22-319,PHO,HOME,DEN,W (+17),1,36:25,9,13,.692,0,0,,2,2,1.000,3,7,10,0,1,0,1,1,20,18.3,+13
Deandre Ayton,2021-06-09,22-321,PHO,HOME,DEN,W (+25),1,25:40,6,10,.600,0,0,,3,4,.750,2,8,10,0,0,0,3,2,15,10.0,+16
Deandre Ayton,2021-06-11,22-323,PHO,AWAY,DEN,W (+14),1,36:58,4,8,.500,0,0,,2,2,1.000,3,12,15,2,0,0,0,1,10,12.7,+18
Deandre Ayton,2021-06-13,22-325,PHO,AWAY,DEN,W (+7),1,33:57,6,10,.600,0,0,,0,0,,1,6,7,0,1,1,1,4,12,9.0,+15
Deandre Ayton,2021-06-20,22-332,PHO,HOME,LAC,W (+6),1,36:32,10,14,.714,0,0,,0,0,,3,6,9,2,0,0,1,1,20,18.1,-7
Deandre Ayton,2021-06-22,22-334,PHO,HOME,LAC,W (+1),1,34:32,12,15,.800,0,0,,0,1,.000,3,11,14,1,1,1,1,3,24,23.5,+4
Deandre Ayton,2021-06-24,22-336,PHO,AWAY,LAC,L (-14),1,35:35,9,13,.692,0,0,,0,1,.000,4,5,9,0,1,2,0,2,18,18.0,-25
Deandre Ayton,2021-06-26,22-338,PHO,AWAY,LAC,W (+4),1,41:16,8,14,.571,0,0,,3,3,1.000,9,13,22,3,1,4,3,4,19,23.9,+8
Deandre Ayton,2021-06-28,22-340,PHO,HOME,LAC,L (-14),1,36:53,5,9,.556,0,0,,0,0,,3,8,11,1,1,1,2,1,10,10.2,-22
