DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2000-04-22,26-316,PHI,AWAY,CHH,W (+10),0,0:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Ira Bowman
2000-04-24,26-318,PHI,AWAY,CHH,L (-10),0,0:30,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,Ira Bowman
2000-04-28,26-322,PHI,HOME,CHH,W (+5),0,0:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Ira Bowman
2000-05-06,26-330,PHI,AWAY,IND,L (-17),0,2:57,0,0,,0,0,,0,2,.000,0,0,0,1,0,0,0,0,0,-0.1,+3,Ira Bowman
2000-05-10,26-334,PHI,HOME,IND,L (-8),0,0:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,Ira Bowman
2000-05-13,26-337,PHI,HOME,IND,W (+2),0,0:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,Ira Bowman
2000-05-19,26-343,PHI,HOME,IND,L (-16),0,2:42,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0,Ira Bowman
2000-04-25,24-158,PHO,AWAY,SAS,L (-15),0,0:22,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,Toby Bailey
2000-05-02,24-165,PHO,HOME,SAS,W (+11),0,0:47,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,Toby Bailey
2000-05-07,24-170,PHO,AWAY,LAL,L (-28),0,4:25,1,1,1.000,0,0,,2,4,.500,1,0,1,0,0,0,0,0,4,3.6,-7,Toby Bailey
2000-05-14,24-177,PHO,HOME,LAL,W (+19),0,3:27,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,-3,Toby Bailey
