DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2014-10-28,19-042,ORL,AWAY,NOP,L (-17),0,28:27,.688,.688,6.5,2.6,4.3,0.0,1.8,2.0,27.3,16.7,97,110,6.6,-1.2,Aaron Gordon
2014-10-30,19-044,ORL,HOME,WAS,L (-7),0,17:30,.450,.500,0.0,30.5,15.7,8.7,0.0,0.0,18.4,14.8,76,110,2.1,-4.5,Aaron Gordon
2014-11-01,19-046,ORL,HOME,TOR,L (-13),0,6:36,.000,.000,16.5,15.8,16.2,19.1,0.0,0.0,50.0,13.8,52,117,-1.2,-18.2,Aaron Gordon
2014-11-04,19-049,ORL,AWAY,CHI,L (-8),0,13:43,.500,.500,7.3,0.0,3.8,0.0,0.0,5.8,0.0,20.0,110,114,3.6,-3.6,Aaron Gordon
2014-11-05,19-050,ORL,AWAY,PHI,W (+2),0,7:29,.500,.500,13.9,59.7,36.0,0.0,0.0,0.0,50.0,21.9,57,88,0.9,-9.6,Aaron Gordon
2014-11-07,19-052,ORL,HOME,MIN,W (+9),0,21:46,.824,.778,5.9,24.8,16.2,7.8,0.0,6.5,0.0,20.9,176,94,17.4,20.3,Aaron Gordon
2014-11-09,19-054,ORL,AWAY,BRK,L (-8),0,16:26,.291,.333,0.0,14.6,7.7,0.0,3.2,4.2,22.5,13.1,43,108,0.4,-8.7,Aaron Gordon
2014-11-11,19-056,ORL,AWAY,TOR,L (-4),0,9:47,.174,.000,12.0,25.8,18.6,12.6,0.0,0.0,25.8,18.3,58,113,-0.2,-14.1,Aaron Gordon
2014-11-12,19-057,ORL,AWAY,NYK,W (+2),0,14:10,1.268,1.500,0.0,7.7,4.4,0.0,0.0,0.0,26.6,13.5,175,115,5.2,3.5,Aaron Gordon
2014-11-14,19-059,ORL,HOME,MIL,W (+16),0,14:49,1.031,1.000,0.0,24.3,11.7,38.4,3.4,5.3,0.0,11.8,217,81,11.8,25.6,Aaron Gordon
2014-11-15,19-060,ORL,AWAY,WAS,L (-5),0,14:17,.615,.750,8.4,16.8,12.6,0.0,0.0,0.0,17.0,19.6,102,110,3.5,-2.7,Aaron Gordon
2014-11-17,19-062,ORL,AWAY,DET,W (+14),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Aaron Gordon
2014-11-19,19-064,ORL,HOME,LAC,L (-24),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Aaron Gordon
2014-11-21,19-066,ORL,AWAY,CHO,W (+5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Aaron Gordon
