DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2006-11-17,22-153,BOS,HOME,POR,W (+28),0,5:36,.129,.000,0.0,0.0,0.0,22.0,0.0,0.0,0.0,32.7,47,107,-0.8,-26.8,Allan Ray
2006-11-22,22-158,BOS,AWAY,CHA,L (-9),0,0:20,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,94,-1.1,-160.2,Allan Ray
2006-12-04,22-170,BOS,AWAY,CHI,L (-18),0,11:37,.699,.750,9.4,10.1,9.7,0.0,4.4,0.0,13.4,29.3,108,103,5.8,9.8,Allan Ray
2006-12-13,22-179,BOS,AWAY,PHI,W (+20),0,4:34,.000,.000,0.0,0.0,0.0,0.0,11.5,0.0,50.0,21.5,0,73,-1.5,-21.2,Allan Ray
2006-12-20,22-186,BOS,HOME,GSW,L (-1),0,0:06,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,113,0.0,-5.5,Allan Ray
2006-12-22,22-188,BOS,HOME,PHI,L (-15),0,4:25,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,0,120,-1.8,-30.6,Allan Ray
2006-12-26,22-192,BOS,AWAY,DEN,L (-11),0,18:03,.530,.550,0.0,5.3,2.6,0.0,2.7,0.0,15.0,29.3,91,119,5.1,-5.5,Allan Ray
2006-12-27,22-193,BOS,AWAY,LAC,L (-23),0,6:25,.000,.000,0.0,36.5,17.2,0.0,0.0,0.0,41.0,35.3,0,113,-4.4,-43.9,Allan Ray
2006-12-29,22-195,BOS,AWAY,GSW,L (-10),0,2:16,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.7,0,129,-1.0,-30.1,Allan Ray
2007-01-10,22-207,BOS,HOME,IND,L (-13),0,9:35,.214,.214,0.0,0.0,0.0,20.9,10.9,0.0,0.0,33.9,55,92,0.4,-4.2,Allan Ray
2007-01-12,22-209,BOS,HOME,TOR,L (-9),0,25:57,.362,.308,0.0,10.0,4.6,7.8,0.0,0.0,0.0,25.6,84,109,2.8,-8.7,Allan Ray
2007-01-13,22-210,BOS,AWAY,DET,L (-8),0,8:17,.347,.000,0.0,11.8,6.2,20.0,0.0,0.0,25.8,22.0,67,100,0.6,-8.6,Allan Ray
2007-01-15,22-212,BOS,AWAY,ATL,L (-4),0,28:11,.879,.833,4.7,4.2,4.4,0.0,1.9,0.0,19.3,25.1,142,115,15.9,9.0,Allan Ray
2007-01-19,22-216,BOS,HOME,SAC,L (-5),0,3:37,.500,.500,35.9,0.0,17.5,55.9,0.0,0.0,0.0,27.3,137,120,2.0,7.4,Allan Ray
2007-01-20,22-217,BOS,AWAY,WAS,L (-5),0,32:41,.720,.692,0.0,4.2,2.1,5.5,1.6,0.0,12.6,22.2,127,119,12.9,3.8,Allan Ray
2007-01-22,22-219,BOS,HOME,SAS,L (-4),0,21:39,.429,.429,0.0,22.2,8.9,14.0,0.0,0.0,12.5,17.6,89,109,2.8,-2.1,Allan Ray
2007-01-24,22-221,BOS,HOME,ATL,L (-6),0,16:19,.051,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,13,105,-5.7,-23.4,Allan Ray
2007-01-26,22-223,BOS,AWAY,TOR,L (-6),0,24:10,.660,.625,0.0,18.9,10.3,7.9,0.0,0.0,18.9,31.2,103,113,8.3,-0.3,Allan Ray
2007-01-28,22-225,BOS,HOME,WAS,L (-14),0,7:24,.500,.500,15.1,0.0,7.4,25.4,0.0,0.0,0.0,17.3,125,124,2.7,5.7,Allan Ray
