DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2020-12-23,36-330,MIA,AWAY,ORL,L (-6),0,16:50,.000,.000,15.4,12.1,13.6,0.0,2.7,4.8,60.0,12.6,28,103,-1.9,-12.5,Andre Iguodala
2020-12-25,36-332,MIA,HOME,NOP,W (+13),0,26:13,.600,.600,0.0,30.5,16.9,16.0,1.9,0.0,28.6,12.6,95,98,5.3,-0.6,Andre Iguodala
2020-12-29,36-336,MIA,HOME,MIL,L (-47),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Andre Iguodala
2020-12-30,36-337,MIA,HOME,MIL,W (+11),1,19:59,.000,.000,0.0,16.6,9.7,12.0,0.0,3.9,40.0,10.3,28,105,-1.2,-8.5,Andre Iguodala
2021-01-01,36-339,MIA,AWAY,DAL,L (-10),1,13:04,.300,.300,0.0,18.4,8.2,0.0,3.8,0.0,0.0,17.8,57,92,0.3,-5.8,Andre Iguodala
2021-01-04,36-342,MIA,HOME,OKC,W (+28),0,14:31,.900,.900,0.0,0.0,0.0,9.2,3.4,0.0,0.0,16.1,158,91,8.0,13.4,Andre Iguodala
2021-01-06,36-344,MIA,HOME,BOS,L (-2),0,20:34,.900,.900,0.0,4.5,2.5,8.3,0.0,0.0,0.0,11.6,158,123,7.7,5.3,Andre Iguodala
2021-01-09,36-347,MIA,AWAY,WAS,W (+4),0,13:45,.500,.500,0.0,12.0,7.0,16.4,0.0,5.9,0.0,8.7,129,113,3.6,0.8,Andre Iguodala
2021-01-12,36-350,MIA,AWAY,PHI,L (-3),0,22:24,.350,.350,9.5,14.8,12.1,40.5,2.1,0.0,9.1,19.6,109,120,8.0,1.3,Andre Iguodala
2021-01-14,36-352,MIA,AWAY,PHI,L (-17),0,25:00,1.000,1.000,0.0,15.6,7.6,40.3,0.0,0.0,66.7,5.1,131,124,5.8,3.0,Andre Iguodala
2021-01-16,36-354,MIA,HOME,DET,L (-20),0,21:25,.000,.000,0.0,6.2,3.2,7.0,0.0,0.0,40.0,11.1,14,131,-3.9,-17.7,Andre Iguodala
2021-01-18,36-356,MIA,HOME,DET,W (+6),0,20:42,.515,.333,0.0,17.0,10.2,11.4,4.9,0.0,20.5,11.2,105,106,5.2,0.3,Andre Iguodala
2021-01-20,36-358,MIA,AWAY,TOR,W (+9),0,21:31,1.083,1.083,6.0,8.9,7.7,8.0,2.4,11.4,25.0,16.9,134,103,12.8,15.0,Andre Iguodala
2021-01-22,36-360,MIA,AWAY,TOR,L (-20),0,21:22,.417,.417,6.1,22.5,14.6,7.9,11.9,0.0,0.0,13.4,94,84,9.2,10.3,Andre Iguodala
2021-01-23,36-361,MIA,AWAY,BRK,L (-4),0,26:03,.525,.500,0.0,14.5,7.1,9.2,5.3,0.0,29.6,11.2,83,115,5.4,-0.7,Andre Iguodala
2021-01-25,36-363,MIA,AWAY,BRK,L (-13),0,27:42,.460,.500,6.8,24.2,14.7,12.6,3.7,3.7,15.5,10.8,96,96,7.8,4.2,Andre Iguodala
2021-01-27,36-365,MIA,HOME,DEN,L (-27),0,16:14,.600,.600,0.0,33.6,17.0,61.4,0.0,0.0,0.0,14.7,142,114,7.9,11.6,Andre Iguodala
