DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2012-11-02,22-330,ORL,HOME,DEN,W (+13),0,11:18,.333,.333,20.7,0.0,9.3,11.3,0.0,7.3,25.0,16.2,86,104,0.9,-8.6,Andrew Nicholson
2012-11-04,22-332,ORL,HOME,PHO,W (+21),0,6:39,.644,.667,0.0,14.4,7.9,23.6,0.0,0.0,0.0,25.4,141,101,3.9,6.3,Andrew Nicholson
2012-11-06,22-334,ORL,AWAY,CHI,L (-6),0,6:51,.500,.500,0.0,51.3,24.4,0.0,0.0,0.0,0.0,13.4,101,103,1.1,-8.1,Andrew Nicholson
2012-11-07,22-335,ORL,AWAY,MIN,L (-15),0,26:31,.539,.375,8.0,12.9,10.4,0.0,0.0,6.5,16.4,20.5,101,99,6.3,-3.4,Andrew Nicholson
2012-11-09,22-337,ORL,HOME,BRK,L (-39),0,14:30,1.025,1.000,8.3,15.4,12.0,0.0,0.0,0.0,17.0,21.3,161,125,8.3,6.5,Andrew Nicholson
2012-11-11,22-339,ORL,AWAY,BRK,L (-8),0,3:14,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0,101,-1.1,-23.7,Andrew Nicholson
2012-11-13,22-341,ORL,HOME,NYK,L (-10),0,9:47,.628,.571,14.4,12.6,13.4,0.0,5.4,0.0,10.2,46.7,115,103,8.3,9.6,Andrew Nicholson
2012-11-16,22-344,ORL,AWAY,DET,W (+4),0,14:34,.375,.375,0.0,18.3,8.9,0.0,3.5,4.5,11.1,26.8,74,103,2.9,-8.7,Andrew Nicholson
2012-11-18,22-346,ORL,AWAY,TOR,L (-11),0,15:47,.435,.286,0.0,21.7,11.4,0.0,0.0,0.0,0.0,26.8,96,108,4.4,-2.2,Andrew Nicholson
2012-11-19,22-347,ORL,AWAY,ATL,L (-9),0,13:27,.400,.400,0.0,26.0,13.9,15.0,0.0,5.6,16.7,20.0,72,81,2.1,-1.6,Andrew Nicholson
2012-11-21,22-349,ORL,HOME,DET,W (+16),0,20:48,.759,.778,5.2,12.1,9.1,0.0,0.0,0.0,23.3,28.3,102,83,8.9,2.7,Andrew Nicholson
2012-11-23,22-351,ORL,HOME,CLE,W (+4),0,12:33,1.064,1.000,0.0,18.7,10.3,21.1,0.0,6.3,34.7,10.3,151,112,3.4,2.6,Andrew Nicholson
2012-11-25,22-353,ORL,HOME,BOS,L (-6),0,15:05,.667,.667,0.0,7.2,3.8,0.0,0.0,0.0,25.0,24.2,90,118,3.3,-8.5,Andrew Nicholson
2012-11-28,22-356,ORL,HOME,SAS,L (-21),0,13:00,.600,.600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,132,123,3.3,-2.6,Andrew Nicholson
2012-11-30,22-358,ORL,HOME,BRK,L (-12),0,17:00,.676,.625,7.4,14.5,11.0,0.0,0.0,0.0,0.0,26.3,138,122,9.7,7.1,Andrew Nicholson
2012-12-03,22-361,ORL,AWAY,GSW,W (+8),0,9:02,.200,.200,0.0,13.0,6.2,15.3,0.0,0.0,0.0,24.8,55,108,-0.5,-15.9,Andrew Nicholson
2012-12-05,22-363,ORL,AWAY,UTA,L (-6),0,8:02,.800,.800,0.0,14.6,7.1,0.0,0.0,0.0,0.0,28.9,155,102,6.0,16.8,Andrew Nicholson
2012-12-07,22-365,ORL,AWAY,SAC,L (-9),0,22:26,.595,.500,13.7,9.7,11.8,0.0,0.0,0.0,7.8,25.9,116,99,9.9,2.9,Andrew Nicholson
2012-12-09,23-001,ORL,AWAY,PHO,W (+8),0,25:00,.800,.818,5.8,38.4,23.7,25.4,8.4,0.0,14.4,25.9,131,81,20.5,18.4,Andrew Nicholson
2012-12-12,23-004,ORL,HOME,ATL,L (-6),0,25:57,.405,.333,12.3,20.0,15.8,0.0,0.0,0.0,9.2,20.0,89,101,4.0,-7.7,Andrew Nicholson
2012-12-14,23-006,ORL,HOME,GSW,W (+14),0,24:51,.697,.667,8.4,24.1,17.0,0.0,0.0,10.7,8.5,21.5,132,86,14.8,7.6,Andrew Nicholson
2012-12-15,23-007,ORL,AWAY,CHA,W (+9),0,16:29,.571,.571,0.0,21.8,11.8,0.0,0.0,0.0,0.0,20.1,119,110,4.4,-7.0,Andrew Nicholson
2012-12-17,23-009,ORL,HOME,MIN,W (+9),0,10:57,.000,.000,0.0,43.0,25.8,0.0,4.5,0.0,40.0,21.4,0,78,-2.4,-21.2,Andrew Nicholson
2012-12-19,23-011,ORL,HOME,WAS,W (+7),0,6:17,.000,.000,0.0,17.8,8.9,0.0,0.0,0.0,0.0,15.1,0,99,-1.1,-19.8,Andrew Nicholson
2012-12-21,23-013,ORL,AWAY,TOR,L (-3),1,19:45,.300,.300,0.0,22.1,12.6,8.8,2.8,0.0,23.1,32.8,51,100,-0.7,-16.4,Andrew Nicholson
2012-12-23,23-015,ORL,HOME,UTA,L (-4),0,10:52,.571,.571,0.0,0.0,0.0,0.0,0.0,0.0,12.5,34.8,97,117,3.3,-6.6,Andrew Nicholson
2012-12-26,23-018,ORL,HOME,NOH,L (-3),0,2:11,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,124,0.0,-10.1,Andrew Nicholson
2012-12-28,23-020,ORL,AWAY,WAS,L (-8),0,4:48,.250,.250,66.7,0.0,34.1,0.0,0.0,0.0,0.0,38.5,91,120,1.7,-14.7,Andrew Nicholson
2012-12-29,23-021,ORL,HOME,TOR,L (-35),1,26:26,.698,.714,0.0,37.4,16.1,0.0,2.1,0.0,0.0,29.3,136,137,17.3,4.6,Andrew Nicholson
2012-12-31,23-023,ORL,HOME,MIA,L (-2),1,17:10,.479,.500,14.7,7.5,11.2,0.0,0.0,0.0,0.0,28.4,115,124,5.5,-6.0,Andrew Nicholson
2013-01-02,23-025,ORL,HOME,CHI,L (-2),1,12:07,.600,.600,0.0,42.8,22.3,15.8,0.0,6.1,0.0,20.6,130,105,5.1,4.8,Andrew Nicholson
2013-01-05,23-028,ORL,HOME,NYK,L (-8),1,13:46,.854,.833,0.0,16.6,8.2,14.8,3.7,6.3,13.4,24.5,142,113,10.8,15.5,Andrew Nicholson
2013-01-07,23-030,ORL,AWAY,POR,L (-6),1,16:44,.680,.600,16.2,30.9,23.8,0.0,3.1,0.0,14.5,19.6,124,116,6.7,-4.6,Andrew Nicholson
2013-01-09,23-032,ORL,AWAY,DEN,L (-3),1,19:43,.600,.600,5.9,9.7,8.0,8.3,0.0,0.0,9.1,24.7,115,118,8.0,-1.1,Andrew Nicholson
2013-01-12,23-035,ORL,AWAY,LAC,W (+3),1,28:44,.500,.500,4.6,16.7,11.0,5.2,1.9,0.0,33.3,19.6,70,113,2.8,-10.6,Andrew Nicholson
2013-01-14,23-037,ORL,AWAY,WAS,L (-29),1,15:38,.375,.375,7.0,8.5,7.7,0.0,3.3,0.0,11.1,25.7,73,126,1.0,-15.3,Andrew Nicholson
2013-01-16,23-039,ORL,HOME,IND,W (+11),0,12:34,.250,.250,28.6,17.4,22.7,0.0,0.0,0.0,11.1,34.3,66,99,-1.5,-28.1,Andrew Nicholson
2013-01-18,23-041,ORL,HOME,CHA,L (-6),0,18:29,.727,.667,12.4,28.1,19.7,9.8,0.0,0.0,12.7,20.0,138,115,8.9,2.4,Andrew Nicholson
2013-01-22,23-045,ORL,AWAY,DET,L (-15),0,11:22,.600,.600,9.6,16.6,13.3,0.0,0.0,6.2,16.7,25.2,95,109,3.1,-6.9,Andrew Nicholson
2013-01-24,23-047,ORL,HOME,TOR,L (-2),0,4:13,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.2,0,116,-2.8,-44.2,Andrew Nicholson
2013-01-28,23-051,ORL,AWAY,BRK,L (-20),0,4:01,.000,.000,27.2,64.6,44.3,0.0,0.0,0.0,50.0,24.4,25,103,-0.4,-25.2,Andrew Nicholson
2013-01-30,23-053,ORL,AWAY,NYK,L (-16),0,7:32,.500,.500,18.7,19.3,19.0,0.0,0.0,0.0,0.0,27.1,116,137,3.0,-3.5,Andrew Nicholson
