DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2002-12-03,22-170,NJN,HOME,ATL,W (+15),0,2:00,1.042,1.000,0.0,47.1,24.0,0.0,0.0,0.0,41.0,51.0,101,64,2.0,16.2,Brandon Armstrong
2002-12-07,22-174,NJN,HOME,ORL,W (+33),0,6:13,.316,.200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9,75,107,0.1,-32.1,Brandon Armstrong
2002-12-09,22-176,NJN,HOME,PHO,W (+13),0,4:26,,,0.0,0.0,0.0,0.0,0.0,16.2,,0.0,0,96,-0.1,-0.7,Brandon Armstrong
2002-12-15,22-182,NJN,AWAY,DET,L (-10),0,10:30,.410,.250,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.8,75,118,-0.2,-13.2,Brandon Armstrong
2002-12-17,22-184,NJN,AWAY,NYK,L (-2),0,6:22,.000,.000,0.0,0.0,0.0,0.0,17.9,0.0,0.0,22.3,0,84,-0.1,-5.0,Brandon Armstrong
2002-12-19,22-186,NJN,HOME,LAL,W (+27),0,1:39,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,200,92,1.7,27.1,Brandon Armstrong
2002-12-23,22-190,NJN,HOME,CHI,W (+16),0,5:13,.000,.000,0.0,0.0,0.0,27.4,0.0,0.0,0.0,26.3,21,96,-1.4,-21.4,Brandon Armstrong
2002-12-25,22-192,NJN,HOME,BOS,W (+36),0,5:48,1.000,1.000,0.0,34.0,20.5,0.0,8.5,0.0,0.0,7.5,200,67,2.9,13.3,Brandon Armstrong
2002-12-27,22-194,NJN,HOME,MIL,W (+20),0,4:04,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,23.6,64,111,0.7,-8.0,Brandon Armstrong
2003-01-03,22-201,NJN,AWAY,MIA,W (+20),0,3:38,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.5,0,102,-1.0,-17.6,Brandon Armstrong
2003-01-23,22-221,NJN,AWAY,GSW,L (-8),0,0:36,.833,.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,184,129,3.7,216.4,Brandon Armstrong
2003-01-27,22-225,NJN,AWAY,DEN,W (+26),0,3:04,,,0.0,0.0,0.0,51.6,0.0,0.0,,0.0,210,81,0.7,9.3,Brandon Armstrong
2003-02-01,22-230,NJN,AWAY,DET,L (-22),0,1:56,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0,132,-0.7,-27.5,Brandon Armstrong
2003-02-05,22-234,NJN,AWAY,PHI,W (+26),0,4:30,.000,.000,0.0,26.7,15.8,0.0,0.0,0.0,0.0,13.1,0,96,-0.4,-14.0,Brandon Armstrong
2003-03-19,22-276,NJN,HOME,MIL,L (-19),0,1:00,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,41.8,0,115,-1.8,-91.0,Brandon Armstrong
2003-03-28,22-285,NJN,AWAY,NYK,W (+21),0,3:18,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,200,120,1.7,6.1,Brandon Armstrong
2003-04-16,22-304,NJN,AWAY,IND,L (-7),0,5:31,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0,115,-1.4,-19.6,Brandon Armstrong
2003-10-31,23-137,NJN,HOME,MIN,W (+23),0,15:54,.250,.250,0.0,6.8,3.8,0.0,0.0,0.0,0.0,23.1,57,78,-0.5,-12.0,Brandon Armstrong
2003-11-01,23-138,NJN,AWAY,WAS,W (+13),0,17:54,.650,.650,0.0,18.2,9.2,12.7,3.0,0.0,0.0,25.0,132,92,10.6,9.4,Brandon Armstrong
2003-11-04,23-141,NJN,HOME,HOU,L (-11),0,8:26,.000,.000,0.0,0.0,0.0,0.0,6.0,0.0,0.0,15.7,0,92,-1.9,-16.6,Brandon Armstrong
2003-11-06,23-143,NJN,HOME,IND,L (-6),0,5:33,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,200,108,1.7,5.0,Brandon Armstrong
2003-11-07,23-144,NJN,AWAY,BOS,W (+7),0,5:28,.833,.833,21.3,0.0,11.4,0.0,0.0,0.0,25.0,35.5,110,111,3.0,9.8,Brandon Armstrong
2003-11-09,23-146,NJN,AWAY,DET,L (-14),0,12:23,.250,.250,0.0,0.0,0.0,0.0,4.0,0.0,33.3,21.0,34,107,-2.2,-15.9,Brandon Armstrong
2003-11-12,23-149,NJN,HOME,SAS,L (-14),0,8:11,.250,.250,0.0,13.0,5.9,0.0,0.0,0.0,0.0,21.1,52,107,-0.1,-11.4,Brandon Armstrong
2003-11-14,23-151,NJN,HOME,NYK,W (+5),0,5:15,.000,.000,0.0,50.5,23.4,0.0,10.4,0.0,0.0,9.3,0,59,0.9,2.6,Brandon Armstrong
2003-11-15,23-152,NJN,AWAY,ATL,W (+15),0,14:47,.200,.200,0.0,7.4,4.2,0.0,7.2,0.0,16.7,19.6,34,88,-1.4,-13.9,Brandon Armstrong
2003-11-18,23-155,NJN,HOME,NOH,L (-3),0,14:50,.833,.833,0.0,13.3,7.3,0.0,0.0,0.0,0.0,19.6,151,107,7.2,10.9,Brandon Armstrong
2003-11-22,23-159,NJN,HOME,TOR,L (-1),0,4:41,.000,.000,0.0,27.4,14.8,29.1,12.6,0.0,33.3,32.2,19,77,-0.8,-17.0,Brandon Armstrong
2003-11-25,23-162,NJN,AWAY,SEA,W (+23),0,1:41,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,102,0.0,-5.1,Brandon Armstrong
2003-11-30,23-167,NJN,AWAY,SAC,L (-13),0,0:51,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6,200,119,1.7,48.8,Brandon Armstrong
2003-12-09,23-176,NJN,HOME,SEA,W (+13),0,6:31,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,20.0,33.8,0,111,-3.8,-43.1,Brandon Armstrong
2003-12-31,23-198,NJN,HOME,GSW,W (+18),0,2:59,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,33.5,0,98,-1.7,-40.3,Brandon Armstrong
2004-01-02,23-200,NJN,HOME,CLE,W (+15),0,1:31,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2,0,99,-0.7,-35.6,Brandon Armstrong
2004-01-06,23-204,NJN,HOME,LAC,W (+17),0,1:35,,,0.0,0.0,0.0,68.6,0.0,0.0,,0.0,214,98,0.7,19.2,Brandon Armstrong
