DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2009-03-09,29-102,WAS,AWAY,MIN,W (+11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Brendan Haywood
2009-03-11,29-104,WAS,HOME,NOH,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Brendan Haywood
2009-03-13,29-106,WAS,HOME,ORL,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Brendan Haywood
2009-03-15,29-108,WAS,HOME,SAC,W (+2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Brendan Haywood
2009-03-18,29-111,WAS,AWAY,LAC,L (-15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Brendan Haywood
2009-03-20,29-113,WAS,AWAY,DEN,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Brendan Haywood
2009-03-23,29-116,WAS,HOME,CHI,L (-2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Brendan Haywood
2009-03-25,29-118,WAS,HOME,CHA,W (+2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Brendan Haywood
2009-03-28,29-121,WAS,HOME,DET,L (-2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Brendan Haywood
2009-03-29,29-122,WAS,AWAY,IND,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Brendan Haywood
2009-04-01,29-125,WAS,AWAY,MEM,L (-5),0,24:04,.145,.167,5.2,5.0,5.1,0.0,2.2,9.8,22.5,16.1,33,119,-1.7,-15.4,Brendan Haywood
2009-04-02,29-126,WAS,HOME,CLE,W (+8),1,31:32,.607,.556,15.2,21.7,18.6,4.6,0.0,0.0,0.0,14.9,142,116,12.6,1.0,Brendan Haywood
2009-04-04,29-128,WAS,HOME,MIA,L (-14),1,34:57,.564,.583,16.7,26.0,21.1,19.4,0.0,3.0,5.9,22.4,124,127,17.7,1.7,Brendan Haywood
2009-04-08,29-132,WAS,AWAY,CLE,L (-12),1,22:27,.375,.375,0.0,31.2,17.0,0.0,0.0,6.2,20.0,21.8,61,106,1.9,-9.6,Brendan Haywood
2009-04-10,29-134,WAS,AWAY,TOR,W (+2),1,32:30,.550,.545,7.6,23.0,15.8,13.4,1.5,11.0,6.8,20.1,115,91,16.8,7.5,Brendan Haywood
2009-04-13,29-137,WAS,HOME,TOR,L (-1),1,29:54,.512,.500,3.7,8.4,6.4,0.0,3.3,8.1,38.1,11.1,67,96,4.8,-3.4,Brendan Haywood
2001-11-27,22-000,WAS,AWAY,CLE,L (-19),0,30:00,.250,.250,9.4,24.2,15.2,5.6,0.0,4.5,33.3,9.1,57,107,2.9,-7.9,Brendan Haywood
2001-11-28,22-001,WAS,AWAY,PHI,W (+7),0,29:52,.338,.250,8.0,15.6,11.9,0.0,0.0,2.5,31.1,10.3,65,102,0.3,-10.9,Brendan Haywood
2001-11-30,22-003,WAS,AWAY,MIA,W (+9),0,10:18,.500,.500,12.3,20.4,16.7,0.0,0.0,0.0,0.0,21.0,115,95,3.3,1.5,Brendan Haywood
2001-12-01,22-004,WAS,HOME,ORL,L (-9),0,26:48,.701,.750,21.8,12.1,17.2,0.0,2.0,5.2,0.0,20.7,152,106,19.1,14.5,Brendan Haywood
2001-12-04,22-007,WAS,AWAY,SAS,L (-15),0,22:19,.564,.500,12.5,5.5,8.7,0.0,0.0,0.0,0.0,22.1,123,119,6.7,-3.7,Brendan Haywood
2001-12-06,22-009,WAS,AWAY,HOU,W (+3),0,29:44,.727,.667,10.7,12.8,11.8,4.6,1.9,9.4,0.0,5.5,168,92,10.3,7.8,Brendan Haywood
2001-12-08,22-011,WAS,AWAY,DAL,W (+7),0,28:21,.786,.889,15.6,15.6,15.6,7.1,2.0,2.6,0.0,20.2,162,107,18.8,12.2,Brendan Haywood
2001-12-11,22-014,WAS,AWAY,MEM,W (+10),0,32:16,.590,.500,22.0,26.0,24.2,0.0,0.0,8.1,6.5,22.8,125,82,18.7,5.6,Brendan Haywood
2001-12-12,22-015,WAS,HOME,MIA,W (+2),0,24:00,.521,.500,34.3,26.3,30.1,0.0,0.0,6.2,41.0,10.6,101,95,5.5,-4.1,Brendan Haywood
2001-12-14,22-017,WAS,HOME,NYK,W (+16),0,22:56,.231,.333,0.0,17.8,9.5,5.8,0.0,9.3,0.0,8.9,58,87,1.5,-5.1,Brendan Haywood
2001-12-16,22-019,WAS,AWAY,TOR,W (+5),0,30:47,.726,.500,16.8,22.7,19.6,0.0,1.7,7.3,0.0,9.0,174,93,14.6,7.5,Brendan Haywood
2001-12-19,22-022,WAS,HOME,ATL,W (+27),0,26:35,.608,.750,14.0,6.1,9.3,0.0,2.1,15.8,14.8,11.9,110,87,11.4,6.4,Brendan Haywood
2001-12-21,22-024,WAS,AWAY,ORL,W (+18),0,17:56,.347,.250,7.2,27.6,19.6,8.0,0.0,11.0,14.8,17.9,84,77,3.5,-2.6,Brendan Haywood
2001-12-22,22-025,WAS,AWAY,NYK,W (+1),0,33:50,.477,.250,14.1,25.3,19.7,5.6,3.3,2.4,8.0,17.8,112,94,12.3,1.3,Brendan Haywood
2001-12-26,22-029,WAS,AWAY,CHH,L (-6),0,23:00,.000,.000,5.2,8.0,6.3,6.0,2.4,3.5,40.0,11.0,27,113,-1.5,-12.8,Brendan Haywood
2001-12-27,22-030,WAS,AWAY,IND,L (-27),0,28:41,.349,.333,13.2,26.3,19.4,0.0,0.0,0.0,13.4,23.3,76,120,3.5,-10.9,Brendan Haywood
2001-12-29,22-032,WAS,HOME,CHH,W (+17),0,12:19,.000,.000,0.0,26.1,14.5,0.0,0.0,0.0,0.0,8.1,0,102,-1.7,-15.2,Brendan Haywood
2001-12-31,22-034,WAS,HOME,NJN,W (+22),0,29:28,.218,.167,23.6,23.2,23.4,4.7,0.0,5.2,12.7,11.9,87,85,5.0,-2.7,Brendan Haywood
2002-01-04,22-038,WAS,HOME,CHI,W (+6),0,27:47,.846,1.000,13.5,18.7,16.6,6.8,0.0,4.6,15.8,11.3,143,93,11.2,5.2,Brendan Haywood
2002-01-08,22-042,WAS,HOME,LAC,W (+8),0,25:42,.571,.571,15.4,18.0,16.8,0.0,0.0,2.8,20.2,18.3,101,96,6.5,-2.2,Brendan Haywood
2002-01-11,22-045,WAS,AWAY,MIL,L (-19),0,25:39,.613,.667,16.1,20.5,18.0,6.3,0.0,2.6,13.3,12.9,123,123,9.1,-1.6,Brendan Haywood
2002-01-12,22-046,WAS,HOME,MIN,L (-8),0,13:59,1.042,1.000,7.3,0.0,3.8,10.2,0.0,5.0,0.0,4.6,215,130,4.0,3.2,Brendan Haywood
