DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2021-10-19,33-201,MIL,HOME,BRK,W (+23),1,28:10,.444,.444,6.6,11.1,8.7,0.0,1.7,9.8,0.0,12.8,106,97,7.1,-2.2,Brook Lopez
2022-03-14,33-347,MIL,AWAY,UTA,W (+6),0,14:32,.521,.375,8.7,0.0,3.8,9.0,3.3,0.0,14.8,20.2,106,114,3.0,-4.3,Brook Lopez
2022-03-16,33-349,MIL,AWAY,SAC,W (+9),0,15:22,.375,.375,0.0,13.6,7.3,0.0,0.0,0.0,0.0,11.0,80,124,-0.4,-13.4,Brook Lopez
2022-03-19,33-352,MIL,AWAY,MIN,L (-19),1,20:27,.663,.600,14.1,5.2,9.9,8.1,0.0,10.4,0.0,22.4,150,132,13.7,3.4,Brook Lopez
2022-03-22,33-355,MIL,HOME,CHI,W (+28),1,23:54,.556,.556,12.2,15.2,14.0,9.6,0.0,6.8,18.2,21.1,106,96,7.9,0.1,Brook Lopez
2022-03-24,33-357,MIL,HOME,WAS,W (+12),1,28:06,.509,.455,5.2,3.5,4.2,10.2,0.0,3.2,19.0,26.1,92,111,6.2,-8.1,Brook Lopez
2022-03-26,33-359,MIL,AWAY,MEM,L (-25),1,21:43,.556,.556,8.5,18.4,13.3,0.0,4.4,3.4,0.0,16.9,123,116,9.0,4.1,Brook Lopez
2022-03-29,33-362,MIL,AWAY,PHI,W (+2),1,29:01,.589,.571,3.8,7.5,5.6,0.0,0.0,0.0,12.2,25.2,102,123,7.3,-5.6,Brook Lopez
2022-03-31,33-364,MIL,AWAY,BRK,W (+1),1,20:51,.317,.286,0.0,15.0,7.8,0.0,0.0,4.2,20.2,19.9,54,107,-0.3,-12.1,Brook Lopez
2022-04-03,34-002,MIL,HOME,DAL,L (-6),1,22:19,.538,.538,4.7,15.4,8.7,0.0,4.4,0.0,0.0,25.0,109,116,9.4,2.2,Brook Lopez
2022-04-05,34-004,MIL,AWAY,CHI,W (+21),1,29:22,.780,.679,4.4,18.9,12.9,0.0,3.2,7.5,5.3,27.7,151,96,27.0,11.9,Brook Lopez
2022-04-07,34-006,MIL,HOME,BOS,W (+6),1,23:34,.469,.469,12.2,19.4,15.5,0.0,0.0,5.5,0.0,27.8,109,123,10.2,-6.7,Brook Lopez
2022-04-08,34-007,MIL,AWAY,DET,W (+30),1,21:04,.773,.773,10.4,9.1,9.7,0.0,0.0,5.4,8.3,23.1,137,102,13.0,8.0,Brook Lopez
2012-11-03,24-216,BRK,HOME,TOR,W (+7),1,31:35,.572,.471,8.4,10.9,9.7,0.0,1.6,2.4,4.1,32.7,120,103,18.9,4.9,Brook Lopez
2012-11-05,24-218,BRK,HOME,MIN,L (-11),1,32:04,.401,.357,0.0,32.4,16.2,0.0,1.8,4.4,5.8,27.4,78,117,8.2,-8.8,Brook Lopez
2012-11-07,24-220,BRK,AWAY,MIA,L (-30),1,20:34,.474,.500,10.4,33.3,20.4,11.3,0.0,4.4,0.0,18.5,111,114,7.5,5.5,Brook Lopez
2012-11-09,24-222,BRK,AWAY,ORL,W (+39),1,23:50,.694,.714,14.1,35.2,24.3,6.5,0.0,10.2,9.0,21.5,139,72,15.5,10.6,Brook Lopez
2012-11-11,24-224,BRK,HOME,ORL,W (+8),1,34:55,.530,.500,3.2,5.1,4.3,24.8,0.0,5.8,27.0,34.2,80,86,8.3,-2.0,Brook Lopez
