DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2018-10-17,22-063,DET,HOME,BRK,W (+3),1,18:52,.000,.000,0.0,13.8,6.0,6.5,0.0,4.6,25.0,8.8,14,99,-2.7,-11.9,Bruce Brown
2018-10-25,22-071,DET,HOME,CLE,W (+7),0,1:55,.000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0,115,-1.2,-35.5,Bruce Brown
2018-10-27,22-073,DET,HOME,BOS,L (-20),0,11:35,.510,.400,8.0,8.5,8.2,16.8,8.2,0.0,14.5,26.2,98,93,4.8,5.9,Bruce Brown
2018-10-30,22-076,DET,AWAY,BOS,L (-3),0,13:09,.635,.571,7.4,7.8,7.6,0.0,3.5,6.9,0.0,24.6,135,97,8.2,10.7,Bruce Brown
2018-10-31,22-077,DET,AWAY,BRK,L (-1),0,28:39,.436,.389,0.0,3.1,1.7,0.0,0.0,0.0,8.8,16.6,87,118,1.2,-9.4,Bruce Brown
2018-11-03,22-080,DET,AWAY,PHI,L (-10),1,11:47,.000,.000,8.3,10.2,9.2,0.0,3.8,0.0,0.0,10.4,24,100,-0.5,-7.9,Bruce Brown
2018-11-05,22-082,DET,HOME,MIA,L (-5),1,12:21,.000,.000,0.0,8.9,3.9,0.0,0.0,0.0,0.0,3.1,0,110,-1.2,-11.1,Bruce Brown
2018-11-09,22-086,DET,AWAY,ATL,W (+15),0,5:20,.000,.000,0.0,41.9,18.6,0.0,0.0,0.0,0.0,7.8,0,106,-0.5,-15.9,Bruce Brown
2018-11-23,22-100,DET,HOME,HOU,W (+5),0,25:14,.735,.667,5.1,4.0,4.5,5.9,6.3,0.0,0.0,8.4,167,107,9.2,8.1,Bruce Brown
2018-11-25,22-102,DET,HOME,PHO,W (+11),0,15:55,.333,.333,13.4,7.9,10.9,0.0,0.0,0.0,0.0,7.8,107,115,1.6,-8.4,Bruce Brown
2018-11-27,22-104,DET,HOME,NYK,W (+7),0,17:58,.333,.333,0.0,24.7,13.6,7.6,0.0,4.2,25.0,9.5,60,102,1.4,-5.2,Bruce Brown
2018-11-30,22-107,DET,HOME,CHI,W (+19),0,23:17,.500,.500,4.5,9.0,6.7,11.2,0.0,3.2,0.0,7.4,131,92,4.6,0.3,Bruce Brown
2018-12-01,22-108,DET,HOME,GSW,W (+9),0,14:34,.333,.333,0.0,8.0,3.6,8.3,3.3,0.0,25.0,11.2,64,102,-0.7,-9.2,Bruce Brown
2018-12-03,22-110,DET,HOME,OKC,L (-27),0,19:45,.678,.500,0.0,19.2,7.8,18.6,7.0,0.0,13.1,15.8,127,95,10.5,11.1,Bruce Brown
2018-12-05,22-112,DET,AWAY,MIL,L (-23),0,26:22,.750,.750,6.7,12.7,9.4,16.5,0.0,0.0,50.0,5.9,100,112,2.4,-3.1,Bruce Brown
2018-12-07,22-114,DET,HOME,PHI,L (-6),1,31:41,.700,.700,6.7,10.3,8.5,14.0,0.0,0.0,28.6,8.7,116,123,6.3,-1.7,Bruce Brown
2018-12-09,22-116,DET,HOME,NOP,L (-8),1,18:34,.500,.500,0.0,6.8,2.8,0.0,0.0,10.6,0.0,15.3,105,117,4.2,-2.1,Bruce Brown
2018-12-10,22-117,DET,AWAY,PHI,L (-14),1,24:55,.429,.429,0.0,3.7,2.0,10.9,0.0,3.8,0.0,12.5,102,124,3.9,-4.5,Bruce Brown
2018-12-12,22-119,DET,AWAY,CHO,L (-1),1,30:55,.680,.800,3.4,17.3,10.2,9.2,1.6,5.4,14.5,9.8,122,106,8.7,2.1,Bruce Brown
2018-12-15,22-122,DET,HOME,BOS,W (+9),0,16:00,.300,.300,0.0,12.0,6.5,0.0,0.0,4.9,16.7,15.9,52,105,-0.6,-10.6,Bruce Brown
2018-12-17,22-124,DET,HOME,MIL,L (-3),0,4:07,.000,.000,0.0,29.1,14.2,29.9,0.0,0.0,0.0,10.5,59,110,-0.1,-7.2,Bruce Brown
2018-12-19,22-126,DET,AWAY,MIN,W (+6),0,16:57,.500,.500,6.8,26.6,16.8,7.9,0.0,0.0,33.3,15.7,81,114,2.6,-5.4,Bruce Brown
2018-12-21,22-128,DET,AWAY,CHO,L (-12),0,15:20,.700,.700,0.0,7.8,3.7,41.5,0.0,18.4,0.0,14.8,154,104,7.2,15.7,Bruce Brown
2018-12-23,22-130,DET,HOME,ATL,L (-3),0,16:01,.625,.625,6.8,11.8,9.5,13.6,0.0,4.4,0.0,21.6,122,99,7.1,7.4,Bruce Brown
2018-12-26,22-133,DET,HOME,WAS,W (+11),1,22:25,.508,.500,5.9,15.7,11.1,0.0,2.2,0.0,0.0,15.2,114,99,5.7,-1.3,Bruce Brown
2018-12-28,22-135,DET,AWAY,IND,L (-37),1,20:39,.250,.250,8.9,0.0,5.3,17.2,0.0,3.4,0.0,23.6,73,128,1.9,-8.6,Bruce Brown
2018-12-30,22-137,DET,AWAY,ORL,L (-2),1,29:42,.563,.500,6.1,0.0,3.4,5.0,1.7,0.0,25.3,17.0,95,117,4.5,-6.3,Bruce Brown
2019-01-01,22-139,DET,AWAY,MIL,L (-23),1,28:51,.000,.000,9.6,24.5,15.5,14.3,0.0,0.0,0.0,10.1,50,127,-0.8,-11.9,Bruce Brown
2019-01-02,22-140,DET,AWAY,MEM,W (+7),1,20:29,.375,.375,10.9,16.3,13.6,13.9,0.0,0.0,0.0,9.4,119,109,2.7,-5.2,Bruce Brown
2019-01-05,22-143,DET,HOME,UTA,L (-5),1,34:50,.622,.429,0.0,9.0,4.8,27.7,0.0,0.0,29.3,17.3,108,114,8.9,0.7,Bruce Brown
2019-01-07,22-145,DET,HOME,SAS,L (-12),1,33:46,.400,.400,3.7,7.7,5.7,7.3,0.0,0.0,16.7,8.3,91,135,1.4,-8.9,Bruce Brown
2019-01-09,22-147,DET,AWAY,LAL,L (-13),1,23:40,.571,.571,4.5,0.0,2.5,13.1,0.0,0.0,12.5,16.0,110,128,4.6,-6.4,Bruce Brown
2019-01-10,22-148,DET,AWAY,SAC,L (-10),1,20:52,.631,.591,0.0,5.9,2.7,21.7,6.9,3.6,14.4,28.6,108,102,11.9,7.5,Bruce Brown
2019-01-12,22-150,DET,AWAY,LAC,W (+5),1,27:14,.127,.000,7.7,17.6,12.3,4.8,5.5,3.1,0.0,12.5,60,101,2.5,-5.8,Bruce Brown
2019-01-14,22-152,DET,AWAY,UTA,L (-6),1,14:19,.512,.375,13.7,7.6,10.8,10.6,0.0,0.0,17.0,18.6,106,111,3.2,-2.7,Bruce Brown
