DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2017-10-28,23-119,NOP,HOME,CLE,W (+22),0,2:56,.250,.250,0.0,0.0,0.0,0.0,16.3,0.0,0.0,57.9,54,72,0.6,-20.0,Charles Cooke
2017-11-15,23-137,NOP,HOME,TOR,L (-9),0,2:10,,,0.0,0.0,0.0,48.2,0.0,0.0,,0.0,222,136,0.7,8.3,Charles Cooke
2017-12-11,23-163,NOP,AWAY,HOU,L (-7),0,0:14,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,0.0,-5.3,Charles Cooke
2017-12-19,23-171,NOP,AWAY,WAS,L (-10),0,3:54,1.064,1.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,173,122,3.3,22.0,Charles Cooke
2017-12-22,23-174,NOP,AWAY,ORL,W (+14),0,5:21,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,24.1,0,107,-2.4,-29.5,Charles Cooke
2017-12-23,23-175,NOP,AWAY,MIA,W (+15),0,3:29,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0,118,-0.7,-22.0,Charles Cooke
2018-02-03,23-217,NOP,AWAY,MIN,L (-11),0,1:47,.000,.000,0.0,59.8,26.6,0.0,0.0,0.0,0.0,22.2,0,112,-0.4,-25.8,Charles Cooke
2018-02-12,23-226,NOP,AWAY,DET,W (+15),0,1:10,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,0,108,-0.7,-39.0,Charles Cooke
2018-02-14,23-228,NOP,HOME,LAL,W (+22),0,2:42,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,0.0,-7.7,Charles Cooke
2018-03-18,23-260,NOP,HOME,BOS,W (+19),0,3:15,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,103,0.0,-6.2,Charles Cooke
2018-03-24,23-266,NOP,AWAY,HOU,L (-23),0,6:33,.000,.000,0.0,18.8,7.8,0.0,0.0,0.0,0.0,12.5,0,114,-1.1,-16.9,Charles Cooke
2018-04-06,23-279,NOP,AWAY,PHO,W (+19),0,3:30,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0,109,-0.7,-18.5,Charles Cooke
2018-04-11,23-284,NOP,HOME,SAS,W (+24),0,1:05,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,0,106,-0.7,-46.4,Charles Cooke
