DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2001-10-30,26-170,ATL,AWAY,HOU,L (-5),0,9:26,.500,.500,12.3,23.1,17.8,0.0,0.0,0.0,0.0,31.6,102,93,3.5,1.4,Chris Crawford
2001-11-01,26-172,ATL,HOME,WAS,L (-10),0,23:42,.000,.000,18.2,8.2,12.9,5.6,2.2,0.0,33.3,11.2,41,108,-1.3,-11.7,Chris Crawford
2001-11-03,26-174,ATL,HOME,MIA,W (+7),1,10:08,.500,.500,0.0,10.2,5.5,0.0,0.0,0.0,0.0,9.3,107,97,0.1,-9.4,Chris Crawford
2001-11-05,26-176,ATL,AWAY,LAC,L (-23),1,22:54,.595,.600,3.9,0.0,2.2,9.7,0.0,3.0,7.8,23.4,112,126,7.3,-2.3,Chris Crawford
2001-11-07,26-178,ATL,AWAY,UTA,L (-7),1,32:54,.444,.333,3.5,17.7,10.5,6.0,1.6,3.8,21.5,26.1,80,102,5.9,-6.4,Chris Crawford
2001-11-08,26-179,ATL,AWAY,PHO,L (-28),1,22:10,.536,.500,4.7,14.9,9.7,20.5,0.0,6.0,17.7,22.1,98,113,7.6,2.4,Chris Crawford
2001-11-10,26-181,ATL,AWAY,SAS,L (-22),0,9:50,1.031,1.000,13.7,43.6,28.2,0.0,0.0,0.0,20.5,22.6,158,118,6.9,10.5,Chris Crawford
2002-01-08,26-240,ATL,HOME,POR,W (+9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Chris Crawford
2000-10-31,25-171,ATL,HOME,CHH,L (-24),0,20:41,.307,.125,0.0,9.1,3.1,24.7,0.0,0.0,9.3,23.8,74,126,0.6,-11.3,Chris Crawford
2000-11-02,25-173,ATL,AWAY,NYK,L (-25),0,26:04,.363,.333,0.0,13.2,4.9,8.3,2.2,0.0,0.0,12.5,85,109,2.3,-5.7,Chris Crawford
2000-11-04,25-175,ATL,HOME,ORL,L (-3),0,32:43,.644,.536,12.1,20.8,15.8,10.1,3.2,2.5,5.5,22.5,150,113,21.6,8.7,Chris Crawford
2000-11-06,25-177,ATL,AWAY,VAN,L (-10),0,20:55,.862,.750,5.1,9.9,7.5,15.4,7.1,3.1,0.0,9.4,190,91,11.0,14.0,Chris Crawford
