DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2015-10-28,20-161,MIL,HOME,NYK,L (-25),0,14:44,.750,.750,6.8,20.4,13.6,12.2,3.4,0.0,33.3,8.3,112,120,3.1,-0.9,Damien Inglis
2015-10-30,20-163,MIL,HOME,WAS,L (-5),0,3:15,.000,.000,0.0,43.4,21.4,0.0,0.0,0.0,0.0,13.4,0,118,-0.8,-22.8,Damien Inglis
2015-11-01,20-165,MIL,AWAY,TOR,L (-19),0,3:33,.347,.000,0.0,0.0,0.0,0.0,15.2,0.0,25.8,53.8,57,97,0.6,-14.1,Damien Inglis
2015-11-07,20-171,MIL,HOME,BRK,W (+8),0,1:44,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,106,0.0,-7.4,Damien Inglis
2015-11-10,20-174,MIL,HOME,BOS,L (-16),0,12:12,.387,.333,0.0,25.7,13.7,15.1,0.0,0.0,20.5,19.2,72,111,1.1,-7.9,Damien Inglis
2015-12-15,20-209,MIL,AWAY,LAL,L (-18),0,1:49,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,134,0.0,-11.1,Damien Inglis
2015-12-23,20-217,MIL,HOME,PHI,W (+13),0,2:01,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.8,0,114,-1.0,-32.0,Damien Inglis
2016-01-10,20-235,MIL,AWAY,NYK,L (-12),0,2:45,,,0.0,43.6,20.5,0.0,0.0,0.0,,0.0,0,110,0.3,-6.0,Damien Inglis
2016-03-12,20-297,MIL,HOME,NOP,W (+11),0,2:44,1.000,1.000,0.0,36.6,19.7,0.0,0.0,0.0,0.0,16.6,200,92,2.0,11.9,Damien Inglis
2016-03-13,20-298,MIL,AWAY,BRK,W (+9),0,0:38,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,0.0,-10.1,Damien Inglis
2016-03-15,20-300,MIL,HOME,TOR,L (-18),0,3:31,.000,.000,0.0,0.0,0.0,0.0,16.3,0.0,50.0,28.6,0,100,-0.7,-19.1,Damien Inglis
2016-03-17,20-302,MIL,HOME,MEM,W (+10),0,21:33,.740,.600,0.0,21.0,12.2,14.7,0.0,8.5,0.0,15.4,163,92,12.7,11.3,Damien Inglis
2016-03-20,20-305,MIL,HOME,UTA,L (-9),0,7:46,.333,.333,0.0,30.1,17.4,0.0,0.0,0.0,25.0,28.9,46,110,-0.1,-20.6,Damien Inglis
2016-03-21,20-306,MIL,AWAY,DET,L (-1),0,13:21,.333,.333,0.0,24.0,13.7,9.6,0.0,0.0,0.0,11.7,82,105,1.5,-5.9,Damien Inglis
2016-03-23,20-308,MIL,AWAY,CLE,L (-9),0,8:43,.333,.333,15.7,43.5,30.2,0.0,0.0,0.0,0.0,16.4,94,121,1.5,-9.5,Damien Inglis
2016-03-26,20-311,MIL,HOME,CHO,L (-24),0,5:52,.000,.000,0.0,24.8,11.4,22.1,0.0,0.0,0.0,16.4,27,138,-0.4,-15.3,Damien Inglis
2016-04-03,20-319,MIL,HOME,CHI,L (-4),1,9:19,.000,.000,0.0,14.7,6.6,12.9,5.8,0.0,50.0,9.6,25,108,0.3,-6.9,Damien Inglis
2016-04-05,20-321,MIL,HOME,CLE,L (-29),0,5:41,.000,.000,0.0,0.0,0.0,24.1,0.0,0.0,33.3,24.5,16,124,-1.7,-23.6,Damien Inglis
2016-04-08,20-324,MIL,AWAY,BOS,L (-15),0,14:54,.000,.000,0.0,9.2,4.5,7.9,3.1,0.0,25.0,11.1,16,118,-2.3,-16.1,Damien Inglis
2016-04-13,20-329,MIL,HOME,IND,L (-5),0,20:16,1.000,1.000,0.0,19.7,10.4,8.6,2.4,0.0,28.6,15.4,119,97,8.6,6.0,Damien Inglis
