DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2001-10-30,33-130,ORL,HOME,TOR,W (+29),1,28:42,1.015,1.000,6.4,10.1,8.8,24.3,5.5,2.6,11.3,14.3,185,89,20.9,21.7,Darrell Armstrong
2001-11-02,33-133,ORL,AWAY,IND,L (-10),1,30:00,.613,.588,7.3,8.6,7.9,27.1,3.5,0.0,0.0,27.7,140,125,20.3,10.2,Darrell Armstrong
2001-11-03,33-134,ORL,AWAY,CLE,W (+30),1,24:19,.500,.500,0.0,17.2,9.2,36.4,6.5,2.9,0.0,14.2,129,63,11.8,14.1,Darrell Armstrong
2001-11-05,33-136,ORL,HOME,SEA,L (-4),1,44:18,.571,.571,5.6,13.2,9.5,21.3,2.5,0.0,0.0,15.6,144,115,17.5,7.5,Darrell Armstrong
2001-11-06,33-137,ORL,AWAY,SAS,L (-15),1,33:50,.387,.167,0.0,11.8,5.0,23.9,0.0,0.0,11.4,10.4,105,121,5.6,-4.3,Darrell Armstrong
2001-11-09,33-140,ORL,HOME,SAC,W (+10),1,30:39,.367,.227,2.9,6.3,4.5,37.8,4.4,4.1,12.8,19.0,94,96,11.9,5.4,Darrell Armstrong
2001-11-11,33-142,ORL,AWAY,LAL,L (-13),1,28:35,.678,.611,6.2,0.0,3.3,37.0,3.4,0.0,22.5,19.5,117,113,12.0,7.9,Darrell Armstrong
2001-11-12,33-143,ORL,AWAY,UTA,L (-7),1,27:43,.587,.607,0.0,0.0,0.0,23.4,0.0,0.0,16.4,27.2,98,119,6.9,-3.6,Darrell Armstrong
2001-11-14,33-145,ORL,AWAY,PHO,W (+1),1,32:14,.470,.429,0.0,10.2,5.4,18.8,0.0,0.0,21.2,13.5,91,105,3.4,-5.8,Darrell Armstrong
2001-11-15,33-146,ORL,AWAY,DEN,W (+19),1,30:40,.694,.667,0.0,8.6,5.0,9.3,0.0,0.0,0.0,13.2,152,101,10.1,3.4,Darrell Armstrong
2001-11-17,33-148,ORL,AWAY,MIN,L (-8),1,28:20,.194,.167,3.2,10.1,5.9,16.3,3.6,0.0,7.2,22.0,53,106,1.0,-8.5,Darrell Armstrong
2001-11-21,33-152,ORL,HOME,MIN,W (+11),1,41:59,.927,.885,5.1,5.4,5.3,23.9,0.0,0.0,16.1,18.5,163,118,26.3,12.1,Darrell Armstrong
2001-11-23,33-154,ORL,AWAY,CHH,W (+10),1,38:16,.672,.643,0.0,5.7,3.3,21.7,2.7,1.8,40.2,15.0,94,105,8.8,-1.3,Darrell Armstrong
2001-11-24,33-155,ORL,HOME,CHH,L (-2),1,37:05,.492,.450,0.0,13.2,7.0,29.8,5.4,0.0,7.6,15.5,119,100,15.5,5.4,Darrell Armstrong
2001-11-26,33-157,ORL,HOME,DET,L (-5),0,33:44,.508,.447,9.2,4.7,7.4,37.0,9.2,0.0,0.0,28.0,127,104,24.0,17.4,Darrell Armstrong
2001-11-29,33-160,ORL,HOME,BOS,L (-10),1,37:04,.492,.350,2.4,15.4,8.2,30.2,2.8,0.0,7.6,15.5,116,104,13.9,4.3,Darrell Armstrong
2001-12-01,33-162,ORL,AWAY,WAS,W (+9),1,39:54,.517,.500,5.5,14.7,10.3,48.6,2.7,1.5,10.8,21.1,121,95,18.9,9.7,Darrell Armstrong
2001-12-03,33-164,ORL,HOME,MEM,W (+42),1,30:41,.697,.625,5.2,11.3,9.1,32.8,1.7,0.0,39.2,22.4,109,80,10.7,1.2,Darrell Armstrong
2001-12-05,33-166,ORL,HOME,CHI,W (+28),1,26:53,.500,.500,4.6,4.7,4.6,32.4,4.0,0.0,9.1,19.3,118,87,10.4,3.7,Darrell Armstrong
2001-12-07,33-168,ORL,HOME,ATL,W (+35),1,25:09,.500,.500,0.0,12.0,7.0,29.6,2.0,0.0,20.0,17.2,114,101,7.7,-1.0,Darrell Armstrong
