DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2007-10-31,22-357,SAC,AWAY,NOH,L (-14),0,9:53,.500,.500,11.8,39.4,24.9,0.0,0.0,0.0,50.0,18.7,57,108,0.2,-12.3,Darryl Watkins
2007-11-02,22-359,SAC,AWAY,SAS,L (-16),0,15:37,.333,.333,0.0,15.4,7.2,0.0,0.0,6.4,0.0,9.2,67,106,0.8,-6.2,Darryl Watkins
2007-11-03,22-360,SAC,AWAY,DAL,L (-21),0,25:18,.366,.333,16.3,16.5,16.4,0.0,2.2,0.0,32.8,23.4,66,141,-0.1,-18.1,Darryl Watkins
2007-11-06,22-363,SAC,HOME,SEA,W (+6),0,2:17,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,0.0,-5.7,Darryl Watkins
2007-11-09,23-001,SAC,HOME,CLE,L (-2),0,2:49,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114,0.0,-2.4,Darryl Watkins
2007-11-12,23-004,SAC,AWAY,UTA,L (-24),0,4:04,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.9,63,133,0.0,-16.7,Darryl Watkins
2007-11-21,23-013,SAC,AWAY,PHO,L (-16),0,10:18,.000,.000,9.1,0.0,5.0,0.0,4.7,6.9,0.0,7.6,36,115,0.2,-6.9,Darryl Watkins
2007-11-26,23-018,SAC,HOME,SAS,W (+13),0,0:32,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,0.0,-3.7,Darryl Watkins
2007-12-07,23-029,SAC,HOME,LAC,L (-10),0,0:28,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,113,0.0,-5.8,Darryl Watkins
2012-04-18,27-162,NOH,AWAY,MEM,L (-12),0,28:32,0.347,0.0,33.6,32.7,33.1,5.8,0.0,5.5,41.0,8.3,98,118,5.4,-4.2,Darryl Watkins
2012-04-19,27-163,NOH,HOME,HOU,W (+6),0,5:17,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,200,110,1.7,4.3,Darryl Watkins
2012-04-22,27-166,NOH,AWAY,LAC,L (-9),0,3:04,1.0,1.0,0.0,0.0,0.0,80.9,0.0,0.0,0.0,14.9,202,123,2.0,21.5,Darryl Watkins
2012-04-24,27-168,NOH,AWAY,GSW,W (+2),0,18:38,0.376,0.5,6.1,20.3,12.9,0.0,6.1,4.0,27.3,19.3,55,85,1.1,-11.7,Darryl Watkins
2012-04-26,27-170,NOH,AWAY,HOU,L (-7),0,42:02,0.555,0.5,2.5,18.7,11.4,4.8,3.8,1.8,25.4,18.9,87,88,9.8,-3.2,Darryl Watkins
