DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2006-11-03,22-249,MIL,AWAY,TOR,L (-17),0,4:28,.500,.500,0.0,53.7,26.2,39.4,0.0,0.0,0.0,20.1,120,110,2.3,8.1,David Noel
2006-11-04,22-250,MIL,HOME,SAC,W (+13),0,4:16,,,0.0,0.0,0.0,0.0,0.0,17.3,,0.0,0,102,0.3,4.2,David Noel
2006-11-06,22-252,MIL,AWAY,CHI,L (-25),0,4:07,1.500,1.500,0.0,0.0,0.0,0.0,0.0,0.0,50.0,22.4,76,121,1.3,5.1,David Noel
2006-11-15,22-261,MIL,AWAY,NJN,L (-13),0,0:59,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114,0.0,-5.9,David Noel
2006-11-18,22-264,MIL,HOME,IND,L (-2),0,0:14,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,0.0,-5.6,David Noel
2006-11-21,22-267,MIL,AWAY,IND,L (-5),0,0:24,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,109,0.0,-5.8,David Noel
2006-11-22,22-268,MIL,HOME,PHI,W (+4),0,32:17,.799,.750,0.0,7.4,3.5,39.9,1.6,4.9,0.0,9.9,175,102,14.7,13.3,David Noel
2006-11-25,22-271,MIL,HOME,BOS,L (-13),0,17:22,.336,.286,14.9,31.6,23.0,0.0,0.0,0.0,11.8,23.6,77,125,2.1,-13.5,David Noel
2006-12-01,22-277,MIL,AWAY,PHO,L (-6),0,1:01,,,100.0,0.0,56.9,0.0,0.0,0.0,,0.0,207,133,0.7,13.3,David Noel
2006-12-02,22-278,MIL,AWAY,GSW,W (+5),0,8:41,1.250,1.250,14.5,28.3,21.5,55.4,5.6,0.0,33.3,13.9,165,101,7.8,30.0,David Noel
2006-12-04,22-280,MIL,AWAY,UTA,L (-13),0,22:00,.527,.250,14.5,0.0,8.0,7.3,4.8,0.0,13.1,15.7,116,111,7.6,3.0,David Noel
2006-12-08,22-284,MIL,HOME,MEM,W (+6),0,19:38,.200,.200,6.8,19.8,13.4,6.3,5.6,0.0,16.7,14.7,58,97,1.0,-7.7,David Noel
2006-12-09,22-285,MIL,AWAY,NYK,L (-8),0,7:56,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,133,0.0,-6.1,David Noel
2006-12-12,22-288,MIL,HOME,SEA,W (+1),0,6:42,.000,.000,0.0,19.4,9.8,20.5,0.0,0.0,0.0,7.1,49,107,0.3,-5.4,David Noel
2006-12-13,22-289,MIL,AWAY,NJN,L (-13),0,7:29,,,0.0,0.0,0.0,18.9,0.0,0.0,,0.0,215,133,-0.5,-10.4,David Noel
2006-12-15,22-291,MIL,AWAY,CHI,L (-6),0,11:08,.568,,0.0,18.0,8.5,0.0,0.0,0.0,0.0,3.2,122,120,0.8,-7.0,David Noel
2006-12-16,22-292,MIL,HOME,MIN,W (+4),0,4:10,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,200,119,1.3,0.3,David Noel
2006-12-20,22-296,MIL,HOME,MIA,W (+26),0,14:31,.500,.500,8.9,16.5,12.9,0.0,3.6,0.0,0.0,6.4,128,100,2.5,-3.2,David Noel
2006-12-22,22-298,MIL,AWAY,MIN,W (+6),0,15:47,.000,.000,6.1,8.2,7.0,6.9,0.0,0.0,50.0,5.2,51,115,-1.2,-11.7,David Noel
2006-12-27,22-303,MIL,AWAY,MEM,W (+16),0,8:34,.833,.833,0.0,14.0,6.7,34.2,0.0,0.0,0.0,15.2,185,111,5.4,17.4,David Noel
2006-12-29,22-305,MIL,AWAY,CLE,L (-10),0,1:01,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,0.0,-3.2,David Noel
2006-12-30,22-306,MIL,HOME,WAS,W (+17),0,2:09,,,50.7,0.0,24.0,0.0,0.0,0.0,,0.0,217,119,0.7,1.4,David Noel
2007-01-08,22-315,MIL,AWAY,DEN,L (-12),0,18:12,.250,.250,4.8,0.0,2.7,23.0,2.8,0.0,20.0,11.4,73,114,1.2,-6.6,David Noel
2007-01-10,22-317,MIL,HOME,TOR,L (-13),0,17:13,.250,.250,13.3,22.6,17.6,28.6,3.3,5.0,20.0,14.0,81,96,4.3,4.9,David Noel
2007-01-12,22-319,MIL,AWAY,PHI,L (-13),0,15:20,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0,129,-5.2,-27.0,David Noel
2007-01-15,22-322,MIL,AWAY,CHA,W (+8),0,11:40,.370,.200,19.6,17.1,18.3,0.0,0.0,0.0,0.0,27.0,108,109,3.5,-8.1,David Noel
2007-01-17,22-324,MIL,HOME,CHI,L (-9),0,17:45,.667,.667,0.0,6.4,2.9,11.0,2.7,0.0,57.1,16.2,54,101,0.3,-6.6,David Noel
2007-01-19,22-326,MIL,AWAY,SEA,L (-27),0,12:49,.508,.429,6.8,0.0,4.0,0.0,8.3,0.0,11.3,30.0,98,102,5.6,6.0,David Noel
2007-01-21,22-328,MIL,AWAY,POR,L (-4),0,15:00,.333,.333,0.0,25.9,11.7,22.2,0.0,0.0,0.0,9.6,98,114,1.8,-3.9,David Noel
2007-01-23,22-330,MIL,AWAY,LAC,L (-19),0,21:31,.250,.250,5.3,5.6,5.4,12.1,0.0,0.0,20.0,10.6,68,125,-0.6,-12.0,David Noel
2007-01-24,22-331,MIL,AWAY,SAC,L (-8),0,4:55,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,103,129,1.0,-6.2,David Noel
2007-01-26,22-333,MIL,HOME,PHO,L (-8),0,0:48,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108,-0.4,-28.4,David Noel
2007-01-28,22-335,MIL,HOME,NYK,W (+2),0,3:57,,,0.0,51.7,27.3,0.0,0.0,0.0,,0.0,0,100,0.2,-6.2,David Noel
2007-01-30,22-337,MIL,AWAY,MIA,L (-30),0,12:00,.700,.700,0.0,25.8,10.4,0.0,0.0,0.0,16.7,23.5,105,126,3.9,0.4,David Noel
2007-01-31,22-338,MIL,AWAY,ORL,L (-25),0,2:12,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,0.0,-5.5,David Noel
2007-02-03,22-341,MIL,HOME,MIA,L (-19),0,2:38,.000,.000,0.0,45.6,22.0,0.0,0.0,0.0,0.0,16.0,0,116,-0.4,-18.3,David Noel
2007-02-06,22-344,MIL,HOME,ORL,W (+5),0,0:04,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,0.0,-7.5,David Noel
