DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2018-10-17,25-339,SAS,HOME,MIN,W (+4),0,17:50,1.125,1.125,0.0,5.7,2.7,16.9,0.0,0.0,0.0,9.1,227,118,9.1,15.1,Davis Bertans
2018-10-20,25-342,SAS,AWAY,POR,L (-13),0,19:42,.688,.688,13.8,7.4,11.3,15.1,0.0,4.7,11.1,19.6,133,131,10.1,7.4,Davis Bertans
2018-10-22,25-344,SAS,AWAY,LAL,W (+1),0,7:51,.750,.750,0.0,13.5,6.8,31.2,5.9,0.0,0.0,11.0,170,115,4.7,15.4,Davis Bertans
2018-10-24,25-346,SAS,HOME,IND,L (-20),0,19:04,.717,.625,5.0,21.0,11.7,8.4,0.0,0.0,17.0,13.6,132,127,5.5,0.3,Davis Bertans
2018-10-27,25-349,SAS,HOME,LAL,W (+4),1,13:03,.000,.000,0.0,8.4,4.0,8.4,3.6,0.0,0.0,6.4,29,102,0.2,-5.3,Davis Bertans
2018-10-29,25-351,SAS,HOME,DAL,W (+5),0,9:16,.750,.750,0.0,0.0,0.0,0.0,0.0,0.0,33.3,14.6,81,108,1.0,-5.6,Davis Bertans
2018-10-31,25-353,SAS,AWAY,PHO,W (+30),0,23:38,.868,.750,0.0,16.9,9.9,4.6,0.0,3.1,0.0,5.4,182,90,5.8,2.2,Davis Bertans
2018-11-03,25-356,SAS,HOME,NOP,W (+14),0,10:04,.500,.500,0.0,11.6,5.2,23.7,0.0,0.0,0.0,8.6,126,99,1.9,-1.3,Davis Bertans
2018-11-04,25-357,SAS,HOME,ORL,L (-7),1,25:35,.400,.400,4.5,17.1,10.9,0.0,0.0,0.0,9.1,18.8,79,126,3.1,-9.2,Davis Bertans
2018-11-07,25-360,SAS,AWAY,MIA,L (-7),0,26:26,.839,.800,3.1,10.7,6.7,9.0,1.9,3.0,0.0,18.3,166,99,17.2,17.0,Davis Bertans
2018-11-10,25-363,SAS,HOME,HOU,W (+7),0,20:16,.600,.600,0.0,8.9,5.0,8.4,0.0,9.7,0.0,11.7,125,99,5.2,7.7,Davis Bertans
2018-11-12,26-000,SAS,AWAY,SAC,L (-5),0,7:49,1.125,1.125,0.0,0.0,0.0,0.0,0.0,0.0,20.0,28.2,126,115,6.4,23.8,Davis Bertans
