DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2006-11-04,22-079,UTA,HOME,GSW,W (+24),0,12:12,.000,.000,0.0,8.4,4.6,45.7,4.3,6.9,66.7,10.8,70,84,2.4,5.6,Dee Brown
2006-11-11,22-086,UTA,AWAY,MIL,W (+2),0,5:43,.000,.000,0.0,22.1,11.5,19.5,17.4,13.5,0.0,7.5,66,72,3.0,26.0,Dee Brown
2006-11-14,22-089,UTA,HOME,LAC,W (+22),0,1:50,.532,.000,0.0,0.0,0.0,0.0,27.4,0.0,0.0,46.0,128,43,1.5,14.7,Dee Brown
2006-11-17,22-092,UTA,AWAY,SEA,W (+9),0,11:34,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,14.2,0,120,-3.4,-22.7,Dee Brown
2006-11-20,22-095,UTA,HOME,TOR,W (+5),0,3:06,,,36.0,0.0,17.8,0.0,0.0,0.0,100.0,13.9,43,109,-0.7,-17.5,Dee Brown
2006-11-25,22-100,UTA,AWAY,GSW,L (-13),0,3:02,,,0.0,0.0,0.0,58.6,0.0,0.0,,0.0,230,108,0.3,-4.0,Dee Brown
2006-11-27,22-102,UTA,HOME,ORL,L (-13),0,0:37,,,0.0,0.0,0.0,0.0,0.0,100.0,,0.0,0,41,0.7,107.9,Dee Brown
2006-11-30,22-105,UTA,AWAY,LAL,L (-30),0,5:07,.174,.000,0.0,0.0,0.0,24.1,0.0,0.0,0.0,24.0,59,144,-0.1,-16.0,Dee Brown
2006-12-02,22-107,UTA,HOME,SEA,W (+2),0,18:45,.000,.000,7.1,7.3,7.2,6.2,2.6,0.0,16.7,13.9,25,110,-2.2,-14.2,Dee Brown
2006-12-04,22-109,UTA,HOME,MIL,W (+13),0,15:52,.543,.583,0.0,6.7,3.7,20.2,3.3,0.0,13.4,21.8,101,97,4.9,1.3,Dee Brown
2006-12-08,22-113,UTA,AWAY,MIN,L (-7),0,10:08,.347,.000,11.8,0.0,6.2,0.0,5.2,0.0,25.8,17.2,75,115,1.3,-4.3,Dee Brown
2006-12-11,22-116,UTA,HOME,DAL,W (+22),0,13:21,.400,.400,0.0,0.0,0.0,35.0,0.0,0.0,16.7,20.6,89,95,0.8,-7.4,Dee Brown
2006-12-13,22-118,UTA,AWAY,LAC,W (+19),0,2:51,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,109,0.0,-5.3,Dee Brown
2006-12-15,22-120,UTA,HOME,SAC,L (-1),0,5:42,1.042,1.000,0.0,0.0,0.0,65.8,0.0,0.0,41.0,20.0,131,118,1.9,-2.3,Dee Brown
2006-12-17,22-122,UTA,AWAY,IND,W (+10),0,21:17,.347,.167,0.0,11.3,5.6,13.0,4.8,0.0,10.4,19.0,84,95,3.2,-2.7,Dee Brown
2006-12-18,22-123,UTA,AWAY,NYK,L (-1),0,9:28,.000,.000,0.0,9.8,5.0,17.0,0.0,0.0,0.0,9.3,26,99,-1.2,-13.2,Dee Brown
2006-12-20,22-125,UTA,AWAY,ATL,W (+6),0,4:21,,,0.0,0.0,0.0,28.3,11.3,0.0,100.0,9.9,49,96,0.7,5.0,Dee Brown
2006-12-22,22-127,UTA,AWAY,CHA,L (-12),0,3:37,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,117,-0.4,-12.0,Dee Brown
2006-12-26,22-131,UTA,HOME,LAC,W (+10),0,6:18,.000,.000,0.0,19.5,9.5,42.3,8.5,0.0,33.3,22.2,35,90,0.3,-6.3,Dee Brown
2006-12-28,22-133,UTA,AWAY,SAS,L (-23),0,22:51,.581,.667,0.0,15.0,7.3,38.9,4.6,3.4,0.0,14.2,127,108,10.2,10.7,Dee Brown
2006-12-30,22-135,UTA,HOME,POR,W (+10),0,8:30,.000,.000,0.0,13.8,7.1,0.0,0.0,9.3,0.0,5.7,0,98,0.3,-2.6,Dee Brown
2007-01-03,22-139,UTA,HOME,PHI,W (+11),0,7:03,.000,.000,0.0,20.6,9.1,20.6,0.0,0.0,0.0,12.9,29,100,-0.8,-15.6,Dee Brown
2007-01-05,22-141,UTA,AWAY,HOU,L (-14),0,6:29,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-0.8,-13.8,Dee Brown
2007-01-06,22-142,UTA,AWAY,DEN,W (+12),0,3:51,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0,102,-1.4,-25.9,Dee Brown
2007-01-13,22-149,UTA,HOME,MIA,L (-9),0,2:38,.266,.000,0.0,0.0,0.0,100.0,0.0,0.0,34.7,47.8,68,135,0.3,-15.7,Dee Brown
2007-01-15,22-151,UTA,AWAY,WAS,L (-3),0,3:35,.000,.000,0.0,0.0,0.0,34.3,0.0,0.0,0.0,12.1,61,136,-0.4,-16.0,Dee Brown
2007-01-24,22-160,UTA,HOME,MEM,L (-2),0,3:36,,,0.0,0.0,0.0,27.3,0.0,0.0,,0.0,209,134,0.7,-0.6,Dee Brown
2007-01-26,22-162,UTA,HOME,DEN,W (+5),0,1:50,,,0.0,0.0,0.0,63.9,0.0,0.0,,0.0,212,120,0.7,11.5,Dee Brown
2007-02-12,22-179,UTA,HOME,ATL,W (+26),0,5:06,1.064,1.000,50.9,0.0,22.4,41.7,0.0,0.0,0.0,17.2,225,100,5.8,35.1,Dee Brown
2007-02-20,22-187,UTA,AWAY,POR,L (-3),0,12:09,.436,.333,0.0,0.0,0.0,13.1,0.0,0.0,0.0,12.5,112,121,1.6,-5.4,Dee Brown
2007-02-23,22-190,UTA,AWAY,DEN,W (+10),0,0:06,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,0.0,-6.5,Dee Brown
2007-02-24,22-191,UTA,HOME,BOS,W (+18),0,2:59,,,0.0,82.5,41.3,39.2,17.7,0.0,100.0,29.7,23,41,0.3,-4.2,Dee Brown
2007-02-26,22-193,UTA,HOME,LAL,L (-8),0,7:03,1.500,1.500,0.0,0.0,0.0,48.3,0.0,0.0,66.7,19.2,90,129,1.7,0.6,Dee Brown
2007-02-28,22-195,UTA,AWAY,MEM,W (+16),0,2:27,.266,.000,63.2,0.0,23.6,0.0,0.0,0.0,0.0,36.2,93,110,0.6,-9.5,Dee Brown
2007-03-02,22-197,UTA,AWAY,MIN,W (+26),0,3:09,,,0.0,41.2,23.8,0.0,0.0,0.0,100.0,15.0,0,92,-0.7,-18.7,Dee Brown
2007-03-05,22-200,UTA,HOME,CHA,W (+25),0,6:08,.129,.000,0.0,0.0,0.0,76.4,8.5,0.0,0.0,27.4,98,94,2.3,2.3,Dee Brown
2007-03-07,22-202,UTA,HOME,IND,W (+22),0,3:23,,,0.0,0.0,0.0,44.3,0.0,0.0,,0.0,203,83,0.7,4.8,Dee Brown
2007-03-23,22-218,UTA,AWAY,LAC,L (-32),0,16:09,.500,.500,0.0,8.7,3.8,28.2,0.0,0.0,33.3,17.4,70,120,0.9,-9.8,Dee Brown
2007-03-24,22-219,UTA,HOME,MEM,W (+10),0,20:39,.500,.500,0.0,6.0,2.8,21.8,0.0,0.0,33.3,6.2,101,116,1.9,-7.4,Dee Brown
2007-03-26,22-221,UTA,HOME,WAS,W (+6),0,14:36,.000,.000,0.0,0.0,0.0,9.7,0.0,0.0,33.3,8.7,17,110,-2.9,-16.0,Dee Brown
2007-03-28,22-223,UTA,HOME,MIN,W (+6),0,12:42,.500,.500,0.0,0.0,0.0,24.8,0.0,0.0,0.0,14.7,118,120,2.2,-6.2,Dee Brown
2007-03-30,22-225,UTA,AWAY,SAS,L (-9),0,3:13,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,0.0,-6.3,Dee Brown
2007-04-06,22-232,UTA,AWAY,SAC,L (-4),0,5:00,.000,.000,21.3,0.0,12.8,0.0,0.0,0.0,0.0,17.7,38,130,-1.1,-22.1,Dee Brown
2007-04-09,22-235,UTA,AWAY,GSW,L (-24),0,19:15,.000,.000,4.4,13.5,8.0,60.4,7.2,0.0,25.0,7.8,82,111,6.4,7.3,Dee Brown
2007-04-11,22-237,UTA,HOME,DEN,L (-9),0,16:56,1.125,1.125,0.0,9.1,3.9,7.8,0.0,0.0,0.0,10.2,204,126,7.6,8.0,Dee Brown
