DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2007-10-31,22-011,WAS,AWAY,IND,L (-9),0,1:57,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,-0.4,-13.6,Dominic McGuire
2007-11-02,22-013,WAS,AWAY,BOS,L (-20),0,4:08,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0,113,-1.1,-14.5,Dominic McGuire
2007-11-03,22-014,WAS,HOME,ORL,L (-12),0,5:10,.000,.000,0.0,0.0,0.0,30.0,0.0,19.8,33.3,24.7,16,102,-1.4,-13.5,Dominic McGuire
2007-11-09,22-020,WAS,HOME,DEN,L (-26),0,5:06,.500,.500,0.0,0.0,0.0,43.6,0.0,0.0,33.3,23.8,78,127,0.7,-4.8,Dominic McGuire
2007-11-17,22-028,WAS,HOME,POR,W (+19),0,3:47,1.000,1.000,0.0,35.2,15.3,0.0,0.0,0.0,50.0,23.8,65,100,0.2,-15.2,Dominic McGuire
2007-11-20,22-031,WAS,HOME,PHI,W (+15),0,12:51,1.000,1.000,0.0,0.0,0.0,8.6,0.0,0.0,50.0,7.4,99,125,1.4,-4.3,Dominic McGuire
2007-11-21,22-032,WAS,AWAY,CHA,W (+3),0,14:27,.000,.000,0.0,7.6,3.9,0.0,0.0,6.0,50.0,6.2,0,113,-0.7,-7.8,Dominic McGuire
2007-11-23,22-034,WAS,HOME,GSW,L (-8),0,3:52,,,0.0,0.0,0.0,0.0,0.0,21.0,,0.0,0,125,-0.1,-3.7,Dominic McGuire
2007-11-24,22-035,WAS,AWAY,MEM,L (-6),0,3:21,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0,135,-1.1,-25.1,Dominic McGuire
2007-11-28,22-039,WAS,AWAY,SAS,L (-15),0,2:55,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,0.0,-6.0,Dominic McGuire
2007-11-30,22-041,WAS,AWAY,PHI,L (-1),0,0:19,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,106,0.0,-4.2,Dominic McGuire
2007-12-01,22-042,WAS,HOME,TOR,W (+4),0,9:50,.000,,0.0,34.1,19.8,12.5,0.0,0.0,0.0,4.6,62,108,0.8,-1.1,Dominic McGuire
2007-12-05,22-046,WAS,HOME,CLE,W (+19),0,1:23,,,0.0,0.0,0.0,78.9,0.0,0.0,,0.0,209,110,0.7,29.9,Dominic McGuire
2007-12-07,22-048,WAS,HOME,PHO,L (-15),0,6:33,,,0.0,38.6,17.2,0.0,0.0,0.0,,0.0,0,125,0.6,-3.5,Dominic McGuire
2007-12-09,22-050,WAS,HOME,NJN,W (+15),0,5:25,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,17.1,0,110,-1.7,-22.9,Dominic McGuire
2007-12-11,22-052,WAS,HOME,MIN,W (+14),0,10:53,1.000,1.000,0.0,18.8,9.6,12.8,5.1,0.0,0.0,4.0,206,95,3.6,7.7,Dominic McGuire
2007-12-13,22-054,WAS,AWAY,MIA,W (+13),0,1:43,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,0.0,-5.6,Dominic McGuire
2007-12-15,22-056,WAS,HOME,SAC,W (+13),0,11:30,.500,.500,0.0,31.3,14.7,0.0,0.0,17.8,33.3,12.5,61,79,1.9,1.1,Dominic McGuire
2007-12-21,22-062,WAS,HOME,ATL,L (-5),0,13:18,.250,.250,9.0,17.2,13.2,0.0,4.3,0.0,0.0,15.6,70,108,1.5,-6.7,Dominic McGuire
2007-12-22,22-063,WAS,AWAY,IND,L (-8),0,11:47,.500,.500,0.0,24.0,12.6,0.0,0.0,0.0,33.3,11.8,64,103,0.5,-7.7,Dominic McGuire
2007-12-26,22-067,WAS,AWAY,CHA,W (+4),0,1:14,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,0.0,-4.5,Dominic McGuire
2007-12-28,22-069,WAS,AWAY,NJN,L (-3),0,5:19,,,0.0,21.0,10.7,0.0,0.0,0.0,,0.0,0,128,0.3,-4.8,Dominic McGuire
2007-12-29,22-070,WAS,HOME,MIA,W (+22),0,8:14,.000,.000,0.0,0.0,0.0,16.2,0.0,0.0,0.0,18.9,23,96,-2.2,-23.7,Dominic McGuire
2008-01-02,22-074,WAS,HOME,DET,L (-13),0,2:40,.000,.000,0.0,47.4,25.0,0.0,0.0,0.0,0.0,18.9,0,116,-0.4,-17.7,Dominic McGuire
2008-01-04,22-076,WAS,AWAY,MIL,W (+24),0,10:07,1.000,1.000,14.0,0.0,5.8,0.0,0.0,0.0,0.0,5.0,205,99,1.6,-1.8,Dominic McGuire
2008-01-06,22-078,WAS,HOME,SEA,W (+22),0,2:29,.000,.000,0.0,39.4,20.6,0.0,0.0,28.4,0.0,17.8,0,70,0.3,-2.3,Dominic McGuire
2008-01-08,22-080,WAS,HOME,HOU,L (-8),0,2:37,,,0.0,0.0,0.0,61.1,0.0,0.0,,0.0,220,117,0.7,15.3,Dominic McGuire
2008-01-11,22-083,WAS,AWAY,ATL,W (+4),0,0:14,,,0.0,100.0,100.0,0.0,0.0,0.0,,0.0,0,-43,0.3,34.7,Dominic McGuire
2008-01-15,22-087,WAS,AWAY,NYK,L (-12),0,7:11,.333,.333,29.1,0.0,16.7,0.0,0.0,0.0,0.0,19.7,105,136,1.7,-7.8,Dominic McGuire
2008-01-18,22-090,WAS,HOME,NYK,W (+13),0,1:10,,,100.0,0.0,56.4,0.0,0.0,0.0,,0.0,214,115,0.7,10.5,Dominic McGuire
2008-01-23,22-095,WAS,AWAY,CLE,L (-36),0,16:51,.564,.750,0.0,17.3,6.9,0.0,3.3,4.6,15.8,18.0,78,133,4.1,-2.6,Dominic McGuire
2008-01-25,22-097,WAS,HOME,MEM,W (+11),0,6:45,,,17.3,16.9,17.1,0.0,7.5,0.0,100.0,18.7,16,87,-1.8,-19.5,Dominic McGuire
2008-01-29,22-101,WAS,HOME,TOR,W (+4),0,21:33,.333,.333,28.9,19.7,24.4,6.6,0.0,4.1,50.0,12.6,79,110,2.9,-5.4,Dominic McGuire
2008-01-30,22-102,WAS,AWAY,TOR,L (-39),0,24:57,.694,.500,14.1,17.5,15.6,16.0,2.2,5.9,41.0,9.4,112,131,7.4,2.1,Dominic McGuire
2008-02-01,22-104,WAS,HOME,UTA,L (-9),0,10:51,.000,.000,9.6,10.5,10.1,0.0,0.0,6.7,50.0,8.7,28,113,0.0,-7.5,Dominic McGuire
2008-02-03,22-106,WAS,HOME,LAL,L (-12),0,4:51,,,24.7,0.0,14.6,29.1,0.0,0.0,100.0,10.1,73,130,0.4,-3.2,Dominic McGuire
2008-02-05,22-108,WAS,AWAY,PHI,L (-5),0,3:49,,,0.0,44.9,16.8,0.0,0.0,0.0,100.0,11.6,0,110,-0.7,-13.4,Dominic McGuire
2008-02-08,22-111,WAS,AWAY,DEN,L (-11),0,16:54,.667,.667,6.8,26.6,15.4,16.6,3.0,0.0,25.0,10.4,117,116,4.5,0.3,Dominic McGuire
2008-02-10,22-113,WAS,AWAY,PHO,L (-1),0,6:04,.500,.500,0.0,45.2,19.3,0.0,0.0,25.1,33.3,21.4,64,89,1.2,-1.8,Dominic McGuire
2008-02-11,22-114,WAS,AWAY,GSW,L (-3),0,20:14,1.500,1.500,10.5,23.1,16.6,6.0,2.4,0.0,0.0,2.1,255,120,6.2,5.4,Dominic McGuire
2008-02-13,22-116,WAS,AWAY,LAC,W (+2),0,23:43,.000,.000,30.8,28.1,29.6,5.5,0.0,3.7,33.3,11.1,55,104,1.8,-8.2,Dominic McGuire
2008-02-19,22-122,WAS,HOME,NYK,L (-13),0,16:41,.521,.500,6.9,15.5,11.0,0.0,0.0,6.4,0.0,8.3,123,120,2.8,-3.9,Dominic McGuire
2008-02-22,22-125,WAS,AWAY,CLE,L (-1),0,9:11,,,0.0,0.0,0.0,16.3,0.0,0.0,,0.0,213,119,0.3,-2.8,Dominic McGuire
2008-02-23,22-126,WAS,HOME,CHA,W (+15),0,10:52,.000,.000,27.6,0.0,16.2,19.6,5.2,0.0,33.3,12.2,80,111,1.7,-5.4,Dominic McGuire
2008-02-25,22-128,WAS,AWAY,NOH,W (+3),0,15:53,1.000,1.000,0.0,16.8,7.8,9.8,3.5,0.0,0.0,3.1,204,105,3.6,5.3,Dominic McGuire
2008-02-26,22-129,WAS,AWAY,HOU,L (-25),0,16:09,.000,.000,5.7,14.9,9.7,0.0,0.0,0.0,0.0,6.1,27,114,-0.9,-13.4,Dominic McGuire
2008-02-29,22-132,WAS,AWAY,CHI,W (+6),0,7:41,.333,.333,0.0,0.0,0.0,21.0,6.6,0.0,0.0,16.2,90,93,0.8,-2.6,Dominic McGuire
2008-03-02,22-134,WAS,HOME,NOH,W (+17),0,16:59,.400,.400,13.1,0.0,6.4,9.6,3.4,0.0,16.7,16.7,93,107,3.0,-4.1,Dominic McGuire
2008-03-05,22-137,WAS,HOME,ORL,L (-30),0,22:34,.000,.000,10.1,12.5,11.2,6.1,0.0,3.9,66.7,6.1,50,131,-0.9,-12.4,Dominic McGuire
2008-03-07,22-139,WAS,AWAY,TOR,W (+4),0,10:10,,,0.0,9.8,6.0,0.0,5.3,0.0,100.0,4.6,0,103,0.3,-2.4,Dominic McGuire
2008-03-08,22-140,WAS,HOME,CHA,L (-3),0,15:19,.868,1.000,7.3,24.1,15.3,0.0,3.5,19.2,25.8,12.1,120,95,6.5,7.2,Dominic McGuire
2008-03-11,22-143,WAS,HOME,MIL,W (+8),0,14:43,,,16.3,6.9,11.2,15.5,0.0,4.4,100.0,3.0,109,107,2.4,1.0,Dominic McGuire
2008-03-13,22-145,WAS,HOME,CLE,W (+2),0,2:21,,,0.0,43.5,23.5,0.0,0.0,0.0,,0.0,0,97,-0.1,-8.7,Dominic McGuire
