DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2008-10-31,22-334,MIA,HOME,SAC,W (+26),0,5:53,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,105,94,0.6,-9.6,Dorell Wright
2008-11-07,22-341,MIA,AWAY,SAS,W (+16),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Dorell Wright
2008-11-08,22-342,MIA,AWAY,NOH,L (-11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Dorell Wright
2009-03-06,23-094,MIA,AWAY,TOR,W (+6),0,5:47,.798,1.000,0.0,23.7,12.0,0.0,9.3,0.0,0.0,15.3,157,98,3.2,9.0,Dorell Wright
2009-03-07,23-095,MIA,AWAY,CLE,L (-10),0,6:11,.000,.000,0.0,21.6,9.8,0.0,0.0,0.0,50.0,15.7,0,115,-1.8,-22.7,Dorell Wright
2009-04-12,23-131,MIA,HOME,NYK,W (+17),0,1:06,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,125,0.0,-5.9,Dorell Wright
2009-04-14,23-133,MIA,AWAY,ATL,L (-2),0,24:00,.509,.500,9.8,28.6,19.3,0.0,2.4,0.0,30.4,19.9,75,93,4.0,-8.1,Dorell Wright
2009-04-15,23-134,MIA,HOME,DET,W (+6),0,30:22,.276,.300,0.0,32.9,18.4,10.3,0.0,0.0,15.5,21.1,62,100,0.6,-13.4,Dorell Wright
2014-10-29,28-331,POR,HOME,OKC,W (+17),0,4:50,.000,.000,0.0,23.1,11.7,0.0,0.0,15.3,0.0,9.3,0,91,-0.1,-6.1,Dorell Wright
2014-10-31,28-333,POR,AWAY,SAC,L (-9),0,6:38,.615,.500,0.0,17.2,8.3,27.0,8.2,0.0,0.0,17.4,141,102,4.0,16.0,Dorell Wright
2014-11-06,28-339,POR,HOME,DAL,W (+21),0,6:04,.500,.500,20.8,32.3,27.3,24.7,0.0,0.0,0.0,23.2,137,94,2.5,5.7,Dorell Wright
2014-11-11,28-344,POR,HOME,CHO,W (+2),0,5:46,.000,.000,0.0,0.0,0.0,20.8,0.0,0.0,0.0,22.3,22,115,-2.2,-26.6,Dorell Wright
2014-11-12,28-345,POR,AWAY,DEN,W (+17),0,5:18,.750,.750,0.0,0.0,0.0,25.2,0.0,0.0,0.0,15.8,164,124,2.7,9.8,Dorell Wright
2014-11-21,28-354,POR,HOME,CHI,W (+18),0,12:00,.250,.250,0.0,31.4,17.0,0.0,4.1,0.0,0.0,15.1,51,79,1.4,-5.4,Dorell Wright
2014-11-23,28-356,POR,AWAY,BOS,W (+6),0,5:59,.000,.000,0.0,56.3,31.8,0.0,0.0,11.1,50.0,14.8,0,71,0.2,-5.6,Dorell Wright
2014-12-07,29-005,POR,AWAY,NYK,W (+4),0,2:31,1.500,1.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,300,115,2.3,31.1,Dorell Wright
2014-12-10,29-008,POR,AWAY,MIN,L (-8),0,4:31,.532,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,125,110,1.3,-1.8,Dorell Wright
2014-12-19,29-017,POR,AWAY,SAS,W (+10),0,33:10,.750,.750,0.0,25.3,12.9,0.0,0.0,0.0,27.3,15.6,103,104,6.6,-0.1,Dorell Wright
2014-12-22,29-020,POR,AWAY,HOU,L (-15),0,7:57,.725,.000,15.1,16.3,15.7,17.8,0.0,0.0,0.0,15.7,173,115,4.6,7.1,Dorell Wright
2014-12-23,29-021,POR,AWAY,OKC,W (+4),0,7:46,1.000,1.000,13.9,27.3,20.7,0.0,0.0,0.0,0.0,5.9,214,107,3.0,5.2,Dorell Wright
2014-12-26,29-024,POR,HOME,PHI,W (+21),0,19:20,.667,.667,0.0,10.3,5.5,21.6,4.8,7.4,14.3,15.4,126,82,9.3,12.7,Dorell Wright
2014-12-28,29-026,POR,HOME,NYK,W (+22),0,13:26,.000,.000,8.7,12.8,11.1,9.4,3.9,0.0,0.0,7.3,66,85,0.8,-7.1,Dorell Wright
2014-12-30,29-028,POR,HOME,TOR,W (+5),0,15:59,.254,.143,6.5,20.3,13.3,19.1,0.0,8.6,20.2,28.0,62,95,1.9,-4.4,Dorell Wright
2015-01-03,29-032,POR,HOME,ATL,L (-8),0,9:30,.850,.900,0.0,0.0,0.0,0.0,5.0,0.0,14.5,29.9,123,109,5.7,13.4,Dorell Wright
2015-01-08,29-037,POR,HOME,MIA,W (+16),0,7:04,.625,.625,14.5,15.1,14.8,25.7,0.0,0.0,0.0,25.0,147,99,4.3,16.7,Dorell Wright
2015-01-10,29-039,POR,HOME,ORL,W (+11),0,12:55,1.094,1.500,0.0,6.9,4.0,11.5,0.0,0.0,0.0,11.1,222,100,6.9,11.6,Dorell Wright
2015-01-11,29-040,POR,AWAY,LAL,W (+12),0,8:47,.266,.000,0.0,12.4,6.2,13.3,0.0,0.0,0.0,9.8,83,102,0.5,-6.4,Dorell Wright
2015-01-16,29-045,POR,AWAY,SAS,L (-14),0,6:21,,,0.0,16.8,9.3,20.4,0.0,0.0,,0.0,216,119,1.0,2.4,Dorell Wright
2015-01-17,29-046,POR,AWAY,MEM,L (-4),0,15:23,.000,.000,0.0,17.3,6.9,0.0,0.0,0.0,0.0,5.9,0,119,-1.2,-13.2,Dorell Wright
2015-01-19,29-048,POR,HOME,SAC,W (+4),0,16:24,.654,.583,0.0,15.8,6.7,33.5,5.9,0.0,22.5,23.1,109,91,7.9,9.6,Dorell Wright
2015-01-21,29-050,POR,AWAY,PHO,L (-5),1,34:53,.593,.550,0.0,9.2,4.4,20.5,2.7,0.0,13.7,17.8,115,114,10.8,1.9,Dorell Wright
2015-01-22,29-051,POR,HOME,BOS,L (-1),0,9:56,.129,.000,0.0,11.5,5.3,0.0,10.5,7.1,0.0,17.5,32,76,1.5,1.8,Dorell Wright
2015-01-24,29-053,POR,HOME,WAS,W (+7),0,21:01,.919,.900,4.9,30.1,16.1,24.3,0.0,0.0,0.0,11.5,187,102,12.0,15.3,Dorell Wright
2015-01-28,29-057,POR,AWAY,CLE,L (-5),0,0:06,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,133,0.0,-7.6,Dorell Wright
2015-01-30,29-059,POR,AWAY,ATL,L (-6),0,15:17,.625,.625,0.0,28.6,14.3,0.0,3.2,0.0,33.3,17.3,72,102,2.4,-3.0,Dorell Wright
