DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2018-10-20,20-337,PHO,AWAY,DEN,L (-28),0,3:42,.000,.000,0.0,33.3,13.8,0.0,0.0,0.0,50.0,23.3,0,116,-1.4,-27.5,Dragan Bender
2018-10-22,20-339,PHO,AWAY,GSW,L (-20),0,2:43,,,0.0,44.2,20.8,0.0,0.0,0.0,,0.0,0,118,-0.1,-11.1,Dragan Bender
2018-10-27,20-344,PHO,AWAY,MEM,L (-21),0,4:08,.500,.500,56.6,0.0,31.4,0.0,0.0,0.0,0.0,22.0,130,124,2.4,-1.8,Dragan Bender
2018-10-31,20-348,PHO,HOME,SAS,L (-30),0,3:55,1.000,1.000,0.0,36.0,14.9,0.0,0.0,0.0,50.0,21.7,69,121,1.0,-6.6,Dragan Bender
2018-11-14,20-362,PHO,HOME,SAS,W (+20),0,4:20,.000,.000,0.0,24.1,13.7,0.0,0.0,0.0,0.0,21.4,0,101,-1.1,-26.1,Dragan Bender
2018-11-17,21-000,PHO,HOME,OKC,L (-10),0,7:24,.000,.000,0.0,0.0,0.0,35.1,0.0,0.0,33.3,18.5,36,123,-1.8,-18.5,Dragan Bender
2018-12-02,21-015,PHO,AWAY,LAL,L (-24),0,5:18,.833,.833,17.4,20.6,18.9,48.0,0.0,0.0,0.0,24.1,166,118,5.4,22.3,Dragan Bender
2018-12-04,21-017,PHO,HOME,SAC,L (-17),0,12:00,.725,.000,0.0,20.5,9.4,10.5,0.0,0.0,0.0,9.4,176,124,3.4,-4.1,Dragan Bender
2018-12-06,21-019,PHO,AWAY,POR,L (-22),0,24:43,.538,.500,7.2,4.5,6.0,0.0,0.0,0.0,11.8,14.5,101,117,5.0,-5.2,Dragan Bender
2018-12-11,21-024,PHO,AWAY,SAS,L (-25),0,18:09,.333,.333,0.0,13.2,6.2,8.7,0.0,0.0,40.0,12.6,47,121,-1.2,-14.2,Dragan Bender
