DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2021-04-10,23-300,TOR,AWAY,CLE,W (+20),0,18:16,0.75,0.75,17.5,12.8,14.8,5.8,7.6,5.2,20.0,12.0,139,99,9.8,5.5,Freddie Gillespie
2021-04-11,23-301,TOR,AWAY,NYK,L (-6),0,8:50,0.0,0.0,0.0,11.8,6.3,0.0,0.0,0.0,0.0,5.2,0,111,-0.8,-11.1,Freddie Gillespie
2021-04-13,23-303,TOR,HOME,ATL,L (-5),0,11:48,0.667,0.667,0.0,9.2,5.0,0.0,0.0,7.5,0.0,11.4,132,109,2.5,-3.2,Freddie Gillespie
2021-04-14,23-304,TOR,HOME,SAS,W (+5),0,18:55,0.666,0.6,30.2,14.4,21.4,7.6,0.0,10.1,12.9,17.7,145,113,11.0,3.3,Freddie Gillespie
2021-04-16,23-306,TOR,HOME,ORL,W (+11),0,21:47,0.625,0.625,6.0,33.1,20.0,0.0,0.0,0.0,11.1,19.1,111,112,6.3,-8.2,Freddie Gillespie
2021-04-18,23-308,TOR,HOME,OKC,W (+6),0,19:02,1.025,1.0,9.5,0.0,5.4,9.4,0.0,5.1,0.0,10.3,218,112,11.2,6.8,Freddie Gillespie
2021-04-21,23-311,TOR,HOME,BRK,W (+11),0,23:38,0.41,0.25,8.6,11.9,10.4,5.5,2.1,20.3,0.0,9.1,119,94,7.9,3.5,Freddie Gillespie
2021-04-24,23-314,TOR,AWAY,NYK,L (-17),0,12:39,0.5,0.5,8.6,0.0,4.9,11.8,0.0,0.0,33.3,11.6,93,136,1.0,-10.3,Freddie Gillespie
2021-04-26,23-316,TOR,HOME,CLE,W (+16),0,13:39,0.798,0.5,10.7,8.0,9.1,0.0,0.0,0.0,34.7,20.3,113,111,2.0,-13.9,Freddie Gillespie
2021-04-27,23-317,TOR,HOME,BRK,L (-13),0,11:44,0.5,0.5,16.7,31.5,23.2,0.0,0.0,0.0,0.0,7.3,138,126,2.1,-7.5,Freddie Gillespie
2021-04-29,23-319,TOR,AWAY,DEN,L (-10),0,12:02,1.064,1.0,0.0,18.6,9.6,0.0,0.0,6.9,0.0,7.1,228,125,5.0,2.6,Freddie Gillespie
2021-05-01,23-321,TOR,AWAY,UTA,L (-4),0,12:41,0.41,0.5,7.4,30.7,17.2,0.0,4.0,10.2,0.0,17.1,89,100,4.5,-0.6,Freddie Gillespie
2021-05-02,23-322,TOR,AWAY,LAL,W (+7),0,19:58,0.463,0.455,24.0,11.2,18.1,0.0,2.3,0.0,0.0,23.9,116,111,8.4,-6.4,Freddie Gillespie
2021-05-04,23-324,TOR,AWAY,LAC,L (-5),0,15:09,0.717,0.75,14.1,18.6,16.0,10.4,3.3,7.7,0.0,14.8,157,103,9.0,10.5,Freddie Gillespie
2021-05-06,23-326,TOR,HOME,WAS,L (-2),0,16:54,0.307,0.25,23.2,21.9,22.6,0.0,2.9,4.9,17.0,14.3,91,114,3.8,-7.6,Freddie Gillespie
2021-05-08,23-328,TOR,HOME,MEM,L (-10),0,21:48,0.615,0.5,8.0,28.1,17.3,0.0,0.0,5.2,17.0,11.2,116,108,5.7,-4.3,Freddie Gillespie
2021-05-11,23-331,TOR,HOME,LAC,L (-19),0,25:05,0.727,0.667,15.6,16.4,15.9,7.0,2.0,12.5,12.7,14.0,142,116,13.1,5.6,Freddie Gillespie
2021-05-13,23-333,TOR,AWAY,CHI,L (-12),0,30:50,0.225,0.25,6.2,14.2,9.4,0.0,4.8,0.0,18.4,7.9,60,115,2.3,-10.8,Freddie Gillespie
2021-05-14,23-334,TOR,AWAY,DAL,L (-4),1,36:00,0.694,0.5,3.8,15.7,10.9,3.3,1.4,2.8,41.0,6.3,100,119,4.7,-4.8,Freddie Gillespie
