DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2014-12-15,23-128,PHI,HOME,BOS,L (-18),0,9:32,.333,.333,19.4,0.0,10.1,18.0,0.0,0.0,25.0,16.2,76,111,0.6,-9.9,Furkan Aldemir
2014-12-19,23-132,PHI,HOME,CHO,L (-18),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Furkan Aldemir
2014-12-21,23-134,PHI,AWAY,ORL,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Furkan Aldemir
2014-12-23,23-136,PHI,AWAY,MIA,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Furkan Aldemir
2014-12-26,23-139,PHI,AWAY,POR,L (-21),0,4:38,,,0.0,49.3,23.0,0.0,0.0,0.0,,0.0,0,112,0.2,-9.1,Furkan Aldemir
2014-12-27,23-140,PHI,AWAY,UTA,L (-17),0,6:03,.000,.000,15.6,0.0,8.0,0.0,0.0,0.0,0.0,7.8,47,109,-0.8,-17.4,Furkan Aldemir
2014-12-30,23-143,PHI,AWAY,GSW,L (-40),0,16:04,1.000,1.000,17.2,39.3,26.6,0.0,5.9,0.0,0.0,4.9,203,114,7.8,5.4,Furkan Aldemir
2015-01-02,23-146,PHI,AWAY,PHO,L (-16),0,2:10,.000,.000,0.0,0.0,0.0,0.0,0.0,42.6,0.0,19.4,0,107,0.0,-11.0,Furkan Aldemir
2015-01-03,23-147,PHI,AWAY,LAC,L (-36),0,12:30,.387,.333,31.3,29.5,30.5,0.0,0.0,0.0,20.5,16.8,93,136,3.2,-10.0,Furkan Aldemir
2015-01-05,23-149,PHI,HOME,CLE,W (+3),0,19:05,,,13.2,41.9,29.2,6.6,0.0,4.6,,0.0,217,91,4.0,-1.4,Furkan Aldemir
