DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2013-10-30,25-325,CHA,AWAY,HOU,L (-13),1,31:35,.335,.313,0.0,7.8,3.3,12.0,0.0,0.0,0.0,23.6,78,115,3.0,-7.5,Gerald Henderson
2013-11-01,25-327,CHA,HOME,CLE,W (+6),1,28:11,.370,.200,0.0,11.9,6.5,5.8,1.8,0.0,18.2,27.3,66,91,1.4,-11.7,Gerald Henderson
2013-11-02,25-328,CHA,AWAY,NOP,L (-21),1,26:59,.322,.300,0.0,10.2,4.2,7.2,1.9,2.9,15.5,21.1,62,112,0.2,-10.5,Gerald Henderson
2013-11-05,25-331,CHA,AWAY,NYK,W (+5),1,35:40,.545,.423,3.5,20.5,12.8,11.6,2.9,0.0,10.8,22.4,120,102,14.7,2.7,Gerald Henderson
2013-11-06,25-332,CHA,HOME,TOR,W (+2),1,34:14,.613,.588,3.8,7.4,5.6,25.5,3.4,0.0,9.6,30.9,118,109,17.2,4.8,Gerald Henderson
2013-11-08,25-334,CHA,HOME,NYK,L (-10),1,35:46,.446,.389,3.8,25.0,15.5,6.2,1.5,0.0,16.5,31.5,84,110,7.8,-8.2,Gerald Henderson
2013-11-11,25-337,CHA,HOME,ATL,L (-9),1,33:06,.517,.375,0.0,4.0,1.8,15.2,0.0,0.0,15.8,17.0,98,114,5.8,-4.2,Gerald Henderson
2013-11-13,25-339,CHA,AWAY,BOS,W (+6),1,34:36,.401,.357,8.9,17.3,13.1,30.1,1.5,0.0,11.0,23.8,91,92,10.0,-0.2,Gerald Henderson
2013-11-15,25-341,CHA,AWAY,CLE,W (+6),1,31:10,.308,.308,3.4,13.7,8.6,6.0,0.0,2.4,7.1,20.6,68,94,2.8,-9.5,Gerald Henderson
2013-11-16,25-342,CHA,HOME,MIA,L (-16),1,32:34,.458,.375,0.0,32.2,13.1,12.8,1.7,0.0,6.6,22.4,94,110,8.1,-2.4,Gerald Henderson
2013-11-18,25-344,CHA,AWAY,CHI,L (-5),1,31:20,.477,.400,5.4,22.4,12.5,36.3,1.7,0.0,10.7,26.8,100,92,12.3,4.9,Gerald Henderson
2013-11-20,25-346,CHA,HOME,BRK,W (+4),1,30:45,.458,.375,6.6,0.0,4.1,26.2,3.5,0.0,6.6,21.7,115,103,10.9,4.9,Gerald Henderson
2013-11-22,25-348,CHA,HOME,PHO,L (-7),1,34:21,.581,.500,0.0,14.3,6.7,17.8,1.5,3.0,6.4,20.3,119,102,13.0,4.3,Gerald Henderson
2013-11-23,25-349,CHA,AWAY,MIL,W (+24),1,26:02,.599,.625,0.0,15.1,8.4,22.0,2.1,0.0,0.0,25.4,135,83,13.7,9.1,Gerald Henderson
2013-11-25,25-351,CHA,HOME,BOS,L (-10),1,36:45,.509,.412,0.0,16.7,8.6,5.5,1.5,0.0,9.2,28.6,100,109,12.1,-1.1,Gerald Henderson
2013-11-27,25-353,CHA,HOME,IND,L (-25),1,31:07,.298,.200,0.0,14.0,6.2,7.2,0.0,2.6,10.7,26.2,59,104,0.1,-7.8,Gerald Henderson
2013-11-29,25-355,CHA,HOME,MIL,W (+16),1,38:33,.607,.577,2.6,13.8,8.1,14.2,1.4,0.0,24.2,23.4,98,85,11.4,0.6,Gerald Henderson
2013-12-01,25-357,CHA,AWAY,MIA,L (-1),1,33:22,.599,.500,4.0,19.4,11.8,21.8,3.1,2.8,17.4,24.2,110,103,14.5,5.7,Gerald Henderson
