DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
1999-11-02,28-261,NJN,HOME,IND,L (-7),0,13:05,.787,1.000,17.2,16.4,16.8,0.0,0.0,0.0,16.4,18.8,138,119,6.0,0.8,Gheorghe Muresan
1999-11-03,28-262,NJN,AWAY,CLE,L (-7),0,7:10,.174,.000,14.0,0.0,7.8,0.0,0.0,0.0,25.8,22.5,41,107,-1.5,-21.0,Gheorghe Muresan
1999-11-05,28-264,NJN,HOME,TOR,L (-20),0,12:04,.765,.800,8.7,18.2,13.3,0.0,0.0,0.0,0.0,21.5,158,123,7.2,7.3,Gheorghe Muresan
1999-11-07,28-266,NJN,HOME,WAS,W (+25),0,8:46,.255,.200,11.3,21.8,16.7,0.0,0.0,21.6,14.5,30.6,60,76,0.3,-15.0,Gheorghe Muresan
1999-11-10,28-269,NJN,HOME,PHO,L (-15),0,2:37,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0,118,-0.7,-18.6,Gheorghe Muresan
1999-11-12,28-271,NJN,AWAY,CHH,L (-4),0,8:27,.000,.000,0.0,0.0,0.0,0.0,0.0,9.5,0.0,5.7,0,101,0.0,-6.0,Gheorghe Muresan
1999-11-15,28-274,NJN,HOME,SEA,L (-8),0,3:36,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0,117,-1.1,-23.4,Gheorghe Muresan
1999-11-17,28-276,NJN,AWAY,DET,L (-2),0,8:59,.436,.333,14.4,26.7,20.8,17.4,0.0,7.1,22.5,22.6,93,110,2.2,-5.1,Gheorghe Muresan
1999-11-19,28-278,NJN,AWAY,BOS,L (-13),0,5:43,.333,.333,32.7,0.0,18.2,0.0,0.0,0.0,25.0,27.9,73,124,-0.1,-23.2,Gheorghe Muresan
1999-11-20,28-279,NJN,HOME,PHI,L (-4),0,3:37,.000,.000,29.3,0.0,15.4,0.0,0.0,0.0,50.0,22.2,28,117,-1.4,-31.9,Gheorghe Muresan
1999-11-23,28-282,NJN,AWAY,SAC,L (-13),0,6:59,.667,.667,33.2,0.0,20.0,27.1,0.0,0.0,25.0,23.2,119,120,3.7,2.1,Gheorghe Muresan
1999-11-24,28-283,NJN,AWAY,GSW,W (+8),0,12:52,.266,.000,0.0,21.7,11.4,0.0,0.0,5.1,34.7,10.1,37,82,-0.7,-9.6,Gheorghe Muresan
