DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2012-10-31,21-297,HOU,AWAY,DET,W (+9),0,17:02,1.025,1.000,14.8,19.7,17.4,0.0,6.0,0.0,0.0,12.6,215,93,11.1,10.2,Greg Smith
2012-11-10,21-307,HOU,HOME,DET,W (+14),0,11:32,.347,.000,9.9,27.7,19.1,50.4,4.5,6.9,0.0,11.2,129,74,5.5,17.0,Greg Smith
2012-11-14,21-311,HOU,HOME,NOH,W (+4),0,11:22,1.042,1.000,0.0,10.1,5.4,15.3,0.0,0.0,0.0,12.1,219,112,5.6,9.0,Greg Smith
2012-11-16,21-313,HOU,AWAY,POR,L (-2),0,7:18,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,33.3,18.2,64,125,-1.2,-20.5,Greg Smith
2012-11-18,21-315,HOU,AWAY,LAL,L (-11),0,7:38,1.042,1.000,43.9,31.4,37.9,20.0,0.0,0.0,0.0,16.0,218,121,8.8,22.3,Greg Smith
2012-11-19,21-316,HOU,AWAY,UTA,L (-11),0,15:15,.630,.667,16.9,32.8,24.2,0.0,0.0,13.3,0.0,13.2,142,92,8.4,7.4,Greg Smith
2012-11-21,21-318,HOU,HOME,CHI,W (+4),0,18:19,.571,.571,18.7,5.1,11.3,12.2,0.0,0.0,12.5,18.9,115,99,6.0,1.2,Greg Smith
2012-11-23,21-320,HOU,HOME,NYK,W (+28),0,14:16,.333,.333,0.0,30.6,17.0,0.0,0.0,0.0,0.0,8.8,78,107,0.3,-9.2,Greg Smith
2012-11-27,21-324,HOU,HOME,TOR,W (+16),0,11:52,.370,.200,20.2,0.0,9.6,0.0,0.0,0.0,0.0,25.7,105,116,2.1,-17.4,Greg Smith
2012-11-28,21-325,HOU,AWAY,OKC,L (-22),0,3:49,.667,.667,80.3,0.0,44.9,0.0,0.0,0.0,25.0,43.3,111,135,3.4,-0.7,Greg Smith
2012-12-01,21-328,HOU,HOME,UTA,W (+8),0,16:01,.725,.600,25.0,0.0,11.8,0.0,0.0,0.0,0.0,24.3,166,128,11.2,0.8,Greg Smith
2012-12-04,21-331,HOU,HOME,LAL,W (+2),0,24:19,.911,.875,13.4,22.4,17.2,0.0,0.0,6.4,8.0,19.8,173,103,21.3,15.8,Greg Smith
2012-12-07,21-334,HOU,AWAY,SAS,L (-22),0,13:44,.333,.333,6.5,10.6,8.0,0.0,3.4,0.0,0.0,9.0,83,110,1.9,-5.9,Greg Smith
2012-12-08,21-335,HOU,HOME,DAL,L (-7),0,2:28,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,200,123,0.9,-4.9,Greg Smith
2012-12-10,21-337,HOU,HOME,SAS,L (-8),0,16:06,.333,.333,12.2,37.6,22.2,0.0,0.0,15.9,0.0,15.6,89,110,3.7,-7.4,Greg Smith
2012-12-12,21-339,HOU,HOME,WAS,W (+6),0,19:44,.174,.000,0.0,19.1,10.5,7.2,0.0,11.4,0.0,6.5,56,88,1.6,-2.8,Greg Smith
2012-12-14,21-341,HOU,HOME,BOS,W (+12),0,21:46,.859,.889,11.3,18.8,15.4,0.0,0.0,10.2,14.7,29.2,140,91,17.6,12.5,Greg Smith
