DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2005-11-30,20-118,POR,AWAY,WAS,L (-7),0,3:35,1.000,1.000,30.4,22.0,25.5,0.0,0.0,0.0,0.0,12.3,201,95,1.5,-2.2,Ha Seung-Jin
2005-12-02,20-120,POR,HOME,IND,L (-20),0,24:55,.515,.500,12.8,16.1,14.3,0.0,0.0,6.5,11.4,17.5,106,120,6.0,-3.8,Ha Seung-Jin
2005-12-04,20-122,POR,HOME,UTA,L (-5),0,5:58,,,0.0,30.9,11.5,0.0,0.0,0.0,,0.0,0,120,0.3,-5.4,Ha Seung-Jin
2005-12-09,20-127,POR,HOME,NOK,W (+3),0,3:42,,,0.0,42.1,18.8,0.0,0.0,0.0,,0.0,0,103,-0.1,-6.1,Ha Seung-Jin
2005-12-11,20-129,POR,HOME,HOU,L (-14),0,9:24,.798,1.000,0.0,36.5,17.2,0.0,0.0,0.0,34.7,13.9,90,111,0.6,-10.1,Ha Seung-Jin
2005-12-14,20-132,POR,AWAY,UTA,L (-5),0,12:14,.266,.000,0.0,14.8,8.8,0.0,0.0,5.4,34.7,12.8,37,104,-1.4,-16.6,Ha Seung-Jin
2005-12-16,20-134,POR,HOME,SEA,L (-12),0,1:01,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,135,0.0,-7.1,Ha Seung-Jin
2005-12-18,20-136,POR,HOME,WAS,W (+5),0,11:24,.615,.500,0.0,11.1,5.3,0.0,0.0,0.0,45.0,18.0,64,111,-0.5,-15.4,Ha Seung-Jin
2005-12-28,20-146,POR,HOME,PHI,W (+4),0,6:40,.000,.000,13.6,36.0,23.2,0.0,0.0,10.7,0.0,5.9,51,85,0.5,-7.8,Ha Seung-Jin
2005-12-30,20-148,POR,HOME,MEM,L (-3),0,9:35,.174,.000,0.0,27.1,13.7,0.0,0.0,0.0,0.0,15.5,43,113,-0.6,-15.6,Ha Seung-Jin
2006-01-08,20-157,POR,HOME,MIA,L (-29),0,9:34,1.000,1.000,0.0,55.7,23.9,0.0,0.0,0.0,0.0,4.9,200,124,2.9,1.3,Ha Seung-Jin
2006-01-28,20-177,POR,AWAY,GSW,L (-15),0,2:01,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,-0.4,-17.6,Ha Seung-Jin
2006-02-08,20-188,POR,AWAY,IND,L (-32),0,7:48,.410,.250,22.4,14.0,18.6,44.4,0.0,10.3,17.0,34.8,90,120,3.3,2.1,Ha Seung-Jin
2006-02-10,20-190,POR,AWAY,BOS,L (-32),0,5:03,1.000,1.000,0.0,0.0,0.0,0.0,11.0,0.0,0.0,9.6,200,118,2.7,14.6,Ha Seung-Jin
2006-02-12,20-192,POR,AWAY,TOR,L (-33),0,2:28,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0,137,-0.7,-26.5,Ha Seung-Jin
2006-02-13,20-193,POR,AWAY,CHA,W (+8),1,11:02,,,10.6,34.3,22.0,0.0,0.0,0.0,100.0,12.5,19,89,-2.2,-19.5,Ha Seung-Jin
2006-02-15,20-195,POR,AWAY,NOK,L (-16),1,19:51,.773,1.000,10.5,16.9,13.6,0.0,0.0,6.7,0.0,9.4,156,113,6.8,3.0,Ha Seung-Jin
