DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2011-12-25,24-077,NYK,HOME,BOS,W (+2),0,14:43,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,75.0,12.4,0,121,-5.3,-24.9,Henry Walker
2011-12-28,24-080,NYK,AWAY,GSW,L (-14),0,27:18,.875,.875,4.4,4.6,4.5,0.0,2.0,0.0,11.1,16.5,140,106,11.0,8.8,Henry Walker
2011-12-29,24-081,NYK,AWAY,LAL,L (-17),0,17:17,.129,.000,0.0,0.0,0.0,13.2,9.6,0.0,0.0,11.1,41,102,0.2,-6.8,Henry Walker
2011-12-31,24-083,NYK,AWAY,SAC,W (+22),0,30:38,.688,.688,6.8,6.5,6.7,29.2,0.0,0.0,20.0,13.9,132,111,9.6,3.0,Henry Walker
2012-01-02,24-085,NYK,HOME,TOR,L (-5),0,24:14,.509,.417,0.0,5.4,2.4,8.2,0.0,0.0,12.7,15.6,93,103,2.0,-6.7,Henry Walker
2012-01-04,24-087,NYK,HOME,CHA,L (-8),0,16:19,.750,.750,0.0,0.0,0.0,16.3,3.0,0.0,20.0,13.3,130,121,4.2,0.8,Henry Walker
2012-01-06,24-089,NYK,AWAY,WAS,W (+3),0,20:14,.333,.333,0.0,21.6,10.2,13.0,2.3,3.3,25.0,8.1,73,92,2.8,-2.7,Henry Walker
2012-01-07,24-090,NYK,AWAY,DET,W (+23),0,19:11,.333,.333,0.0,4.9,2.8,20.6,2.8,0.0,0.0,7.3,114,94,2.5,-2.7,Henry Walker
2012-01-09,24-092,NYK,HOME,CHA,W (+4),0,14:35,.000,.000,0.0,14.3,6.6,0.0,0.0,5.2,0.0,6.1,0,95,-1.3,-11.7,Henry Walker
2012-01-11,24-094,NYK,HOME,PHI,W (+6),0,16:43,.500,.500,0.0,25.0,13.8,9.9,0.0,0.0,0.0,8.1,119,88,2.4,1.5,Henry Walker
2012-01-12,24-095,NYK,AWAY,MEM,L (-11),0,21:22,.875,.875,0.0,16.4,7.6,11.4,2.4,3.6,0.0,17.0,159,94,12.1,17.4,Henry Walker
2012-01-14,24-097,NYK,AWAY,OKC,L (-12),1,20:50,.218,.167,5.0,39.5,19.9,21.8,2.4,0.0,12.7,16.0,67,105,2.2,-5.4,Henry Walker
2012-01-16,24-099,NYK,HOME,ORL,L (-9),0,9:59,.000,.000,0.0,13.7,6.4,0.0,0.0,0.0,0.0,4.9,0,119,-0.8,-12.5,Henry Walker
