DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2020-12-27,21-354,NYK,HOME,MIL,W (+20),0,1:16,.532,.000,100.0,0.0,42.1,0.0,0.0,0.0,0.0,63.7,147,119,2.0,3.6,Ignas Brazdeikis
2020-12-31,21-358,NYK,AWAY,TOR,L (-17),0,0:45,,,0.0,100.0,63.4,0.0,0.0,0.0,,0.0,0,71,0.3,2.4,Ignas Brazdeikis
2021-01-10,22-002,NYK,HOME,DEN,L (-25),0,1:47,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,130,0.0,-7.4,Ignas Brazdeikis
2021-01-17,22-009,NYK,AWAY,BOS,W (+30),0,3:17,,,0.0,0.0,0.0,38.5,0.0,0.0,100.0,13.9,47,94,-0.3,-6.9,Ignas Brazdeikis
2021-04-04,22-086,PHI,HOME,MEM,L (-16),0,7:54,.000,.000,0.0,27.6,12.3,0.0,0.0,0.0,0.0,16.4,0,123,-1.5,-21.4,Ignas Brazdeikis
2021-05-03,22-115,ORL,AWAY,DET,W (+7),0,31:35,.717,.688,3.9,6.0,5.1,4.1,3.1,0.0,9.3,15.0,135,113,11.4,-2.8,Ignas Brazdeikis
2021-05-05,22-117,ORL,HOME,BOS,L (-36),0,30:25,.389,.389,3.4,10.8,7.0,5.6,0.0,0.0,10.0,13.8,82,136,1.6,-12.2,Ignas Brazdeikis
2021-05-07,22-119,ORL,AWAY,CHO,L (-10),0,24:08,.337,.318,7.4,22.6,14.2,17.0,0.0,0.0,14.4,23.7,79,124,3.7,-11.1,Ignas Brazdeikis
2021-05-09,22-121,ORL,HOME,MIN,L (-32),0,35:08,.673,.682,7.5,8.7,8.0,15.5,0.0,0.0,20.2,17.9,113,130,10.8,-4.6,Ignas Brazdeikis
2021-05-11,22-123,ORL,AWAY,MIL,L (-12),0,20:25,.425,.300,0.0,12.0,6.1,6.4,2.3,0.0,0.0,12.0,98,109,3.3,-4.5,Ignas Brazdeikis
2021-05-13,22-125,ORL,AWAY,ATL,L (-23),0,26:36,.321,.321,6.8,7.7,7.2,12.5,0.0,3.1,6.7,23.6,78,125,3.5,-9.0,Ignas Brazdeikis
2021-05-14,22-126,ORL,AWAY,PHI,L (-25),0,31:30,.875,.875,3.3,17.3,10.2,7.9,0.0,5.2,7.7,18.3,150,126,19.1,9.6,Ignas Brazdeikis
2021-05-16,22-128,ORL,AWAY,PHI,L (-11),0,34:02,.455,.444,0.0,24.0,12.8,17.8,1.4,0.0,16.8,15.2,90,123,6.5,-6.4,Ignas Brazdeikis
2019-11-03,20-299,NYK,HOME,SAC,L (-21),0,4:11,.694,.500,0.0,0.0,0.0,55.9,0.0,0.0,25.8,41.7,112,126,2.7,5.5,Ignas Brazdeikis
2019-11-06,20-302,NYK,AWAY,DET,L (-20),0,3:43,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0,135,-1.8,-38.9,Ignas Brazdeikis
2019-11-10,20-306,NYK,HOME,CLE,L (-21),0,4:17,.500,.500,0.0,0.0,0.0,0.0,0.0,20.8,0.0,19.0,104,106,1.7,6.4,Ignas Brazdeikis
2019-11-12,20-308,NYK,AWAY,CHI,L (-18),0,2:04,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0,127,-0.7,-26.8,Ignas Brazdeikis
2019-11-27,20-323,NYK,AWAY,TOR,L (-28),0,9:35,.333,.333,10.0,0.0,5.2,0.0,0.0,0.0,25.0,17.2,63,141,-0.4,-16.5,Ignas Brazdeikis
2019-12-02,20-328,NYK,AWAY,MIL,L (-44),0,18:01,.304,.278,4.4,14.0,8.1,0.0,0.0,0.0,0.0,22.8,71,136,1.4,-10.2,Ignas Brazdeikis
2019-12-10,20-336,NYK,AWAY,POR,L (-28),0,5:25,.000,.000,0.0,18.9,8.4,27.7,0.0,0.0,0.0,7.8,42,118,-0.1,-9.7,Ignas Brazdeikis
2019-12-26,20-352,NYK,AWAY,BRK,W (+12),0,1:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,97,0.0,-3.9,Ignas Brazdeikis
