DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2020-12-29,22-330,OKC,HOME,ORL,L (-11),1,28:06,.713,.792,15.5,10.5,12.9,0.0,1.7,4.6,7.0,21.2,134,112,16.5,5.8,Isaiah Roby
2020-12-31,22-332,OKC,HOME,NOP,L (-33),0,18:17,.518,.600,10.3,22.3,16.1,0.0,0.0,0.0,22.8,21.8,79,116,2.9,-10.8,Isaiah Roby
2021-01-04,22-336,OKC,AWAY,MIA,L (-28),0,24:06,.300,.300,4.1,5.5,4.7,14.7,0.0,4.2,16.7,11.3,71,122,1.6,-8.0,Isaiah Roby
2021-01-06,22-338,OKC,AWAY,NOP,W (+1),0,10:43,1.250,1.250,9.5,10.4,10.0,0.0,0.0,0.0,50.0,16.6,95,113,2.6,-5.3,Isaiah Roby
2021-01-08,22-340,OKC,AWAY,NYK,W (+12),0,4:09,1.064,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,227,103,3.7,18.5,Isaiah Roby
2021-01-10,22-342,OKC,AWAY,BRK,W (+13),0,19:17,.874,.857,0.0,33.6,16.2,0.0,0.0,0.0,11.8,19.5,141,116,9.8,1.6,Isaiah Roby
2021-01-12,22-344,OKC,HOME,SAS,L (-10),0,13:34,.515,.333,15.4,27.2,21.7,10.9,0.0,5.9,0.0,12.6,134,106,5.5,2.6,Isaiah Roby
2021-01-13,22-345,OKC,HOME,LAL,L (-29),1,24:09,.628,.571,8.5,30.9,19.4,27.4,0.0,0.0,18.6,20.3,119,130,10.8,-0.1,Isaiah Roby
2021-01-15,22-347,OKC,HOME,CHI,W (+2),1,25:41,.543,.542,0.0,17.9,8.3,17.4,0.0,0.0,0.0,21.0,115,112,8.5,-2.5,Isaiah Roby
2021-01-19,22-351,OKC,AWAY,DEN,L (-18),1,26:11,.484,.389,22.4,11.0,16.7,18.0,7.1,0.0,22.5,21.2,103,105,11.9,2.6,Isaiah Roby
2021-01-22,22-354,OKC,AWAY,LAC,L (-14),1,27:37,.667,.667,4.0,15.3,9.0,10.2,1.8,0.0,0.0,10.1,143,124,8.2,-0.7,Isaiah Roby
2021-01-24,22-356,OKC,AWAY,LAC,L (-8),1,26:03,.500,.500,11.1,27.4,19.0,16.9,1.9,0.0,0.0,16.6,123,107,11.1,3.5,Isaiah Roby
2021-01-25,22-357,OKC,AWAY,POR,W (+3),1,27:22,.568,.409,8.0,3.6,5.7,4.9,0.0,6.2,0.0,23.0,132,129,12.1,-4.6,Isaiah Roby
2021-01-27,22-359,OKC,AWAY,PHO,W (+5),0,9:54,1.000,1.000,0.0,9.3,5.0,0.0,0.0,0.0,0.0,9.2,200,105,2.9,-1.8,Isaiah Roby
2021-01-29,22-361,OKC,HOME,BRK,L (-22),0,11:46,,,8.9,30.6,19.0,0.0,0.0,0.0,,0.0,234,139,0.4,-12.1,Isaiah Roby
2021-02-01,22-364,OKC,HOME,HOU,L (-30),0,11:42,.258,.000,0.0,26.2,13.0,0.0,7.9,16.4,20.5,17.7,45,102,3.2,-4.6,Isaiah Roby
2021-02-03,23-000,OKC,HOME,HOU,W (+17),0,18:59,.658,.667,0.0,9.9,5.5,12.1,0.0,6.3,9.2,23.8,114,86,8.9,2.0,Isaiah Roby
2021-02-05,23-002,OKC,HOME,MIN,L (-3),1,33:31,.550,.550,7.0,15.6,11.5,13.5,4.3,8.0,33.3,19.6,81,97,11.1,-1.3,Isaiah Roby
2021-02-06,23-003,OKC,HOME,MIN,W (+2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Isaiah Roby
2021-02-08,23-005,OKC,AWAY,LAL,L (-7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Isaiah Roby
2021-02-12,23-009,OKC,AWAY,DEN,L (-2),0,19:00,.595,.600,11.0,16.8,13.9,26.7,0.0,5.4,14.5,15.9,121,103,8.0,4.8,Isaiah Roby
2021-02-14,23-011,OKC,HOME,MIL,W (+5),0,17:39,.773,.833,17.4,22.2,19.8,13.7,2.7,0.0,0.0,9.2,177,103,8.4,4.9,Isaiah Roby
2021-02-16,23-013,OKC,HOME,POR,L (-11),0,23:38,.709,.667,8.8,30.1,20.3,14.1,0.0,4.1,11.4,16.5,137,112,11.7,2.2,Isaiah Roby
2021-02-17,23-014,OKC,AWAY,MEM,L (-9),1,23:23,.506,.500,9.5,30.8,19.8,30.7,4.1,0.0,16.8,22.5,106,113,8.5,-1.2,Isaiah Roby
2021-02-19,23-016,OKC,AWAY,MIL,L (-13),0,20:39,1.000,1.000,0.0,33.2,15.2,19.3,0.0,0.0,0.0,8.9,190,99,7.9,6.1,Isaiah Roby
2021-02-21,23-018,OKC,AWAY,CLE,W (+16),0,20:20,.436,.333,14.3,15.4,14.9,18.5,0.0,4.8,12.7,18.0,110,109,6.3,-2.5,Isaiah Roby
2021-02-22,23-019,OKC,HOME,MIA,L (-14),1,27:51,1.020,1.000,8.6,12.0,10.4,6.9,1.9,0.0,25.4,13.7,147,116,10.9,4.5,Isaiah Roby
