DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2021-10-20,19-253,HOU,AWAY,MIN,L (-18),1,32:11,.321,.321,0.0,14.2,6.9,17.5,1.4,0.0,0.0,17.2,87,122,5.8,-5.9,Jalen Green
2021-10-22,19-255,HOU,HOME,OKC,W (+33),1,26:01,.409,.409,0.0,10.6,6.0,9.1,3.5,3.8,15.4,20.3,79,85,5.1,-6.5,Jalen Green
2021-10-24,19-257,HOU,HOME,BOS,L (-10),1,35:50,.833,.833,3.2,9.8,6.5,23.3,1.4,6.9,14.3,27.2,129,109,24.5,16.8,Jalen Green
2021-10-26,19-259,HOU,AWAY,DAL,L (-10),1,35:55,.313,.313,0.0,12.9,6.7,4.4,0.0,0.0,11.1,21.0,61,118,-0.2,-14.6,Jalen Green
2021-10-28,19-261,HOU,HOME,UTA,L (-31),1,29:43,.326,.188,0.0,12.8,4.9,18.5,1.6,4.1,9.1,30.5,71,121,4.5,-6.8,Jalen Green
2021-10-31,19-264,HOU,AWAY,LAL,L (-10),1,31:32,.329,.250,0.0,13.8,7.8,26.3,1.5,0.0,27.3,19.6,65,95,2.2,-6.7,Jalen Green
2021-11-02,19-266,HOU,AWAY,LAL,L (-2),1,37:50,.756,.767,5.9,0.0,3.1,17.3,0.0,0.0,30.6,24.1,109,120,13.0,-1.4,Jalen Green
2021-11-04,19-268,HOU,AWAY,PHO,L (-12),1,32:29,.457,.286,0.0,9.0,5.0,13.2,0.0,0.0,10.2,24.4,94,124,8.0,-5.8,Jalen Green
2021-11-06,19-270,HOU,AWAY,DEN,L (-1),1,30:35,.402,.333,0.0,6.3,3.4,10.4,1.7,0.0,21.1,21.9,71,105,3.1,-9.4,Jalen Green
2021-11-07,19-271,HOU,AWAY,GSW,L (-13),1,29:57,.375,.375,0.0,0.0,0.0,10.8,1.6,0.0,25.0,22.1,64,124,-0.2,-13.2,Jalen Green
