DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2015-10-27,24-158,CLE,AWAY,CHI,L (-2),0,3:11,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,0,105,-1.4,-28.5,Jared Cunningham
2015-10-28,24-159,CLE,AWAY,MEM,W (+30),0,15:09,.888,.900,0.0,6.0,3.4,11.2,0.0,4.8,12.9,22.3,149,83,9.6,14.0,Jared Cunningham
2015-10-30,24-161,CLE,HOME,MIA,W (+10),0,9:12,.500,.500,0.0,0.0,0.0,36.5,0.0,0.0,0.0,19.6,122,107,3.0,2.0,Jared Cunningham
2015-11-02,24-164,CLE,AWAY,PHI,W (+7),0,17:03,.420,.333,0.0,12.5,7.0,0.0,0.0,0.0,0.0,12.7,90,109,1.3,-10.6,Jared Cunningham
2015-11-04,24-166,CLE,HOME,NYK,W (+10),0,10:09,.284,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,60,101,-0.6,-9.6,Jared Cunningham
2015-11-06,24-168,CLE,HOME,PHI,W (+6),1,20:13,.000,.000,0.0,5.8,2.9,5.3,2.5,0.0,50.0,4.3,30,107,-0.5,-8.0,Jared Cunningham
2015-11-08,24-170,CLE,HOME,IND,W (+4),0,8:53,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,98,115,2.3,-2.3,Jared Cunningham
2015-11-14,24-176,CLE,AWAY,MIL,L (-3),0,3:23,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111,-0.4,-11.7,Jared Cunningham
2015-11-17,24-179,CLE,AWAY,DET,L (-5),0,2:24,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0,115,-0.7,-22.1,Jared Cunningham
2015-11-19,24-181,CLE,HOME,MIL,W (+15),0,17:17,.754,.500,0.0,23.1,12.8,29.8,0.0,0.0,30.1,18.2,133,116,6.5,2.4,Jared Cunningham
2015-11-21,24-183,CLE,HOME,ATL,W (+12),0,19:49,.405,.389,0.0,18.6,10.9,0.0,5.2,0.0,16.8,26.8,70,94,2.5,-9.6,Jared Cunningham
2015-11-23,24-185,CLE,HOME,ORL,W (+14),0,27:17,.225,.188,4.6,8.4,6.6,8.5,3.9,3.0,18.4,19.0,60,107,0.6,-12.0,Jared Cunningham
2015-11-25,24-187,CLE,AWAY,TOR,L (-4),1,20:43,.300,.300,0.0,17.8,8.5,14.8,2.6,0.0,16.7,28.1,61,112,0.3,-11.7,Jared Cunningham
2015-11-27,24-189,CLE,AWAY,CHO,W (+5),0,0:08,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,103,0.0,-2.0,Jared Cunningham
2015-11-28,24-190,CLE,HOME,BRK,W (+2),0,0:59,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,101,0.0,-7.0,Jared Cunningham
2015-12-01,24-193,CLE,HOME,WAS,L (-12),0,1:09,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,104,0.0,-5.2,Jared Cunningham
2015-12-05,24-197,CLE,AWAY,MIA,L (-15),0,32:02,.564,.438,0.0,0.0,0.0,5.7,3.2,0.0,17.0,16.1,100,105,6.1,-0.2,Jared Cunningham
2015-12-08,24-200,CLE,HOME,POR,W (+5),0,34:32,.735,.833,0.0,4.1,2.1,0.0,1.6,0.0,0.0,6.9,147,117,5.0,-3.0,Jared Cunningham
2015-12-11,24-203,CLE,AWAY,ORL,W (+35),1,23:12,.393,.300,6.3,9.9,8.3,10.6,0.0,0.0,11.6,17.5,95,90,2.2,-7.7,Jared Cunningham
