DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2014-10-28,37-043,HOU,AWAY,LAL,W (+18),0,21:23,.800,.800,0.0,0.0,0.0,9.3,0.0,0.0,16.7,12.5,128,109,5.4,1.7,Jason Terry
2014-10-29,37-044,HOU,AWAY,UTA,W (+11),0,21:16,.800,.800,0.0,0.0,0.0,0.0,0.0,0.0,28.6,15.6,106,116,3.3,-2.4,Jason Terry
2014-11-01,37-047,HOU,HOME,BOS,W (+14),0,22:56,.643,.600,0.0,3.9,2.3,7.5,2.1,5.7,15.5,12.2,113,94,6.3,5.6,Jason Terry
2014-11-03,37-049,HOU,AWAY,PHI,W (+11),0,22:40,.500,.500,0.0,5.3,2.7,0.0,2.3,0.0,0.0,15.5,107,105,4.5,-4.2,Jason Terry
2014-11-04,37-050,HOU,AWAY,MIA,W (+17),0,18:39,.375,.375,8.6,0.0,3.6,7.9,3.0,0.0,0.0,10.7,115,111,2.2,-3.9,Jason Terry
2014-11-06,37-052,HOU,HOME,SAS,W (+17),0,20:43,1.183,1.200,0.0,0.0,0.0,18.7,4.8,0.0,12.9,16.7,198,85,16.5,26.6,Jason Terry
2014-11-08,37-054,HOU,HOME,GSW,L (-11),0,29:19,.590,.500,0.0,3.6,1.6,6.5,3.2,0.0,24.4,17.2,96,100,5.8,1.1,Jason Terry
2014-11-12,37-058,HOU,AWAY,MIN,W (+12),0,23:11,1.500,1.500,0.0,17.3,7.7,16.9,2.2,3.0,25.0,7.5,194,105,10.2,11.1,Jason Terry
2014-11-14,37-060,HOU,HOME,PHI,W (+1),0,22:05,.429,.429,0.0,4.5,2.3,0.0,6.7,3.7,12.5,15.1,80,86,4.5,2.5,Jason Terry
2014-11-16,37-062,HOU,AWAY,OKC,W (+4),0,19:12,.000,.000,4.5,5.8,5.1,10.9,0.0,0.0,0.0,4.7,43,89,-0.9,-9.6,Jason Terry
2014-11-17,37-063,HOU,AWAY,MEM,L (-26),0,17:35,.633,.600,0.0,0.0,0.0,19.1,2.9,0.0,32.2,23.5,89,128,4.3,-1.4,Jason Terry
