DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2013-10-30,26-184,SAS,HOME,MEM,W (+7),0,11:21,1.000,1.000,0.0,18.0,10.1,23.6,0.0,5.4,66.7,12.9,83,92,0.8,-1.3,Jeff Ayres
2013-11-01,26-186,SAS,AWAY,LAL,W (+6),0,13:09,.000,.000,7.3,31.7,19.0,9.6,0.0,0.0,50.0,19.5,17,88,-3.7,-20.4,Jeff Ayres
2013-11-02,26-187,SAS,AWAY,POR,L (-10),0,8:28,.820,1.000,25.8,18.9,23.0,0.0,0.0,0.0,0.0,12.6,168,123,3.9,3.1,Jeff Ayres
2013-11-05,26-190,SAS,AWAY,DEN,W (+8),0,5:47,.568,,0.0,40.5,19.8,0.0,8.2,0.0,0.0,6.6,123,77,2.2,6.7,Jeff Ayres
2013-11-06,26-191,SAS,HOME,PHO,W (+3),0,2:41,,,0.0,0.0,0.0,43.6,0.0,0.0,100.0,33.9,24,101,-1.7,-27.7,Jeff Ayres
2013-11-08,26-193,SAS,HOME,GSW,W (+2),0,6:29,.532,.000,0.0,20.0,8.5,47.8,0.0,0.0,51.5,29.0,69,91,0.6,-2.0,Jeff Ayres
2013-11-10,26-195,SAS,AWAY,NYK,W (+31),0,13:35,.000,.000,21.4,13.9,16.8,8.6,3.8,5.9,0.0,10.4,77,87,1.5,-2.7,Jeff Ayres
2013-11-11,26-196,SAS,AWAY,PHI,W (+24),0,24:20,.333,.333,9.9,15.8,13.2,10.4,0.0,0.0,0.0,16.8,97,96,3.3,-8.7,Jeff Ayres
2013-11-13,26-198,SAS,HOME,WAS,W (+13),0,16:00,1.000,1.000,0.0,22.2,13.2,10.0,0.0,3.9,0.0,9.2,203,84,7.3,11.4,Jeff Ayres
2013-11-15,26-200,SAS,AWAY,UTA,W (+9),0,7:45,1.136,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,250,97,1.2,-1.5,Jeff Ayres
2013-11-20,26-205,SAS,HOME,BOS,W (+11),0,8:06,.000,.000,0.0,40.4,20.9,0.0,0.0,0.0,0.0,5.8,0,98,-0.2,-11.9,Jeff Ayres
2013-11-22,26-207,SAS,AWAY,MEM,W (+16),0,15:53,.750,.750,0.0,14.4,7.7,0.0,0.0,0.0,20.0,15.0,109,102,2.8,-4.1,Jeff Ayres
2013-11-23,26-208,SAS,HOME,CLE,W (+30),0,28:08,.500,.500,5.2,4.2,4.6,8.3,5.3,0.0,40.0,16.2,74,96,3.2,-6.3,Jeff Ayres
2013-11-25,26-210,SAS,HOME,NOP,W (+19),0,13:51,.347,.500,0.0,12.6,7.5,8.6,0.0,0.0,25.8,12.4,60,100,-0.3,-9.2,Jeff Ayres
2013-11-27,26-212,SAS,AWAY,OKC,L (-6),0,11:43,,,15.8,9.3,12.8,11.4,0.0,0.0,100.0,3.7,89,106,0.6,-6.3,Jeff Ayres
2013-11-29,26-214,SAS,AWAY,ORL,W (+18),0,10:52,.400,.400,14.2,55.2,37.3,0.0,0.0,0.0,0.0,21.6,95,99,3.5,-6.3,Jeff Ayres
2013-12-02,26-217,SAS,HOME,ATL,W (+2),0,7:14,.568,,0.0,13.5,7.6,0.0,0.0,10.2,0.0,5.7,123,102,1.2,-0.9,Jeff Ayres
2013-12-07,26-222,SAS,HOME,IND,L (-11),0,9:18,.000,.000,12.0,16.1,13.8,0.0,0.0,0.0,50.0,19.7,18,128,-3.6,-31.4,Jeff Ayres
2013-12-10,26-225,SAS,AWAY,TOR,W (+13),1,9:10,1.000,1.000,0.0,13.4,7.1,0.0,0.0,0.0,33.3,15.2,104,115,1.5,-7.5,Jeff Ayres
2013-12-11,26-226,SAS,AWAY,MIL,W (+32),1,25:12,,,15.0,26.1,21.4,4.1,0.0,0.0,,0.0,208,85,4.5,1.9,Jeff Ayres
2013-12-13,26-228,SAS,HOME,MIN,W (+7),1,20:24,.333,.333,12.4,31.4,22.7,0.0,0.0,7.2,0.0,6.7,107,107,3.3,-5.4,Jeff Ayres
2013-12-14,26-229,SAS,AWAY,UTA,W (+16),1,11:54,.000,.000,26.9,7.8,16.6,9.8,0.0,0.0,20.0,19.5,51,96,-1.5,-18.7,Jeff Ayres
2013-12-16,26-231,SAS,AWAY,LAC,L (-23),0,9:10,.500,.500,0.0,29.1,13.3,0.0,5.3,0.0,33.3,14.6,62,107,1.2,-3.0,Jeff Ayres
2013-12-18,26-233,SAS,AWAY,PHO,W (+7),0,11:44,1.000,1.000,0.0,27.3,13.9,0.0,4.2,0.0,33.3,10.6,110,95,3.9,4.6,Jeff Ayres
2013-12-19,26-234,SAS,AWAY,GSW,W (+2),0,10:49,1.000,1.000,20.6,31.0,25.8,0.0,0.0,0.0,33.3,11.4,134,98,4.3,2.4,Jeff Ayres
2013-12-23,26-238,SAS,HOME,TOR,W (+13),0,9:41,.694,.500,22.0,33.0,27.5,55.0,5.3,8.3,0.0,12.3,184,88,9.8,35.7,Jeff Ayres
2013-12-25,26-240,SAS,HOME,HOU,L (-13),0,7:32,.532,.000,12.0,14.8,13.3,0.0,0.0,0.0,0.0,10.9,140,123,1.9,-4.8,Jeff Ayres
2013-12-26,26-241,SAS,AWAY,DAL,W (+9),0,8:04,.515,.333,0.0,38.0,20.5,0.0,0.0,0.0,0.0,20.7,112,105,2.0,-7.4,Jeff Ayres
2013-12-31,26-246,SAS,HOME,BRK,W (+21),0,21:23,.515,.333,18.2,25.5,22.2,11.9,0.0,3.3,0.0,8.3,159,101,7.2,3.1,Jeff Ayres
2014-01-02,26-248,SAS,HOME,NYK,L (-4),0,9:45,.500,.500,12.3,43.4,26.6,0.0,0.0,0.0,0.0,10.1,122,118,1.8,-7.8,Jeff Ayres
2014-01-04,26-250,SAS,HOME,LAC,W (+24),0,15:04,.600,.600,17.2,41.9,29.7,23.6,0.0,0.0,28.6,20.5,108,96,5.5,3.1,Jeff Ayres
2014-01-07,26-253,SAS,AWAY,MEM,W (+2),1,22:23,1.000,1.000,12.8,5.0,8.5,5.8,0.0,2.9,50.0,4.3,129,112,2.6,-1.9,Jeff Ayres
2014-01-08,26-254,SAS,HOME,DAL,W (+22),0,11:17,1.000,1.000,36.5,49.1,44.0,0.0,0.0,0.0,0.0,8.2,210,92,6.1,6.4,Jeff Ayres
2014-01-12,26-258,SAS,HOME,MIN,W (+18),0,19:30,.571,.571,15.9,22.4,20.0,15.3,0.0,3.2,22.2,22.1,103,92,6.1,-2.4,Jeff Ayres
2014-01-13,26-259,SAS,AWAY,NOP,W (+6),1,16:31,.798,1.000,8.3,24.7,17.7,0.0,0.0,3.8,0.0,5.8,173,102,4.1,0.9,Jeff Ayres
2014-01-15,26-261,SAS,HOME,UTA,W (+4),1,28:38,.833,.833,4.8,12.0,8.7,9.7,0.0,0.0,25.0,13.6,123,116,7.2,-3.2,Jeff Ayres
2014-01-17,26-263,SAS,HOME,POR,L (-9),0,15:42,.500,.500,6.6,7.3,6.9,0.0,0.0,0.0,33.3,8.8,80,120,0.6,-8.3,Jeff Ayres
2014-01-19,26-265,SAS,HOME,MIL,W (+28),0,14:43,.888,.833,19.2,22.5,21.3,0.0,0.0,0.0,12.0,27.1,157,91,11.6,7.1,Jeff Ayres
2014-01-22,26-268,SAS,HOME,OKC,L (-6),1,22:10,.387,.333,6.2,6.6,6.4,22.9,0.0,0.0,20.5,10.4,107,129,2.9,-2.1,Jeff Ayres
