DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2008-10-30,33-360,DAL,HOME,HOU,L (-10),0,17:47,.167,.167,0.0,7.1,3.2,8.4,0.0,0.0,14.3,17.7,37,127,-2.2,-17.4,Jerry Stackhouse
2008-11-01,33-362,DAL,AWAY,MIN,W (+10),1,11:36,.200,.200,0.0,10.1,5.2,0.0,0.0,0.0,16.7,24.2,35,100,-1.8,-19.0,Jerry Stackhouse
2008-11-04,33-365,DAL,AWAY,SAS,W (+17),0,18:09,.276,.200,0.0,6.0,3.3,0.0,0.0,0.0,15.5,18.9,52,108,-0.8,-15.3,Jerry Stackhouse
2008-11-07,34-002,DAL,AWAY,DEN,L (-3),0,13:33,.125,.125,22.1,7.5,14.9,20.0,0.0,0.0,11.1,26.6,58,118,-0.8,-16.3,Jerry Stackhouse
2008-11-09,34-004,DAL,AWAY,LAC,L (-11),0,23:35,.556,.556,0.0,0.0,0.0,23.6,4.2,0.0,10.0,18.7,107,105,8.4,3.1,Jerry Stackhouse
2008-11-11,34-006,DAL,HOME,LAL,L (-7),0,23:56,.618,.542,4.2,3.7,3.9,7.7,2.1,0.0,12.7,26.5,125,113,10.9,5.7,Jerry Stackhouse
2008-11-13,34-008,DAL,AWAY,CHI,L (-7),0,12:39,.340,.200,0.0,15.8,7.6,0.0,0.0,0.0,0.0,19.7,83,108,1.1,-8.1,Jerry Stackhouse
2008-11-14,34-009,DAL,HOME,ORL,L (-2),0,19:29,.200,.200,5.1,13.9,9.8,13.9,2.6,0.0,16.7,13.1,63,107,1.9,-4.0,Jerry Stackhouse
2009-02-20,34-107,DAL,AWAY,HOU,L (-7),0,8:26,.000,.000,0.0,13.6,6.5,33.5,0.0,0.0,0.0,16.2,35,107,-0.8,-11.5,Jerry Stackhouse
2009-02-21,34-108,DAL,HOME,SAC,W (+21),0,13:08,.000,.000,0.0,7.9,4.5,8.3,0.0,5.9,33.3,9.8,21,97,-0.7,-9.4,Jerry Stackhouse
2001-10-30,26-359,DET,AWAY,DAL,L (-7),1,44:24,.537,.395,7.1,12.1,9.6,29.3,0.0,0.0,16.6,31.5,108,112,16.9,1.7,Jerry Stackhouse
2001-11-01,26-361,DET,AWAY,MEM,W (+10),1,40:08,.516,.431,2.9,5.0,4.0,11.7,1.3,0.0,5.7,41.1,102,92,19.4,2.6,Jerry Stackhouse
2001-11-02,26-362,DET,HOME,NJN,W (+14),1,32:36,.586,.423,4.7,10.6,8.1,21.0,4.7,4.2,16.3,36.3,109,92,18.5,7.3,Jerry Stackhouse
2001-11-04,26-364,DET,HOME,WAS,W (+22),1,27:05,.783,.765,0.0,13.7,7.8,45.4,0.0,0.0,5.3,34.8,139,90,23.1,17.2,Jerry Stackhouse
2001-11-07,27-002,DET,AWAY,CHI,W (+24),1,39:16,.322,.250,4.2,11.4,8.5,30.3,4.1,0.0,42.9,19.8,67,80,3.1,-7.0,Jerry Stackhouse
2001-11-11,27-006,DET,HOME,POR,L (-2),1,36:51,.551,.540,3.5,6.5,5.1,38.8,1.4,1.9,10.2,39.1,105,112,20.4,4.6,Jerry Stackhouse
2001-11-15,27-010,DET,HOME,DAL,W (+26),1,32:32,.670,.650,11.5,14.7,13.3,39.3,1.7,4.1,12.6,34.0,132,96,25.8,17.6,Jerry Stackhouse
2001-11-17,27-012,DET,HOME,IND,W (+6),1,42:39,.564,.417,5.2,15.9,10.5,20.7,1.1,0.0,15.8,19.5,113,102,15.8,1.4,Jerry Stackhouse
2001-11-20,27-015,DET,AWAY,TOR,W (+4),1,36:18,.389,.275,0.0,12.4,6.0,28.2,0.0,2.2,7.6,36.1,90,107,10.3,-0.9,Jerry Stackhouse
2001-11-21,27-016,DET,AWAY,PHI,L (-5),1,20:29,.222,.222,5.3,18.0,11.3,26.5,2.6,0.0,0.0,21.7,66,103,3.2,-4.3,Jerry Stackhouse
2001-11-23,27-018,DET,AWAY,ATL,L (-7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jerry Stackhouse
2001-11-24,27-019,DET,HOME,MEM,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jerry Stackhouse
2001-11-26,27-021,DET,AWAY,ORL,W (+5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jerry Stackhouse
2001-11-28,27-023,DET,HOME,CHH,L (-8),1,32:16,.747,.692,0.0,5.4,2.4,19.6,1.8,2.3,31.5,40.6,101,126,14.2,-0.7,Jerry Stackhouse
2001-11-30,27-025,DET,AWAY,CHH,W (+5),1,35:03,.593,.475,9.1,6.5,7.6,19.6,1.5,0.0,13.3,42.4,114,118,19.6,-0.6,Jerry Stackhouse
2001-12-01,27-026,DET,AWAY,NYK,W (+3),1,44:10,.498,.432,2.9,13.9,9.0,42.4,2.5,0.0,10.7,31.0,109,108,19.4,2.9,Jerry Stackhouse
2001-12-04,27-029,DET,AWAY,CLE,L (-12),1,33:48,.314,.262,6.0,8.8,7.1,15.2,3.2,0.0,15.2,36.7,65,113,3.0,-11.0,Jerry Stackhouse
2001-12-05,27-030,DET,HOME,SEA,W (+4),1,37:57,.501,.367,2.8,9.7,6.0,54.1,2.8,2.3,13.7,27.5,111,101,19.1,9.9,Jerry Stackhouse
2001-12-09,27-034,DET,HOME,HOU,W (+28),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Jerry Stackhouse
2001-12-13,27-038,DET,HOME,NYK,W (+2),1,40:57,.600,.409,0.0,17.1,8.8,51.9,0.0,3.2,15.9,21.6,131,111,21.0,8.6,Jerry Stackhouse
2001-12-16,27-041,DET,AWAY,LAC,L (-5),1,37:34,.439,.389,0.0,6.7,2.9,15.2,1.4,1.9,3.3,39.2,90,97,13.0,4.9,Jerry Stackhouse
2001-12-18,27-043,DET,AWAY,SAC,L (-4),1,42:21,.543,.500,2.5,12.4,7.0,19.2,2.4,1.5,11.0,37.8,106,109,21.8,5.7,Jerry Stackhouse
2001-12-19,27-044,DET,AWAY,GSW,L (-13),1,36:15,.432,.391,5.7,0.0,3.3,32.0,1.4,3.5,19.8,35.9,83,110,9.3,-0.6,Jerry Stackhouse
2001-12-21,27-046,DET,AWAY,POR,L (-2),1,41:23,.531,.474,0.0,7.8,4.2,37.9,2.8,0.0,18.8,30.9,97,99,14.1,5.2,Jerry Stackhouse
2001-12-22,27-047,DET,AWAY,SEA,L (-28),1,15:50,.804,.778,0.0,9.4,4.3,20.0,0.0,0.0,15.2,41.4,129,142,11.9,13.0,Jerry Stackhouse
2001-12-27,27-052,DET,HOME,NJN,L (-13),1,34:40,.383,.350,2.9,6.7,4.7,32.0,0.0,1.9,25.1,36.5,69,101,2.9,-5.7,Jerry Stackhouse
2001-12-28,27-053,DET,AWAY,ORL,L (-9),1,37:01,.360,.200,2.4,13.7,7.1,20.7,1.4,4.3,10.0,24.5,82,96,8.0,-0.1,Jerry Stackhouse
