DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2012-10-31,23-249,SAC,AWAY,CHI,L (-6),0,0:06,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,109,0.0,-7.8,Jimmer Fredette
2012-11-02,23-251,SAC,AWAY,MIN,L (-12),0,15:06,.600,.600,0.0,6.5,3.3,0.0,0.0,0.0,28.6,20.8,77,108,1.2,-9.7,Jimmer Fredette
2012-11-05,23-254,SAC,HOME,GSW,W (+2),0,2:10,1.025,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9,208,108,4.0,48.0,Jimmer Fredette
2012-11-07,23-256,SAC,HOME,DET,W (+2),0,15:12,.685,.571,0.0,0.0,0.0,20.7,3.5,0.0,0.0,26.2,167,115,10.7,15.5,Jimmer Fredette
2012-11-09,23-258,SAC,HOME,SAS,L (-11),0,4:53,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,102,111,1.0,-3.7,Jimmer Fredette
2012-11-11,23-260,SAC,AWAY,LAL,L (-13),0,10:45,.953,.944,9.7,10.4,10.0,94.1,0.0,0.0,9.6,43.5,158,122,15.2,44.6,Jimmer Fredette
2012-11-13,23-262,SAC,HOME,POR,L (-17),0,24:39,.472,.417,0.0,5.7,2.5,44.5,2.3,0.0,12.7,31.2,98,124,8.9,-0.4,Jimmer Fredette
2012-11-16,23-265,SAC,HOME,ATL,L (-16),0,7:26,.258,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,63,129,-0.5,-21.1,Jimmer Fredette
2012-11-18,23-267,SAC,HOME,BRK,L (-9),0,10:25,.500,.500,0.0,13.6,6.1,0.0,5.3,0.0,25.0,17.5,82,107,1.2,-2.4,Jimmer Fredette
2012-11-21,23-270,SAC,HOME,LAL,W (+16),0,0:08,,,0.0,0.0,0.0,100.0,0.0,0.0,,0.0,216,111,0.7,242.2,Jimmer Fredette
2012-11-23,23-272,SAC,AWAY,UTA,L (-2),0,16:55,.635,.643,0.0,0.0,0.0,9.0,0.0,4.2,20.2,28.0,99,124,5.3,1.9,Jimmer Fredette
2012-11-24,23-273,SAC,HOME,UTA,W (+11),0,5:35,1.064,1.000,0.0,0.0,0.0,27.4,0.0,0.0,34.7,24.3,142,124,3.4,7.4,Jimmer Fredette
2012-11-30,23-279,SAC,HOME,IND,L (-5),0,17:42,.575,.550,0.0,0.0,0.0,44.1,0.0,0.0,8.7,31.7,114,118,7.7,3.2,Jimmer Fredette
2012-12-01,23-280,SAC,AWAY,LAC,L (-35),0,15:46,.078,.000,0.0,16.0,7.5,42.0,0.0,4.9,0.0,19.4,52,129,0.9,-8.6,Jimmer Fredette
2012-12-05,23-284,SAC,HOME,TOR,W (+7),0,12:17,.595,.500,9.8,0.0,4.5,0.0,0.0,0.0,14.5,24.0,112,112,4.0,-1.8,Jimmer Fredette
2012-12-07,23-286,SAC,HOME,ORL,W (+9),0,21:15,.856,.786,5.1,14.4,9.9,10.9,0.0,0.0,31.3,26.4,111,92,9.6,1.5,Jimmer Fredette
2012-12-10,23-289,SAC,AWAY,DAL,L (-23),0,7:39,.436,.333,0.0,17.4,7.7,0.0,0.0,0.0,36.8,31.0,57,128,-1.2,-27.2,Jimmer Fredette
2012-12-12,23-291,SAC,AWAY,MIL,L (-13),0,14:47,.533,.500,6.2,5.6,5.9,0.0,0.0,0.0,0.0,24.4,118,114,5.6,1.4,Jimmer Fredette
2012-12-14,23-293,SAC,AWAY,OKC,L (-10),0,14:02,.403,.000,9.5,0.0,4.8,20.1,3.7,0.0,24.4,27.3,84,125,3.3,-7.8,Jimmer Fredette
2012-12-16,23-295,SAC,HOME,DEN,L (-25),0,18:37,.556,.556,0.0,20.4,8.2,0.0,0.0,0.0,0.0,20.2,126,137,5.8,-0.3,Jimmer Fredette
2012-12-17,23-296,SAC,AWAY,PHO,L (-11),0,22:21,.724,.654,13.1,0.0,7.2,11.3,0.0,0.0,6.2,31.8,151,120,17.1,17.7,Jimmer Fredette
