DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2001-10-30,32-107,UTA,HOME,MIL,L (-7),0,11:15,1.031,1.000,0.0,0.0,0.0,84.4,0.0,0.0,20.5,21.0,171,131,8.8,15.0,John Crotty
2001-11-01,32-109,UTA,HOME,LAL,L (-4),0,17:39,.393,.200,12.7,22.7,18.0,16.5,0.0,0.0,11.6,20.3,96,112,4.3,-5.3,John Crotty
2001-11-03,32-111,UTA,AWAY,SEA,W (+17),0,12:42,1.078,1.000,10.5,0.0,5.0,24.4,4.3,0.0,0.0,8.0,225,89,7.0,15.3,John Crotty
2001-11-04,32-112,UTA,AWAY,LAL,L (-4),0,12:50,.694,.625,0.0,0.0,0.0,40.1,0.0,0.0,14.8,22.8,134,111,6.3,8.0,John Crotty
2001-11-06,32-114,UTA,AWAY,POR,L (-18),0,17:20,.525,.333,0.0,0.0,0.0,43.1,0.0,0.0,17.4,16.8,111,124,4.7,0.1,John Crotty
2001-11-07,32-115,UTA,HOME,ATL,W (+7),0,15:57,.400,.400,0.0,0.0,0.0,48.4,0.0,0.0,0.0,13.6,115,109,3.6,-4.4,John Crotty
2001-11-10,32-118,UTA,HOME,TOR,L (-21),0,16:02,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,57.1,19.4,37,130,-3.1,-19.1,John Crotty
2001-11-12,32-120,UTA,HOME,ORL,W (+7),0,19:05,.628,.571,0.0,8.7,5.1,37.6,2.7,0.0,10.2,22.2,128,106,9.9,3.4,John Crotty
2001-11-14,32-122,UTA,AWAY,ATL,L (-32),0,24:51,.643,.643,0.0,0.0,0.0,27.0,0.0,0.0,30.0,18.0,90,129,4.0,-7.8,John Crotty
2001-11-16,32-124,UTA,AWAY,WAS,W (+9),0,13:05,.500,.500,11.5,7.1,8.8,51.1,0.0,0.0,0.0,21.9,131,116,6.4,4.6,John Crotty
2001-11-17,32-125,UTA,AWAY,MIL,L (-11),0,13:50,.000,.000,0.0,0.0,0.0,21.4,0.0,0.0,50.0,6.5,41,129,-1.1,-13.7,John Crotty
2001-11-21,32-129,UTA,HOME,NJN,L (-1),0,18:21,.250,.250,0.0,0.0,0.0,37.9,0.0,0.0,20.0,12.0,71,101,0.2,-10.0,John Crotty
2001-11-23,32-131,UTA,HOME,LAC,W (+5),0,15:15,.601,.571,0.0,17.3,9.6,44.9,7.0,0.0,19.4,32.5,108,102,7.8,6.3,John Crotty
2001-11-26,32-134,UTA,HOME,PHO,L (-7),0,10:35,.000,.000,0.0,27.8,14.3,50.7,0.0,0.0,20.0,19.4,39,104,-1.3,-15.9,John Crotty
2001-11-28,32-136,UTA,HOME,SEA,W (+24),0,18:53,.500,.500,0.0,12.0,6.5,46.6,2.9,0.0,0.0,12.3,150,104,8.0,6.5,John Crotty
2001-11-30,32-138,UTA,AWAY,PHO,L (-22),0,22:10,.258,.000,5.5,9.9,7.8,0.0,2.4,0.0,43.6,14.3,38,110,-2.0,-17.0,John Crotty
2001-12-01,32-139,UTA,HOME,IND,L (-3),0,15:45,.563,.500,0.0,0.0,0.0,21.4,0.0,0.0,18.4,14.3,111,117,2.6,-3.5,John Crotty
2001-12-04,32-142,UTA,HOME,CHH,W (+4),0,22:09,.583,.583,6.2,16.4,11.6,27.7,0.0,0.0,14.3,15.6,126,119,6.6,-2.4,John Crotty
2001-12-07,32-145,UTA,AWAY,LAC,W (+16),0,19:36,.363,.250,4.8,5.2,5.0,15.2,0.0,0.0,0.0,14.7,106,99,3.2,-3.2,John Crotty
2001-12-08,32-146,UTA,HOME,GSW,W (+10),0,19:03,.615,.500,0.0,6.5,3.4,20.5,0.0,0.0,0.0,11.3,150,114,6.4,-1.2,John Crotty
2001-12-10,32-148,UTA,HOME,DAL,W (+9),0,30:30,.444,.200,0.0,8.8,4.0,28.6,0.0,3.0,12.9,11.5,112,117,6.6,-2.7,John Crotty
2001-12-12,32-150,UTA,HOME,MIN,L (-11),0,12:45,.500,.500,0.0,0.0,0.0,15.0,4.2,0.0,16.7,22.7,88,111,2.6,-0.2,John Crotty
2001-12-14,32-152,UTA,HOME,POR,W (+8),0,23:46,.225,.250,5.0,5.0,5.0,26.7,2.4,0.0,18.4,10.8,82,104,2.6,-5.8,John Crotty
2001-12-15,32-153,UTA,AWAY,SAS,L (-20),0,22:25,.000,.000,0.0,6.4,2.7,22.6,0.0,0.0,44.4,18.4,14,118,-5.1,-20.2,John Crotty
2001-12-18,32-156,UTA,AWAY,MIA,W (+39),0,25:58,1.165,1.167,5.3,20.5,14.5,16.1,2.3,0.0,31.8,17.7,126,67,14.3,12.3,John Crotty
2001-12-19,32-157,UTA,AWAY,ORL,L (-8),0,24:42,.753,.500,4.8,4.3,4.5,28.3,0.0,0.0,31.1,17.1,119,119,6.4,-4.5,John Crotty
2001-12-21,32-159,UTA,AWAY,BOS,L (-6),0,27:51,.625,.625,0.0,9.3,4.4,41.2,3.8,0.0,0.0,13.2,145,108,12.7,9.5,John Crotty
2001-12-22,32-160,UTA,AWAY,NJN,W (+14),0,16:52,.667,.667,0.0,17.1,8.4,10.3,0.0,0.0,25.0,21.5,99,108,3.9,-2.6,John Crotty
