DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2012-11-02,23-172,CLE,HOME,CHI,L (-29),0,6:23,.000,.000,0.0,55.7,20.3,0.0,0.0,0.0,0.0,7.0,0,123,-0.1,-11.1,Jon Leuer
2012-11-07,23-177,CLE,AWAY,GSW,L (-10),0,21:48,.595,.600,9.2,12.6,10.6,7.5,2.3,0.0,25.4,15.6,99,109,4.4,-3.4,Jon Leuer
2012-11-11,23-181,CLE,AWAY,OKC,L (-15),0,23:45,.225,.250,8.6,0.0,5.2,13.5,0.0,0.0,0.0,17.1,70,117,0.4,-9.9,Jon Leuer
2012-11-13,23-183,CLE,AWAY,BRK,L (-13),0,17:05,.286,.286,0.0,9.1,3.8,0.0,0.0,0.0,22.2,22.9,51,134,-2.6,-20.8,Jon Leuer
2012-11-27,23-197,CLE,HOME,PHO,L (-13),0,3:14,.568,,0.0,39.1,17.7,0.0,0.0,0.0,0.0,11.7,123,100,0.9,-0.2,Jon Leuer
2013-01-07,23-238,CLE,AWAY,CHI,L (-26),0,8:53,.500,.500,12.9,0.0,6.9,24.3,5.9,0.0,0.0,20.8,121,123,4.0,4.5,Jon Leuer
2013-01-09,23-240,CLE,HOME,ATL,W (+16),0,2:37,.000,.000,0.0,41.7,20.2,0.0,0.0,0.0,0.0,18.4,0,93,-0.4,-22.2,Jon Leuer
2013-01-13,23-244,CLE,AWAY,LAL,L (-20),0,6:13,1.000,1.000,0.0,26.6,9.7,24.7,0.0,0.0,50.0,13.3,94,122,0.9,-6.1,Jon Leuer
2013-01-19,23-250,CLE,AWAY,UTA,L (-11),0,1:04,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0,131,-0.7,-47.3,Jon Leuer
2013-01-25,23-256,MEM,HOME,BRK,W (+24),0,2:01,.000,.000,0.0,0.0,0.0,0.0,27.4,0.0,0.0,42.4,0,41,-0.5,-13.6,Jon Leuer
2013-01-31,23-262,MEM,AWAY,OKC,L (-17),0,4:30,,,0.0,34.4,11.7,0.0,0.0,0.0,,0.0,0,118,0.3,-6.7,Jon Leuer
2013-02-06,23-268,MEM,AWAY,ATL,L (-11),0,0:22,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200,122,1.7,138.1,Jon Leuer
2013-02-10,23-272,MEM,HOME,MIN,W (+17),0,1:08,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,107,-0.4,-25.1,Jon Leuer
2013-02-19,23-281,MEM,AWAY,DET,W (+14),0,5:09,.798,1.000,26.6,24.5,25.5,0.0,0.0,0.0,34.7,25.6,102,104,1.5,-10.5,Jon Leuer
2013-02-24,23-286,MEM,AWAY,BRK,W (+4),0,0:33,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108,0.0,-6.1,Jon Leuer
2013-03-03,23-293,MEM,AWAY,ORL,W (+26),0,16:54,.750,.750,21.8,7.1,14.4,8.0,3.3,0.0,20.0,13.8,137,98,6.7,2.8,Jon Leuer
2013-03-06,23-296,MEM,HOME,POR,W (+6),0,10:00,.250,.250,10.2,22.3,16.0,0.0,0.0,0.0,0.0,18.5,73,100,0.1,-12.8,Jon Leuer
2013-03-08,23-298,MEM,AWAY,CLE,W (+11),0,12:24,1.000,1.000,0.0,33.2,16.6,0.0,0.0,0.0,0.0,7.5,200,106,4.3,1.6,Jon Leuer
2013-03-09,23-299,MEM,HOME,NOH,W (+11),0,4:33,.000,.000,23.4,0.0,12.4,0.0,12.5,0.0,0.0,10.6,66,86,1.0,0.3,Jon Leuer
2013-03-16,23-306,MEM,AWAY,UTA,L (-6),0,0:04,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,0.0,-6.1,Jon Leuer
2013-03-22,23-312,MEM,AWAY,NOH,L (-7),0,0:22,,,0.0,100.0,100.0,0.0,0.0,0.0,,0.0,0,-31,0.3,18.9,Jon Leuer
2013-03-25,23-315,MEM,AWAY,WAS,L (-13),0,6:53,1.000,1.000,17.0,15.8,16.4,0.0,0.0,0.0,0.0,6.8,206,120,2.7,4.1,Jon Leuer
2013-03-30,23-320,MEM,AWAY,MIN,W (+13),0,0:58,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108,0.0,-6.1,Jon Leuer
2013-04-03,23-324,MEM,AWAY,POR,W (+18),0,2:43,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,38.7,64,99,0.7,-8.6,Jon Leuer
2013-04-05,23-326,MEM,AWAY,LAL,L (-2),0,4:45,1.000,1.000,23.5,0.0,12.8,0.0,0.0,0.0,0.0,10.5,203,108,2.4,6.6,Jon Leuer
2013-04-07,23-328,MEM,AWAY,SAC,W (+2),0,6:35,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0,107,-2.2,-24.0,Jon Leuer
2013-04-09,23-330,MEM,HOME,CHA,W (+19),0,12:40,1.034,1.000,0.0,40.3,20.6,31.8,4.5,0.0,0.0,20.8,213,75,13.7,35.0,Jon Leuer
2013-04-15,23-336,MEM,AWAY,DAL,W (+6),0,2:58,.000,.000,0.0,38.5,18.8,0.0,0.0,0.0,0.0,15.1,0,106,-0.8,-24.5,Jon Leuer
2014-10-29,25-168,MEM,HOME,MIN,W (+4),0,19:14,.000,.000,0.0,17.8,9.4,0.0,0.0,3.4,0.0,9.3,0,106,-1.6,-11.7,Jon Leuer
2014-10-31,25-170,MEM,AWAY,IND,W (+8),0,7:58,,,13.1,0.0,7.0,17.2,0.0,0.0,,0.0,217,113,1.0,-1.4,Jon Leuer
2014-11-01,25-171,MEM,AWAY,CHO,W (+2),0,11:40,.200,.200,8.6,10.0,9.2,0.0,4.4,0.0,0.0,19.8,52,70,0.5,-3.1,Jon Leuer
2014-11-03,25-173,MEM,HOME,NOP,W (+12),0,6:15,.258,.000,0.0,0.0,0.0,24.8,0.0,0.0,0.0,28.9,70,98,0.6,-5.4,Jon Leuer
2014-11-05,25-175,MEM,AWAY,PHO,W (+11),0,16:13,.250,.250,15.6,34.8,24.7,0.0,0.0,0.0,33.3,17.2,55,103,0.2,-12.4,Jon Leuer
2014-11-07,25-177,MEM,AWAY,OKC,W (+2),0,5:15,.250,.250,0.0,23.4,11.1,0.0,0.0,0.0,0.0,37.9,53,107,-0.1,-20.5,Jon Leuer
2014-11-08,25-178,MEM,AWAY,MIL,L (-1),0,16:07,.500,.500,21.3,21.8,21.5,0.0,0.0,0.0,14.3,19.0,103,106,3.8,-4.4,Jon Leuer
2014-11-11,25-181,MEM,HOME,LAL,W (+5),0,9:04,1.000,1.000,0.0,25.8,13.9,14.8,0.0,0.0,0.0,5.2,203,115,2.6,4.2,Jon Leuer
2014-11-13,25-183,MEM,HOME,SAC,W (+1),0,13:41,.694,.750,9.0,20.0,14.2,0.0,0.0,0.0,14.8,23.5,118,126,5.1,-4.8,Jon Leuer
2014-11-15,25-185,MEM,HOME,DET,W (+7),0,7:22,.798,1.000,0.0,14.8,6.8,0.0,0.0,0.0,0.0,11.3,156,106,2.6,4.8,Jon Leuer
2014-11-17,25-187,MEM,HOME,HOU,W (+26),0,21:00,.666,.625,13.1,12.0,12.5,13.2,0.0,0.0,9.3,23.3,136,108,11.4,3.1,Jon Leuer
2014-11-21,25-191,MEM,HOME,BOS,W (+17),0,22:15,.731,.731,5.7,25.9,17.2,30.2,4.3,3.5,7.1,27.2,139,88,18.9,17.7,Jon Leuer
2014-11-23,25-193,MEM,HOME,LAC,W (+16),0,18:42,.563,.563,6.6,22.8,15.3,8.1,0.0,0.0,11.1,20.6,112,98,5.8,3.1,Jon Leuer
2014-11-26,25-196,MEM,AWAY,LAL,W (+6),0,18:36,.600,.600,6.5,5.5,5.9,0.0,0.0,0.0,16.7,14.7,100,112,2.9,-7.0,Jon Leuer
2014-11-28,25-198,MEM,AWAY,POR,W (+13),0,13:50,.700,.700,0.0,13.1,7.6,0.0,0.0,0.0,16.7,19.9,104,110,3.9,-2.6,Jon Leuer
2014-11-30,25-200,MEM,AWAY,SAC,W (+12),0,15:14,.538,.571,7.7,35.0,20.5,12.4,3.4,5.3,11.8,25.5,98,83,6.8,4.5,Jon Leuer
2014-12-03,25-203,MEM,AWAY,HOU,L (-9),0,26:29,.354,.333,4.6,17.4,12.0,10.8,0.0,0.0,9.2,18.3,81,111,3.7,-7.8,Jon Leuer
2014-12-07,25-207,MEM,HOME,MIA,W (+16),0,23:58,.727,.667,14.8,48.8,35.3,6.9,4.9,3.1,6.8,32.9,145,88,20.8,16.2,Jon Leuer
2014-12-09,25-209,MEM,HOME,DAL,W (+9),0,20:05,.375,.375,0.0,11.7,5.7,0.0,0.0,0.0,0.0,9.3,84,123,1.2,-6.9,Jon Leuer
2014-12-12,25-212,MEM,HOME,CHO,W (+6),0,18:51,.222,.200,0.0,23.2,12.8,0.0,2.8,0.0,12.9,19.6,41,93,-1.3,-13.2,Jon Leuer
