DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2018-10-29,25-094,TOR,AWAY,MIL,L (-15),0,2:17,,,32.8,0.0,19.5,0.0,0.0,0.0,,0.0,219,124,0.7,-2.0,Jordan Loyd
2018-11-17,25-113,TOR,AWAY,CHI,W (+39),0,12:00,1.389,1.500,0.0,30.2,18.2,10.0,0.0,0.0,0.0,9.8,270,82,8.9,14.9,Jordan Loyd
2018-11-21,25-117,TOR,AWAY,ATL,W (+16),0,3:03,1.064,1.000,0.0,0.0,0.0,0.0,0.0,0.0,34.7,38.7,126,115,2.3,0.7,Jordan Loyd
2019-01-19,25-176,TOR,HOME,MEM,W (+29),0,4:50,.000,.000,0.0,50.9,25.1,22.6,0.0,0.0,50.0,18.6,32,94,-0.4,-20.6,Jordan Loyd
2019-01-22,25-179,TOR,HOME,SAC,W (+15),0,1:29,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,0,110,-0.7,-31.4,Jordan Loyd
2019-02-03,25-191,TOR,HOME,LAC,W (+18),0,4:24,.184,.200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8,46,108,-1.5,-33.8,Jordan Loyd
2019-02-07,25-195,TOR,AWAY,ATL,W (+18),0,7:06,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,200,109,0.9,-7.3,Jordan Loyd
2019-02-13,25-201,TOR,HOME,WAS,W (+9),0,0:31,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,-0.4,-40.1,Jordan Loyd
2019-03-14,25-230,TOR,HOME,LAL,W (+13),0,1:28,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,0,102,-0.7,-31.3,Jordan Loyd
2019-03-30,25-246,TOR,AWAY,CHI,W (+23),0,6:12,.758,,0.0,13.3,7.7,67.3,0.0,0.0,0.0,9.5,203,107,4.7,16.0,Jordan Loyd
2019-04-01,25-248,TOR,HOME,ORL,W (+12),0,4:07,.868,.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2,168,121,4.0,15.1,Jordan Loyd
2019-04-09,25-256,TOR,AWAY,MIN,W (+20),0,7:22,.676,.625,0.0,12.5,7.3,0.0,0.0,0.0,0.0,25.5,135,104,4.3,3.0,Jordan Loyd
