DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2007-10-31,26-033,TOR,HOME,PHI,W (+9),0,17:52,.825,.786,0.0,6.4,3.2,39.0,0.0,0.0,11.3,23.3,154,114,11.8,10.3,Jose Calderon
2007-11-02,26-035,TOR,AWAY,NJN,W (+37),0,19:40,.635,.571,0.0,25.0,13.8,66.8,5.7,0.0,0.0,20.0,159,72,15.5,19.2,Jose Calderon
2007-11-04,26-037,TOR,HOME,BOS,L (-3),0,18:22,.227,.227,12.5,22.8,17.2,42.4,3.0,0.0,8.3,30.5,71,101,2.8,-1.0,Jose Calderon
2007-11-06,26-039,TOR,AWAY,MIL,L (-27),0,24:43,.500,.500,0.0,11.4,5.0,64.1,2.1,0.0,30.8,25.3,87,121,7.5,-2.1,Jose Calderon
2007-11-07,26-040,TOR,HOME,ORL,L (-9),0,19:54,.683,.583,0.0,20.1,7.9,54.1,0.0,0.0,0.0,16.3,157,114,11.7,11.4,Jose Calderon
2007-11-09,26-042,TOR,AWAY,PHI,W (+2),0,15:12,.765,.800,0.0,0.0,0.0,100.0,6.9,0.0,14.5,20.6,153,106,11.8,19.6,Jose Calderon
2007-11-10,26-043,TOR,AWAY,CHI,W (+30),0,17:48,,,0.0,16.9,9.9,59.2,0.0,0.0,100.0,5.3,127,80,5.2,3.6,Jose Calderon
2007-11-14,26-047,TOR,HOME,UTA,L (-4),0,15:50,.429,.429,0.0,7.1,3.2,0.0,0.0,0.0,30.0,26.8,59,105,-0.8,-13.9,Jose Calderon
2007-11-16,26-049,TOR,HOME,IND,W (+9),0,23:36,.889,.875,0.0,13.9,7.4,78.8,2.2,0.0,10.6,18.3,173,108,18.9,18.1,Jose Calderon
2007-11-18,26-051,TOR,HOME,GSW,L (-6),0,14:55,.400,.400,0.0,7.3,3.5,47.9,3.3,0.0,0.0,14.1,118,107,5.3,3.2,Jose Calderon
2007-11-20,26-053,TOR,AWAY,DAL,L (-6),0,25:32,.643,.600,0.0,4.9,2.3,45.6,2.2,0.0,15.5,24.4,124,123,12.1,4.6,Jose Calderon
2007-11-21,26-054,TOR,AWAY,MEM,W (+6),1,40:32,.385,.385,2.2,7.9,4.8,30.3,1.3,0.0,13.3,17.0,91,100,8.3,-2.7,Jose Calderon
2007-11-24,26-057,TOR,AWAY,CLE,L (-3),1,40:40,.335,.300,0.0,6.6,3.1,41.0,1.3,0.0,0.0,12.6,110,128,11.5,-2.4,Jose Calderon
2007-11-25,26-058,TOR,HOME,CHI,W (+15),1,40:13,.598,.567,2.7,5.4,4.0,60.9,2.7,1.9,5.9,20.0,139,93,24.1,14.7,Jose Calderon
2007-11-28,26-061,TOR,HOME,MEM,W (+12),1,33:41,.505,.500,0.0,15.5,8.5,40.2,0.0,0.0,0.0,18.5,130,106,14.7,2.5,Jose Calderon
2007-11-30,26-063,TOR,HOME,CLE,W (+9),1,31:27,.652,.625,0.0,13.6,7.4,55.8,0.0,2.7,26.2,18.9,119,97,12.1,2.2,Jose Calderon
2007-12-01,26-064,TOR,AWAY,WAS,L (-4),1,34:20,.652,.625,0.0,9.0,3.8,47.5,0.0,0.0,19.2,14.2,132,119,12.9,3.3,Jose Calderon
2007-12-03,26-066,TOR,HOME,CHA,W (+19),1,34:28,.545,.545,3.9,18.6,12.0,42.3,5.2,0.0,15.4,19.1,126,89,15.7,7.2,Jose Calderon
