DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2005-11-02,25-084,MIL,AWAY,NJN,W (+14),0,0:42,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,0.0,-4.9,Josh Davis
2005-12-06,25-118,MIL,HOME,LAL,L (-19),0,2:47,,,45.4,0.0,21.8,0.0,19.2,0.0,,0.0,206,92,1.7,20.7,Josh Davis
2005-12-12,25-124,MIL,AWAY,NYK,W (+20),0,3:26,.000,.000,0.0,45.1,21.2,33.3,0.0,0.0,0.0,13.8,74,105,0.3,-4.1,Josh Davis
2005-12-14,25-126,MIL,HOME,MIA,L (-17),0,4:44,.333,.333,21.1,0.0,11.4,0.0,0.0,0.0,25.0,38.6,59,112,-0.8,-24.8,Josh Davis
2005-12-31,25-143,HOU,HOME,GSW,L (-5),0,0:01,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,-28,-0.4,-1000.0,Josh Davis
2006-01-17,25-160,PHO,AWAY,SAC,L (-29),0,5:14,.463,.333,17.0,0.0,9.5,0.0,9.1,0.0,0.0,35.7,107,106,3.6,10.0,Josh Davis
2004-03-10,23-213,ATL,AWAY,MIL,L (-14),0,8:53,.000,.000,0.0,32.7,16.2,0.0,0.0,0.0,0.0,9.1,0,99,-0.9,-10.6,Josh Davis
2004-03-12,23-215,ATL,HOME,WAS,W (+14),0,0:37,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,133,0.0,-7.1,Josh Davis
2004-03-14,23-217,ATL,AWAY,TOR,L (-17),0,3:02,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,15.3,0,121,-1.4,-30.2,Josh Davis
2004-03-17,23-220,ATL,AWAY,DAL,W (+1),1,9:49,.727,.667,12.4,11.9,12.1,0.0,0.0,0.0,22.5,21.4,118,118,3.3,-3.9,Josh Davis
2004-11-03,24-085,PHI,AWAY,BOS,W (+3),0,0:04,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114,0.0,-5.8,Josh Davis
2004-11-05,24-087,PHI,HOME,PHO,L (-10),0,4:53,.750,.750,0.0,20.4,10.8,0.0,0.0,0.0,0.0,16.6,153,114,1.9,7.1,Josh Davis
2004-11-06,24-088,PHI,AWAY,DET,L (-8),0,4:23,1.000,1.000,0.0,0.0,0.0,63.2,0.0,0.0,0.0,11.2,202,117,2.0,11.9,Josh Davis
