DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2011-12-28,20-276,MEM,HOME,OKC,L (-3),0,10:24,.615,.500,0.0,0.0,0.0,31.4,0.0,0.0,45.0,18.1,82,122,1.0,-7.5,Josh Selby
2011-12-30,20-278,MEM,HOME,HOU,W (+20),0,26:17,.436,.444,0.0,8.9,4.9,33.9,0.0,0.0,8.8,18.7,103,102,7.6,-2.2,Josh Selby
2012-01-01,20-280,MEM,AWAY,CHI,L (-40),0,20:48,.333,.333,4.4,5.4,4.9,24.2,2.6,0.0,18.2,23.9,65,119,2.3,-4.9,Josh Selby
2012-01-03,20-282,MEM,HOME,SAC,W (+17),0,1:03,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,0,113,-0.7,-47.2,Josh Selby
2012-01-12,20-291,MEM,HOME,NYK,W (+11),0,14:52,.945,.833,0.0,13.5,7.3,23.4,0.0,0.0,38.7,24.0,117,94,6.7,3.6,Josh Selby
2012-01-14,20-293,MEM,HOME,NOH,W (+9),0,6:27,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,21.3,0,120,-3.0,-31.3,Josh Selby
2012-01-16,20-295,MEM,HOME,CHI,W (+16),0,11:37,.500,.500,0.0,0.0,0.0,21.3,4.5,0.0,37.5,30.1,76,94,0.5,-8.4,Josh Selby
2012-01-18,20-297,MEM,AWAY,NOH,W (+6),0,6:22,.667,.667,20.4,0.0,10.6,0.0,0.0,0.0,25.0,31.3,98,115,2.0,-6.2,Josh Selby
2012-01-20,20-299,MEM,AWAY,DET,W (+17),0,9:56,.500,.500,0.0,0.0,0.0,42.4,11.0,0.0,50.0,21.1,79,81,3.1,7.4,Josh Selby
2012-01-21,20-300,MEM,HOME,SAC,W (+33),0,9:51,.000,.000,0.0,9.6,5.5,19.5,0.0,0.0,0.0,12.7,46,103,-1.2,-18.3,Josh Selby
2012-01-23,20-302,MEM,AWAY,GSW,W (+1),0,6:37,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0,107,-0.7,-12.5,Josh Selby
2012-01-24,20-303,MEM,AWAY,POR,L (-13),0,17:17,.500,.500,0.0,14.2,6.2,36.4,0.0,0.0,20.0,25.6,85,108,4.7,-2.6,Josh Selby
2012-01-26,20-305,MEM,AWAY,LAC,L (-7),0,13:35,.773,.667,0.0,0.0,0.0,15.4,3.8,0.0,34.0,18.1,103,106,3.6,0.6,Josh Selby
2012-01-28,20-307,MEM,AWAY,PHO,L (-2),0,10:20,.000,.000,0.0,26.8,15.5,28.2,5.2,0.0,66.7,13.7,27,82,-0.2,-8.6,Josh Selby
2012-01-30,20-309,MEM,HOME,SAS,L (-10),0,7:57,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0,107,-1.1,-11.9,Josh Selby
2012-01-31,20-310,MEM,HOME,DEN,W (+3),0,2:19,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.3,0,107,-1.0,-29.4,Josh Selby
2012-02-02,20-312,MEM,AWAY,ATL,W (+19),0,4:17,.000,.000,0.0,0.0,0.0,0.0,12.8,0.0,66.7,31.9,0,72,-1.7,-24.9,Josh Selby
2012-02-05,20-315,MEM,AWAY,BOS,L (-18),0,5:51,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,23.0,0,116,-2.4,-27.3,Josh Selby
2012-02-29,20-339,MEM,HOME,DAL,W (+11),0,5:03,.521,.500,0.0,0.0,0.0,32.2,0.0,0.0,0.0,26.5,121,102,2.3,3.2,Josh Selby
2012-03-02,20-341,MEM,AWAY,TOR,W (+3),0,4:50,.500,.500,0.0,0.0,0.0,35.4,0.0,0.0,0.0,19.1,116,115,1.7,-0.4,Josh Selby
2012-03-07,20-346,MEM,AWAY,GSW,W (+18),0,6:15,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,110,-1.8,-26.7,Josh Selby
2012-03-13,20-352,MEM,HOME,LAL,L (-5),0,0:17,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,0.0,-9.9,Josh Selby
2012-03-20,20-359,MEM,AWAY,SAC,L (-9),0,1:12,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,0,126,-0.7,-38.6,Josh Selby
2012-03-24,20-363,MEM,AWAY,LAC,L (-16),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Josh Selby
2012-04-15,21-019,MEM,AWAY,NOH,L (-13),0,1:11,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.3,0,111,-1.4,-67.6,Josh Selby
2012-04-18,21-022,MEM,HOME,NOH,W (+12),0,0:53,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,0,118,-0.7,-63.6,Josh Selby
2012-04-20,21-024,MEM,AWAY,CHA,W (+5),0,9:44,.250,.250,0.0,12.3,6.2,0.0,0.0,0.0,33.3,28.7,35,95,-2.5,-25.1,Josh Selby
2012-04-21,21-025,MEM,HOME,POR,W (+4),0,9:58,.347,.000,0.0,11.2,5.4,12.0,0.0,0.0,0.0,13.3,105,110,1.6,-6.2,Josh Selby
2012-04-23,21-027,MEM,HOME,CLE,W (+8),0,11:35,.500,.500,0.0,0.0,0.0,12.2,0.0,0.0,0.0,7.5,133,126,0.9,-10.5,Josh Selby
2012-11-07,21-225,MEM,AWAY,MIL,W (+18),0,3:05,.000,.000,0.0,0.0,0.0,35.4,0.0,0.0,50.0,29.6,29,110,-1.0,-25.5,Josh Selby
2012-11-11,21-229,MEM,HOME,MIA,W (+18),0,3:30,.000,.000,0.0,29.2,15.9,0.0,15.1,0.0,0.0,25.6,0,59,-0.5,-13.6,Josh Selby
2012-11-16,21-234,MEM,HOME,NYK,W (+10),0,1:03,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,43.9,0,119,-1.4,-73.8,Josh Selby
2012-11-26,21-244,MEM,HOME,CLE,W (+6),0,4:23,,,0.0,0.0,0.0,33.2,0.0,0.0,100.0,11.8,39,108,-1.1,-20.5,Josh Selby
2012-11-28,21-246,MEM,HOME,TOR,W (+21),0,3:20,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0,100,-1.8,-40.1,Josh Selby
2012-12-22,21-270,MEM,AWAY,HOU,L (-25),0,13:46,.434,.250,0.0,9.2,4.6,0.0,0.0,0.0,25.8,26.0,68,131,0.5,-16.1,Josh Selby
2013-01-06,21-285,MEM,AWAY,PHO,W (+11),0,0:16,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,106,0.0,-4.7,Josh Selby
2013-01-07,21-286,MEM,AWAY,SAC,W (+32),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Josh Selby
