DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2018-11-19,25-000,ATL,HOME,LAC,L (-8),0,2:30,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0,126,-1.1,-28.6,Justin Anderson
2018-11-21,25-002,ATL,HOME,TOR,L (-16),0,13:47,.615,.500,0.0,0.0,0.0,0.0,7.0,5.7,17.0,18.6,101,115,5.3,1.0,Justin Anderson
2018-11-23,25-004,ATL,HOME,BOS,L (-18),0,17:26,.530,.500,0.0,13.1,6.6,0.0,2.6,0.0,8.1,29.8,92,108,6.0,-3.7,Justin Anderson
2018-11-27,25-008,ATL,AWAY,MIA,W (+2),0,2:24,.000,.000,0.0,0.0,0.0,52.6,0.0,0.0,0.0,16.9,60,117,0.0,-7.2,Justin Anderson
2018-11-28,25-009,ATL,AWAY,CHO,L (-14),0,16:46,.455,.455,20.8,26.6,23.4,16.2,2.8,0.0,0.0,25.9,109,103,8.8,2.7,Justin Anderson
2018-11-30,25-011,ATL,AWAY,OKC,L (-15),0,11:00,.509,.417,0.0,0.0,0.0,25.5,4.1,0.0,12.7,27.3,105,116,4.2,0.1,Justin Anderson
2018-12-03,25-014,ATL,HOME,GSW,L (-17),0,3:43,.694,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,149,129,3.0,6.0,Justin Anderson
2018-12-05,25-016,ATL,HOME,WAS,L (-14),0,1:37,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,129,0.0,-9.4,Justin Anderson
2018-12-08,25-019,ATL,HOME,DEN,W (+8),0,3:05,.500,.500,33.8,29.4,31.4,0.0,0.0,0.0,0.0,26.4,116,94,1.6,-3.7,Justin Anderson
2018-12-12,25-023,ATL,AWAY,DAL,L (-7),0,7:59,.500,.500,12.5,18.8,15.0,0.0,5.9,0.0,33.3,15.0,79,103,1.6,-2.0,Justin Anderson
2018-12-14,25-025,ATL,AWAY,BOS,L (-21),0,6:44,,,0.0,0.0,0.0,0.0,0.0,12.7,,0.0,0,124,0.7,-2.5,Justin Anderson
2018-12-16,25-027,ATL,AWAY,BRK,L (-17),0,2:45,1.500,1.500,0.0,49.9,24.2,100.0,0.0,0.0,0.0,31.7,279,141,7.1,87.3,Justin Anderson
2018-12-18,25-029,ATL,HOME,WAS,W (+8),0,1:50,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,109,-0.8,-22.1,Justin Anderson
2018-12-23,25-034,ATL,AWAY,DET,W (+3),0,14:01,1.215,1.250,0.0,38.9,18.0,23.5,3.4,0.0,0.0,8.4,244,90,9.9,18.1,Justin Anderson
2018-12-26,25-037,ATL,HOME,IND,L (-8),0,11:29,.333,.333,0.0,20.9,10.4,10.2,0.0,7.5,25.0,14.4,66,125,1.3,-7.8,Justin Anderson
2018-12-28,25-039,ATL,AWAY,MIN,W (+3),0,14:43,.000,.000,15.0,6.3,10.3,0.0,0.0,10.9,0.0,8.2,45,110,0.6,-6.3,Justin Anderson
2018-12-29,25-040,ATL,HOME,CLE,W (+3),0,15:20,.333,.333,6.1,27.2,16.1,7.9,6.3,0.0,25.0,10.3,75,96,3.9,-0.3,Justin Anderson
2018-12-31,25-042,ATL,AWAY,IND,L (-8),0,6:43,.750,.750,0.0,17.9,7.8,0.0,0.0,0.0,33.3,17.8,90,124,0.9,-6.7,Justin Anderson
