DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2019-01-28,26-013,NYK,AWAY,CHO,L (-9),0,18:07,.500,.500,11.5,15.6,13.7,34.0,0.0,0.0,0.0,20.3,120,111,7.6,0.3,Kadeem Allen
2019-01-30,26-015,NYK,HOME,DAL,L (-24),0,17:39,.798,.500,0.0,15.1,6.6,27.9,2.8,0.0,0.0,10.0,178,117,7.1,-0.3,Kadeem Allen
2019-02-01,26-017,NYK,HOME,BOS,L (-14),1,35:20,.514,.357,0.0,10.7,6.0,18.7,0.0,0.0,18.6,13.5,104,118,6.4,-6.3,Kadeem Allen
2019-02-03,26-019,NYK,HOME,MEM,L (-12),0,20:25,.000,.000,0.0,9.6,5.0,42.0,0.0,3.6,0.0,7.1,75,106,1.9,-7.1,Kadeem Allen
2019-02-05,26-021,NYK,HOME,DET,L (-13),0,11:02,.833,.833,0.0,0.0,0.0,31.9,4.8,0.0,25.0,16.2,131,112,4.7,7.8,Kadeem Allen
2019-02-08,26-024,NYK,AWAY,DET,L (-17),0,14:59,.509,.583,14.2,16.0,15.1,25.2,0.0,0.0,12.7,23.2,103,128,4.8,-3.6,Kadeem Allen
2019-02-09,26-025,NYK,HOME,TOR,L (-5),0,27:46,.549,.545,0.0,13.3,6.6,34.2,3.5,0.0,0.0,19.0,131,103,13.3,8.0,Kadeem Allen
2019-02-11,26-027,NYK,AWAY,CLE,L (-3),0,32:13,.687,.656,0.0,8.4,4.4,33.0,1.5,0.0,5.2,25.8,139,111,21.3,6.8,Kadeem Allen
2019-02-13,26-029,NYK,HOME,PHI,L (-15),0,23:12,.528,.500,3.8,11.8,6.9,27.9,5.9,0.0,24.5,27.3,88,113,9.6,1.7,Kadeem Allen
2019-02-14,26-030,NYK,AWAY,ATL,W (+15),0,24:25,.651,.611,0.0,7.7,4.2,62.8,0.0,0.0,15.7,22.9,135,103,12.6,5.1,Kadeem Allen
2019-03-15,26-059,NYK,AWAY,SAS,L (-26),0,28:08,.800,.800,3.6,9.0,6.0,7.4,5.4,0.0,16.7,19.3,122,109,14.4,8.5,Kadeem Allen
2019-03-17,26-061,NYK,HOME,LAL,W (+1),0,16:48,1.215,1.250,0.0,5.7,3.6,22.4,0.0,0.0,41.0,12.5,146,127,5.6,-0.9,Kadeem Allen
2019-03-18,26-062,NYK,AWAY,TOR,L (-36),0,26:14,.000,.000,0.0,5.4,2.1,6.5,1.8,0.0,27.3,18.0,4,125,-7.4,-24.6,Kadeem Allen
2019-03-20,26-064,NYK,HOME,UTA,L (-21),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Kadeem Allen
2019-03-22,26-066,NYK,HOME,DEN,L (-18),0,14:45,.190,.143,0.0,6.0,3.0,42.3,3.4,0.0,0.0,24.1,62,116,1.8,-7.3,Kadeem Allen
2019-03-24,26-068,NYK,HOME,LAC,L (-11),0,20:15,.673,.636,5.5,16.5,11.0,8.9,0.0,4.6,7.8,27.5,132,132,10.3,1.2,Kadeem Allen
2019-03-28,26-072,NYK,HOME,TOR,L (-25),0,18:49,.804,.722,0.0,5.5,2.6,32.5,0.0,6.1,26.3,33.7,116,119,10.9,6.7,Kadeem Allen
2019-03-30,26-074,NYK,HOME,MIA,L (-8),0,27:08,.488,.333,3.9,7.4,5.7,38.7,0.0,0.0,19.6,17.0,105,111,6.9,-5.6,Kadeem Allen
2019-04-01,26-076,NYK,HOME,CHI,W (+8),0,9:26,.931,.750,0.0,30.5,17.3,79.7,5.4,0.0,21.0,24.0,177,98,10.4,25.2,Kadeem Allen
2019-04-10,26-085,NYK,HOME,DET,L (-26),0,28:52,.481,.400,0.0,20.8,9.3,51.1,3.6,3.2,0.0,22.7,114,116,15.4,7.5,Kadeem Allen
2017-12-11,24-330,BOS,AWAY,CHI,L (-23),0,5:05,.266,.000,20.1,21.0,20.5,0.0,0.0,0.0,34.7,26.1,53,120,-0.1,-17.2,Kadeem Allen
2017-12-21,24-340,BOS,AWAY,NYK,L (-9),0,0:18,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,0.0,-8.9,Kadeem Allen
2017-12-23,24-342,BOS,HOME,CHI,W (+25),0,2:49,.532,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,120,106,1.3,-6.7,Kadeem Allen
2018-01-31,25-016,BOS,HOME,NYK,W (+30),0,6:06,,,0.0,0.0,0.0,0.0,8.2,0.0,,0.0,0,69,0.6,1.3,Kadeem Allen
2018-02-02,25-018,BOS,HOME,ATL,W (+9),0,7:38,.000,.000,0.0,16.1,8.1,0.0,0.0,0.0,50.0,23.1,0,115,-3.5,-33.3,Kadeem Allen
2018-02-04,25-020,BOS,HOME,POR,W (+1),0,0:21,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,113,0.0,-7.9,Kadeem Allen
2018-02-06,25-022,BOS,AWAY,TOR,L (-20),0,5:07,.500,.500,0.0,0.0,0.0,39.7,0.0,0.0,0.0,17.2,118,121,1.7,3.0,Kadeem Allen
2018-03-11,25-055,BOS,HOME,IND,L (-2),0,0:01,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,113,0.0,-8.3,Kadeem Allen
2018-03-18,25-062,BOS,AWAY,NOP,L (-19),0,3:35,,,0.0,33.5,15.2,38.3,0.0,0.0,,0.0,226,115,1.0,2.3,Kadeem Allen
