DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2020-12-26,25-145,IND,AWAY,CHI,W (+19),0,2:05,1.000,1.000,0.0,0.0,0.0,0.0,21.7,0.0,0.0,19.6,200,62,2.7,33.5,Kelan Martin
2020-12-31,25-150,IND,HOME,CLE,W (+20),0,11:01,.000,.000,10.6,0.0,5.0,0.0,4.4,0.0,25.0,31.2,12,98,-5.7,-38.2,Kelan Martin
2021-01-02,25-152,IND,HOME,NYK,L (-4),0,4:16,.000,.000,0.0,60.8,27.1,0.0,0.0,0.0,0.0,11.3,0,108,-0.1,-14.1,Kelan Martin
2021-01-12,25-162,IND,AWAY,GSW,W (+9),0,5:54,.333,.333,0.0,48.8,25.4,0.0,0.0,0.0,0.0,21.6,69,90,0.8,-11.4,Kelan Martin
2021-01-14,25-164,IND,AWAY,POR,W (+24),0,2:24,1.500,1.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,300,108,2.7,38.5,Kelan Martin
2021-01-17,25-167,IND,AWAY,LAC,L (-33),0,5:14,.000,.000,0.0,51.0,21.6,0.0,0.0,0.0,50.0,32.7,0,127,-2.8,-37.7,Kelan Martin
2021-01-20,25-170,IND,HOME,DAL,L (-12),0,0:31,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,130,0.0,-7.8,Kelan Martin
2021-02-02,25-183,IND,HOME,MEM,W (+18),0,3:05,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,0.0,-5.5,Kelan Martin
2021-02-03,25-184,IND,AWAY,MIL,L (-20),0,4:52,1.000,1.000,0.0,20.1,10.0,0.0,0.0,0.0,0.0,17.1,200,126,3.7,9.0,Kelan Martin
2021-02-10,25-191,IND,AWAY,BRK,L (-10),0,2:41,.750,.750,0.0,85.2,40.2,0.0,0.0,0.0,0.0,34.1,130,97,2.6,27.9,Kelan Martin
2021-02-13,25-194,IND,AWAY,ATL,W (+12),0,0:38,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,0.0,-8.1,Kelan Martin
2021-03-01,25-210,IND,AWAY,PHI,L (-16),0,5:25,.694,.500,0.0,27.7,12.1,0.0,8.3,0.0,0.0,21.4,148,105,3.9,9.0,Kelan Martin
2021-03-15,25-224,IND,AWAY,DEN,L (-15),0,1:29,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,0,140,-0.7,-39.4,Kelan Martin
2021-03-22,25-231,IND,AWAY,MIL,L (-27),0,4:30,,,0.0,0.0,0.0,23.7,0.0,19.4,,0.0,227,123,1.4,5.6,Kelan Martin
2021-04-02,25-242,IND,HOME,CHO,L (-17),0,1:41,.000,.000,67.9,0.0,31.0,75.0,0.0,0.0,0.0,25.8,91,120,0.7,3.5,Kelan Martin
2021-04-03,25-243,IND,AWAY,SAS,W (+6),0,14:31,.900,.900,0.0,0.0,0.0,8.9,3.4,0.0,0.0,15.4,182,126,8.0,11.2,Kelan Martin
2021-04-06,25-246,IND,HOME,CHI,L (-16),0,13:01,.250,.250,7.5,0.0,4.1,0.0,0.0,6.0,20.0,16.9,52,122,-0.4,-16.1,Kelan Martin
2021-04-07,25-247,IND,HOME,MIN,W (+4),0,13:21,.727,.667,10.0,43.8,28.0,7.5,3.4,0.0,22.5,14.0,128,120,6.2,0.6,Kelan Martin
2021-04-13,25-253,IND,HOME,LAC,L (-11),0,0:54,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,127,-0.4,-25.8,Kelan Martin
2021-04-19,25-259,IND,HOME,SAS,L (-15),0,3:08,.868,.750,49.4,0.0,27.6,82.0,0.0,0.0,0.0,35.9,193,114,5.7,53.4,Kelan Martin
2021-04-21,25-261,IND,HOME,OKC,W (+6),0,15:46,.375,.375,17.6,6.1,11.9,8.3,0.0,0.0,0.0,20.2,105,119,3.9,-12.1,Kelan Martin
2021-04-24,25-264,IND,HOME,DET,W (+6),0,3:51,.000,.000,0.0,0.0,0.0,31.2,0.0,20.1,0.0,21.6,27,107,0.0,-7.3,Kelan Martin
2021-04-25,25-265,IND,AWAY,ORL,W (+19),0,7:04,.667,.667,0.0,35.1,20.6,18.7,0.0,0.0,25.0,24.3,102,102,3.3,-0.6,Kelan Martin
2021-04-27,25-267,IND,HOME,POR,L (-21),0,8:16,.922,1.000,13.2,11.4,12.2,0.0,0.0,0.0,0.0,25.5,166,135,7.2,12.7,Kelan Martin
2021-04-29,25-269,IND,HOME,BRK,L (-17),0,12:31,.233,.167,0.0,39.3,17.4,10.3,3.7,0.0,0.0,21.4,57,117,1.7,-10.4,Kelan Martin
2021-05-01,25-271,IND,AWAY,OKC,W (+57),0,14:47,.500,.500,0.0,18.3,12.9,6.4,0.0,8.9,28.6,20.0,73,82,2.4,-9.2,Kelan Martin
2021-05-03,25-273,IND,AWAY,WAS,L (-13),0,0:04,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,136,0.0,-8.9,Kelan Martin
2021-05-05,25-275,IND,HOME,SAC,L (-11),0,18:39,.611,.611,0.0,30.9,16.1,22.3,0.0,0.0,10.0,22.9,108,105,8.5,3.4,Kelan Martin
2021-05-06,25-276,IND,HOME,ATL,W (+7),0,11:37,.400,.400,0.0,29.5,17.7,0.0,0.0,0.0,0.0,18.7,78,126,1.4,-15.4,Kelan Martin
2021-05-08,25-278,IND,HOME,WAS,L (-1),0,14:57,.625,.625,0.0,12.7,6.5,0.0,3.0,0.0,20.0,13.6,88,110,2.4,-5.9,Kelan Martin
2021-05-10,25-280,IND,AWAY,CLE,W (+9),0,25:00,.781,.781,17.1,11.1,13.9,0.0,0.0,3.6,5.9,30.8,141,113,20.4,7.9,Kelan Martin
2021-05-11,25-281,IND,HOME,PHI,W (+9),0,18:37,.429,.429,0.0,30.0,16.1,16.2,0.0,4.2,22.2,22.5,74,98,3.1,-4.5,Kelan Martin
2021-05-13,25-283,IND,HOME,MIL,L (-9),0,26:46,.462,.462,13.5,23.6,17.7,4.4,0.0,2.8,0.0,18.9,113,131,9.0,-6.4,Kelan Martin
2021-05-15,25-285,IND,HOME,LAL,L (-7),0,26:05,.833,.833,0.0,13.8,6.7,5.3,5.5,6.5,10.0,16.7,138,112,14.9,10.4,Kelan Martin
2021-05-16,25-286,IND,AWAY,TOR,W (+12),0,17:48,.547,.500,0.0,20.4,11.4,7.2,0.0,0.0,7.8,30.0,105,112,7.8,-2.1,Kelan Martin
2019-10-25,24-083,MIN,AWAY,CHO,W (+22),0,4:51,.000,.000,0.0,20.6,10.5,0.0,0.0,0.0,0.0,24.8,0,99,-2.2,-34.8,Kelan Martin
2019-11-15,24-104,MIN,HOME,WAS,L (-21),0,12:59,.333,.333,0.0,7.9,3.9,0.0,0.0,0.0,10.0,30.4,60,129,-0.6,-22.1,Kelan Martin
2019-11-16,24-105,MIN,HOME,HOU,L (-20),0,16:41,.167,.167,7.0,0.0,3.3,0.0,0.0,0.0,0.0,15.4,53,139,-1.9,-19.8,Kelan Martin
2019-11-18,24-107,MIN,AWAY,UTA,W (+10),0,24:18,1.000,1.000,0.0,20.4,11.4,0.0,0.0,0.0,12.5,14.1,156,99,10.7,3.8,Kelan Martin
2019-11-20,24-109,MIN,HOME,UTA,L (-8),0,24:42,.625,.625,3.9,22.4,13.3,0.0,0.0,3.7,0.0,14.0,133,107,7.6,1.7,Kelan Martin
2019-11-23,24-112,MIN,HOME,PHO,L (-2),0,17:36,.000,.000,0.0,18.2,9.7,7.2,2.7,0.0,12.5,19.4,8,96,-3.8,-18.6,Kelan Martin
2019-11-25,24-114,MIN,AWAY,ATL,W (+12),0,7:19,.500,.500,0.0,46.9,22.1,19.0,0.0,0.0,0.0,16.6,122,106,2.5,-0.5,Kelan Martin
2019-11-27,24-116,MIN,AWAY,SAS,W (+12),0,7:26,.000,.000,0.0,23.9,13.0,0.0,0.0,0.0,0.0,6.0,0,103,-0.9,-15.8,Kelan Martin
2019-12-06,24-125,MIN,AWAY,OKC,L (-12),0,6:43,,,0.0,22.5,10.5,15.8,0.0,0.0,100.0,6.7,49,137,-0.8,-12.3,Kelan Martin
2019-12-23,24-142,MIN,AWAY,GSW,L (-9),0,16:27,.667,.667,0.0,0.0,0.0,0.0,2.8,0.0,14.3,17.6,106,114,4.2,-1.5,Kelan Martin
2019-12-26,24-145,MIN,AWAY,SAC,W (+1),0,5:03,.750,.750,17.7,0.0,8.7,93.7,0.0,0.0,0.0,17.7,179,105,4.1,30.6,Kelan Martin
2019-12-28,24-147,MIN,HOME,CLE,L (-6),0,29:31,.535,.500,2.7,20.3,9.8,0.0,1.6,0.0,0.0,21.6,113,94,11.3,1.8,Kelan Martin
2019-12-30,24-149,MIN,HOME,BRK,W (+7),1,34:49,.563,.563,0.0,24.5,11.6,0.0,0.0,2.6,0.0,9.3,111,101,7.2,-3.7,Kelan Martin
2020-01-01,24-151,MIN,AWAY,MIL,L (-2),1,23:31,.214,.214,0.0,11.3,5.7,12.8,0.0,7.0,12.5,14.3,50,100,0.4,-6.3,Kelan Martin
2020-01-02,24-152,MIN,HOME,GSW,W (+15),1,29:12,.450,.375,0.0,31.3,13.8,5.2,0.0,0.0,0.0,19.1,107,92,7.9,-3.1,Kelan Martin
2020-01-05,24-155,MIN,AWAY,CLE,W (+15),0,19:41,.450,.450,0.0,11.9,5.6,6.5,0.0,4.1,0.0,20.9,101,111,4.8,-9.6,Kelan Martin
2020-01-07,24-157,MIN,AWAY,MEM,L (-7),0,14:06,.200,.200,7.6,17.5,12.2,0.0,0.0,0.0,0.0,14.5,58,120,0.2,-13.3,Kelan Martin
2020-01-27,24-177,MIN,HOME,SAC,L (-4),0,15:37,.333,.333,0.0,7.7,3.8,0.0,0.0,7.1,40.0,13.7,38,125,-1.1,-14.6,Kelan Martin
2020-02-01,24-182,MIN,AWAY,LAC,L (-12),0,15:35,.486,.200,0.0,24.6,13.1,0.0,2.9,0.0,29.4,26.8,71,107,1.9,-11.3,Kelan Martin
2020-02-03,24-184,MIN,AWAY,SAC,L (-4),0,19:57,1.000,1.000,11.7,19.0,15.2,9.6,0.0,0.0,0.0,12.7,201,125,12.0,9.4,Kelan Martin
2020-02-05,24-186,MIN,HOME,ATL,L (-7),1,21:41,.571,.500,0.0,26.0,11.5,0.0,4.1,4.4,11.3,16.5,102,112,7.4,-0.5,Kelan Martin
2020-02-08,24-189,MIN,HOME,LAC,W (+27),0,2:11,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,200,118,1.7,7.4,Kelan Martin
2020-02-21,24-202,MIN,HOME,BOS,L (-10),0,16:02,.347,.000,0.0,17.6,8.9,24.9,0.0,4.5,14.8,18.0,84,125,3.5,-5.9,Kelan Martin
2020-02-23,24-204,MIN,AWAY,DEN,L (-12),0,29:43,.626,.567,0.0,19.0,8.5,0.0,0.0,2.7,5.6,24.4,117,124,13.8,0.5,Kelan Martin
2020-02-24,24-205,MIN,AWAY,DAL,L (-16),0,14:52,.799,.750,13.7,26.4,20.2,44.4,0.0,0.0,0.0,18.4,180,126,13.4,17.6,Kelan Martin
2020-02-26,24-207,MIN,AWAY,MIA,W (+3),0,18:52,.619,.563,6.4,7.1,6.7,20.7,0.0,0.0,18.4,23.5,114,126,7.3,-3.1,Kelan Martin
2020-02-28,24-209,MIN,AWAY,ORL,L (-11),0,11:41,.410,.250,8.2,0.0,4.7,0.0,3.7,0.0,17.0,20.0,81,123,0.7,-15.6,Kelan Martin
2020-03-01,24-211,MIN,HOME,DAL,L (-20),0,12:04,.357,.357,6.2,8.1,7.0,0.0,0.0,0.0,22.2,30.2,60,110,-0.5,-14.7,Kelan Martin
2020-03-03,24-213,MIN,AWAY,NOP,W (+5),0,7:55,.615,.500,0.0,26.9,14.1,12.6,0.0,0.0,29.1,17.1,100,123,1.9,-6.8,Kelan Martin
2020-03-04,24-214,MIN,HOME,CHI,W (+7),0,8:39,.798,.750,0.0,39.6,20.1,16.1,0.0,0.0,0.0,19.1,174,110,6.2,12.3,Kelan Martin
