DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2012-11-03,24-193,NOH,AWAY,CHI,W (+7),0,5:15,.000,.000,0.0,18.3,10.8,0.0,0.0,0.0,0.0,18.1,0,95,-1.5,-22.3,Lance Thomas
2012-11-07,24-197,NOH,HOME,PHI,L (-15),0,7:16,.266,.000,14.7,29.4,22.0,0.0,0.0,0.0,0.0,12.9,78,91,1.2,-4.8,Lance Thomas
2012-11-16,24-206,NOH,HOME,OKC,L (-15),0,8:35,.387,.333,25.4,35.0,29.4,0.0,0.0,0.0,0.0,21.4,109,130,2.5,-7.6,Lance Thomas
2012-11-20,24-210,NOH,HOME,NYK,L (-22),0,22:20,.820,.750,0.0,14.7,7.6,0.0,0.0,4.6,17.0,13.9,130,118,6.6,2.0,Lance Thomas
2012-11-21,24-211,NOH,AWAY,IND,L (-8),0,5:11,.906,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,191,133,3.5,9.6,Lance Thomas
2012-11-23,24-213,NOH,AWAY,PHO,L (-3),0,16:53,.769,.667,0.0,14.0,8.3,0.0,6.5,0.0,16.1,18.7,130,106,6.7,0.9,Lance Thomas
2012-11-25,24-215,NOH,AWAY,DEN,L (-18),0,15:08,.226,.000,13.5,9.3,11.7,0.0,0.0,0.0,0.0,19.5,69,121,-0.9,-17.9,Lance Thomas
2012-11-26,24-216,NOH,AWAY,LAC,W (+7),0,9:34,.515,.333,16.2,13.6,14.8,0.0,0.0,0.0,0.0,20.3,127,118,3.3,-3.4,Lance Thomas
2012-11-28,24-218,NOH,HOME,UTA,L (-12),0,8:31,.615,.500,12.5,0.0,7.3,0.0,0.0,0.0,0.0,13.6,143,114,2.3,1.3,Lance Thomas
2012-12-01,24-221,NOH,HOME,OKC,L (-21),0,18:38,.387,.333,15.5,20.3,17.6,9.4,0.0,4.1,0.0,9.6,116,115,5.3,1.6,Lance Thomas
2012-12-03,24-223,NOH,HOME,MIL,W (+21),0,14:56,.850,.800,18.9,7.5,12.5,0.0,4.1,0.0,0.0,19.9,183,104,10.8,14.1,Lance Thomas
2012-12-05,24-225,NOH,HOME,LAL,L (-16),0,12:58,1.025,1.000,7.6,8.6,8.0,0.0,0.0,0.0,29.1,12.1,135,121,4.4,0.1,Lance Thomas
2012-12-07,24-227,NOH,HOME,MEM,L (-7),0,14:19,,,8.4,28.7,17.9,0.0,0.0,0.0,,0.0,220,115,1.2,-7.0,Lance Thomas
2012-12-08,24-228,NOH,AWAY,MIA,L (-16),0,14:39,.000,.000,8.2,36.4,19.6,0.0,3.6,0.0,0.0,13.0,19,112,-0.2,-8.9,Lance Thomas
2012-12-11,24-231,NOH,HOME,WAS,L (-7),0,6:50,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,96,-0.4,-9.2,Lance Thomas
2012-12-14,24-234,NOH,HOME,MIN,L (-11),0,7:04,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0,134,-2.5,-32.0,Lance Thomas
2012-12-16,24-236,NOH,AWAY,POR,L (-1),0,16:51,.800,.800,30.0,20.8,25.2,23.2,0.0,0.0,0.0,14.2,184,119,10.4,12.9,Lance Thomas
2012-12-18,24-238,NOH,AWAY,GSW,L (-7),1,20:21,1.000,1.000,0.0,16.8,9.2,0.0,0.0,0.0,33.3,7.3,108,122,2.1,-6.7,Lance Thomas
2012-12-19,24-239,NOH,AWAY,LAC,L (-16),1,22:10,.798,1.000,10.3,23.4,16.4,0.0,0.0,0.0,0.0,3.9,169,110,4.1,1.1,Lance Thomas
2012-12-21,24-241,NOH,AWAY,SAS,L (-5),1,15:29,.333,.333,0.0,8.9,3.9,0.0,0.0,0.0,0.0,8.9,74,111,0.6,-5.6,Lance Thomas
2012-12-22,24-242,NOH,HOME,IND,L (-6),1,22:18,.500,.500,4.7,0.0,2.5,0.0,2.6,0.0,33.3,6.7,75,107,0.9,-8.2,Lance Thomas
2012-12-26,24-246,NOH,AWAY,ORL,W (+3),1,22:14,.000,.000,0.0,11.1,5.8,5.7,0.0,0.0,0.0,4.7,29,118,-1.3,-11.6,Lance Thomas
2012-12-28,24-248,NOH,HOME,TOR,L (-7),1,27:32,.568,,0.0,15.7,8.4,5.2,0.0,3.2,0.0,1.6,143,109,1.2,-4.1,Lance Thomas
2012-12-29,24-249,NOH,AWAY,CHA,W (+3),1,12:49,.250,.250,0.0,0.0,0.0,12.0,0.0,5.4,0.0,14.0,72,113,0.2,-10.5,Lance Thomas
2013-01-01,24-252,NOH,HOME,ATL,L (-9),1,15:15,.333,.333,14.3,7.5,11.0,0.0,0.0,0.0,0.0,9.4,102,120,1.6,-6.9,Lance Thomas
