DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2012-10-30,26-164,MIA,HOME,BOS,W (+13),1,36:29,.508,.429,0.0,3.5,1.7,37.1,4.2,0.0,11.3,11.6,129,111,13.1,4.3,Mario Chalmers
2012-11-02,26-167,MIA,AWAY,NYK,L (-20),1,19:34,.255,.200,0.0,5.2,3.0,8.0,0.0,0.0,25.4,19.8,47,125,-3.9,-21.3,Mario Chalmers
2012-11-03,26-168,MIA,HOME,DEN,W (+3),1,34:02,.514,.429,0.0,9.8,5.4,18.2,4.5,1.9,18.6,14.8,104,118,10.2,-0.8,Mario Chalmers
2012-11-05,26-170,MIA,HOME,PHO,W (+25),1,28:07,.900,.900,0.0,13.1,7.8,44.8,5.1,2.5,16.7,9.4,175,91,17.5,18.5,Mario Chalmers
2012-11-07,26-172,MIA,HOME,BRK,W (+30),1,26:38,.508,.500,5.1,20.0,13.5,26.0,2.0,0.0,33.7,22.3,88,81,5.8,-2.7,Mario Chalmers
2012-11-09,26-174,MIA,AWAY,ATL,W (+6),1,26:39,.600,.600,0.0,5.1,2.5,19.3,2.0,0.0,0.0,18.6,129,103,9.6,5.1,Mario Chalmers
2012-11-11,26-176,MIA,AWAY,MEM,L (-18),1,23:12,.242,.222,0.0,10.6,4.8,24.0,2.3,0.0,0.0,19.8,70,117,1.6,-8.5,Mario Chalmers
2012-11-12,26-177,MIA,AWAY,HOU,W (+3),1,27:00,.368,.300,0.0,25.4,12.7,20.6,1.9,0.0,26.9,12.2,89,114,3.6,-5.2,Mario Chalmers
2012-11-14,26-179,MIA,AWAY,LAC,L (-7),1,28:25,.500,.500,0.0,9.9,4.6,16.0,3.6,0.0,37.5,12.4,75,114,2.0,-6.3,Mario Chalmers
2012-11-15,26-180,MIA,AWAY,DEN,W (+5),1,7:13,.000,.000,0.0,0.0,0.0,55.4,7.8,0.0,0.0,7.0,116,103,2.0,6.5,Mario Chalmers
2012-11-17,26-182,MIA,AWAY,PHO,W (+9),1,31:25,.786,.786,0.0,7.5,4.1,15.1,4.9,0.0,22.2,14.0,122,92,10.2,4.9,Mario Chalmers
