DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2015-10-28,23-272,BRK,HOME,CHI,L (-15),0,9:19,.521,.500,0.0,15.2,6.1,35.9,0.0,0.0,0.0,25.1,122,123,4.9,5.1,Markel Brown
2015-10-30,23-274,BRK,AWAY,SAS,L (-27),0,8:24,.000,.000,0.0,0.0,0.0,18.4,6.0,0.0,0.0,23.2,12,102,-1.9,-15.2,Markel Brown
2015-10-31,23-275,BRK,AWAY,MEM,L (-10),1,14:13,.333,.333,0.0,0.0,0.0,19.5,0.0,0.0,40.0,17.1,56,121,-1.1,-14.2,Markel Brown
2015-11-02,23-277,BRK,HOME,MIL,L (-7),1,25:33,.500,.500,0.0,11.4,5.3,12.4,0.0,3.8,0.0,12.3,115,115,5.2,-0.1,Markel Brown
2015-11-04,23-279,BRK,AWAY,ATL,L (-14),1,19:42,.500,.500,0.0,7.0,3.2,0.0,5.4,0.0,25.0,18.1,74,106,1.7,-5.7,Markel Brown
2015-11-18,23-293,BRK,AWAY,CHO,L (-5),0,4:34,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0,122,-1.4,-24.0,Markel Brown
2015-11-20,23-295,BRK,AWAY,BOS,L (-25),0,5:31,.258,.000,0.0,0.0,0.0,24.9,0.0,0.0,0.0,28.5,77,126,0.2,-13.1,Markel Brown
2015-12-01,23-306,BRK,HOME,PHO,W (+3),0,0:02,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,103,0.0,-7.7,Markel Brown
2015-12-04,23-309,BRK,AWAY,NYK,L (-17),0,8:38,.000,.000,0.0,12.6,6.0,42.8,0.0,0.0,0.0,5.0,97,117,1.7,-0.5,Markel Brown
2015-12-06,23-311,BRK,HOME,GSW,L (-16),0,25:49,.583,.583,0.0,16.5,8.1,5.6,1.9,0.0,14.3,11.6,101,116,5.5,-1.7,Markel Brown
2015-12-08,23-313,BRK,HOME,HOU,W (+5),0,5:54,.750,.750,0.0,20.3,10.4,22.1,0.0,0.0,0.0,14.5,168,112,2.6,5.9,Markel Brown
2015-12-10,23-315,BRK,HOME,PHI,W (+9),0,16:19,.833,.833,0.0,0.0,0.0,9.5,3.2,0.0,25.0,11.2,119,102,2.8,0.1,Markel Brown
2015-12-12,23-317,BRK,HOME,LAC,L (-5),0,17:32,.400,.286,0.0,33.4,15.9,0.0,0.0,0.0,0.0,22.2,91,109,3.2,-7.1,Markel Brown
2015-12-14,23-319,BRK,HOME,ORL,L (-23),0,10:02,.615,.500,0.0,0.0,0.0,0.0,5.1,0.0,0.0,11.2,127,106,2.2,-0.9,Markel Brown
2015-12-16,23-321,BRK,HOME,MIA,L (-6),0,3:52,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0,124,-0.7,-20.4,Markel Brown
2015-12-18,23-323,BRK,AWAY,IND,L (-7),0,2:30,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0,121,-1.4,-38.2,Markel Brown
2015-12-20,23-325,BRK,HOME,MIN,L (-15),0,6:15,.568,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,123,113,-0.2,-13.6,Markel Brown
2015-12-26,23-331,BRK,HOME,WAS,L (-15),0,2:51,1.500,1.500,0.0,41.1,18.9,0.0,0.0,0.0,50.0,29.3,69,115,1.6,9.4,Markel Brown
2016-01-06,23-342,BRK,HOME,TOR,L (-17),0,2:35,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7,0,108,-1.4,-31.5,Markel Brown
2016-01-08,23-344,BRK,HOME,ORL,L (-6),0,19:42,.260,.000,5.3,11.1,8.1,0.0,0.0,0.0,0.0,14.5,69,103,0.3,-10.0,Markel Brown
