DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2020-12-25,21-297,DEN,HOME,LAC,L (-13),0,0:26,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,138,-0.7,-108.0,Markus Howard
2020-12-29,21-301,DEN,AWAY,SAC,L (-10),0,0:24,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,135,0.0,-7.4,Markus Howard
2021-01-03,21-306,DEN,AWAY,MIN,W (+15),0,0:55,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,0.0,-9.0,Markus Howard
2021-01-09,21-312,DEN,AWAY,PHI,W (+12),0,2:06,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0,120,-0.7,-29.3,Markus Howard
2021-01-10,21-313,DEN,AWAY,NYK,W (+25),0,2:53,.333,.333,0.0,0.0,0.0,58.7,0.0,0.0,0.0,49.3,92,106,0.6,-20.1,Markus Howard
2021-01-19,21-322,DEN,HOME,OKC,W (+18),0,3:41,.250,.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6,62,107,-0.8,-31.4,Markus Howard
2021-01-27,21-330,DEN,AWAY,MIA,W (+27),0,2:52,1.500,1.500,0.0,0.0,0.0,100.0,0.0,0.0,0.0,30.5,285,101,6.8,94.3,Markus Howard
2021-01-29,21-332,DEN,AWAY,SAS,L (-10),0,0:34,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,134,0.0,-8.7,Markus Howard
2021-01-31,21-334,DEN,HOME,UTA,W (+11),0,1:39,.000,.000,0.0,69.3,37.8,0.0,0.0,0.0,0.0,56.3,0,111,-1.5,-76.1,Markus Howard
2021-02-04,21-338,DEN,AWAY,LAL,L (-21),0,2:53,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.3,0,127,-1.7,-35.9,Markus Howard
2021-02-06,21-340,DEN,AWAY,SAC,L (-5),0,12:18,.250,.250,0.0,8.9,4.2,0.0,0.0,0.0,14.3,24.4,47,129,-1.9,-23.3,Markus Howard
2021-02-10,21-344,DEN,HOME,CLE,W (+38),0,6:12,.200,.200,0.0,29.2,17.6,0.0,0.0,0.0,16.7,44.1,33,94,-1.9,-43.8,Markus Howard
2021-02-14,21-348,DEN,HOME,LAL,W (+17),0,1:29,,,0.0,0.0,0.0,83.0,0.0,0.0,,0.0,249,113,0.7,18.2,Markus Howard
