DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2020-12-23,26-141,TOR,HOME,NOP,L (-14),0,20:17,.750,.750,0.0,13.1,5.9,30.6,4.5,0.0,0.0,12.4,157,104,10.6,13.7,Matt Thomas
2020-12-26,26-144,TOR,AWAY,SAS,L (-5),0,18:51,.500,.500,0.0,15.3,7.7,7.0,0.0,0.0,11.1,20.2,88,119,4.2,-6.3,Matt Thomas
2020-12-29,26-147,TOR,AWAY,PHI,L (-7),0,7:55,.581,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,117,108,2.3,1.4,Matt Thomas
2021-01-08,26-157,TOR,AWAY,SAC,W (+21),0,2:17,1.500,1.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,300,131,2.7,32.2,Matt Thomas
2021-01-18,26-167,TOR,HOME,DAL,W (+23),0,2:04,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,200,105,1.7,15.1,Matt Thomas
2021-01-22,26-171,TOR,HOME,MIA,W (+20),0,2:48,.000,.000,0.0,46.3,22.3,0.0,0.0,0.0,50.0,31.5,0,89,-1.4,-35.2,Matt Thomas
2021-01-24,26-173,TOR,AWAY,IND,W (+5),0,0:53,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,0.0,-8.0,Matt Thomas
2021-01-25,26-174,TOR,AWAY,IND,L (-15),0,2:27,1.389,1.500,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.6,102,138,2.7,23.4,Matt Thomas
2021-01-29,26-178,TOR,HOME,SAC,L (-2),0,11:07,.868,.750,11.1,0.0,5.9,0.0,0.0,0.0,25.8,14.5,138,136,2.9,-4.5,Matt Thomas
2021-01-31,26-180,TOR,HOME,ORL,W (+13),0,2:02,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0,114,-0.7,-28.4,Matt Thomas
2021-02-02,26-182,TOR,AWAY,ORL,W (+15),0,2:37,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,0,121,-1.4,-47.1,Matt Thomas
2021-02-10,26-190,TOR,AWAY,WAS,W (+22),0,2:27,,,0.0,40.0,21.3,40.0,0.0,0.0,,0.0,239,106,0.6,4.3,Matt Thomas
2021-02-11,26-191,TOR,AWAY,BOS,L (-14),0,2:05,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0,132,-0.7,-27.8,Matt Thomas
2021-02-16,26-196,TOR,AWAY,MIL,W (+11),0,5:43,.000,.000,0.0,20.5,9.9,0.0,0.0,0.0,0.0,7.3,0,113,-0.4,-11.6,Matt Thomas
2021-02-18,26-198,TOR,AWAY,MIL,W (+14),0,16:44,.500,.500,0.0,5.7,3.2,8.9,0.0,0.0,0.0,14.8,99,109,2.9,-4.0,Matt Thomas
2021-02-19,26-199,TOR,AWAY,MIN,W (+5),0,7:38,.000,.000,0.0,15.0,6.7,0.0,0.0,0.0,25.0,22.9,0,95,-2.8,-26.7,Matt Thomas
2021-02-21,26-201,TOR,HOME,PHI,W (+7),0,4:20,.500,.500,0.0,24.6,13.2,0.0,0.0,0.0,0.0,21.5,93,109,1.3,-4.4,Matt Thomas
2021-02-23,26-203,TOR,HOME,PHI,L (-7),0,4:17,.000,.000,0.0,53.4,24.4,28.0,0.0,0.0,0.0,10.3,50,106,0.6,-7.6,Matt Thomas
2021-02-24,26-204,TOR,AWAY,MIA,L (-8),0,6:11,,,0.0,0.0,0.0,21.0,0.0,0.0,,0.0,254,137,0.7,-0.4,Matt Thomas
2021-02-26,26-206,TOR,HOME,HOU,W (+11),0,0:31,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,0.0,-8.6,Matt Thomas
2021-03-03,26-211,TOR,HOME,DET,L (-24),0,22:11,.698,.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,134,141,6.5,-3.2,Matt Thomas
2021-03-11,26-219,TOR,HOME,ATL,L (-1),0,0:10,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,125,0.0,-6.4,Matt Thomas
2021-03-13,26-221,TOR,AWAY,CHO,L (-10),0,20:10,.403,.357,8.5,17.0,12.1,0.0,0.0,0.0,11.8,16.8,84,114,3.2,-9.1,Matt Thomas
2021-03-14,26-222,TOR,AWAY,CHI,L (-23),0,9:25,.500,.500,0.0,11.3,5.2,0.0,0.0,0.0,0.0,13.7,92,123,1.6,-4.8,Matt Thomas
2021-03-17,26-225,TOR,AWAY,DET,L (-4),0,12:07,.750,.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,135,131,1.2,-6.4,Matt Thomas
2021-03-24,26-232,TOR,HOME,DEN,W (+24),0,4:54,.750,.750,0.0,18.5,10.8,0.0,0.0,0.0,0.0,36.2,133,116,4.3,13.7,Matt Thomas
2021-03-27,26-235,UTA,HOME,MEM,W (+16),0,6:32,.000,.000,16.7,0.0,7.4,0.0,0.0,0.0,50.0,36.2,13,116,-4.4,-40.9,Matt Thomas
2021-03-29,26-237,UTA,HOME,CLE,W (+39),0,9:15,.625,.625,0.0,39.9,21.8,37.6,5.6,0.0,0.0,19.9,141,67,6.2,17.3,Matt Thomas
2021-04-03,26-242,UTA,HOME,ORL,W (+46),0,14:02,.500,.500,0.0,6.6,3.8,25.2,0.0,0.0,12.5,25.3,107,100,3.9,-7.7,Matt Thomas
2021-04-08,26-247,UTA,HOME,POR,W (+19),0,2:15,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0,114,-0.7,-23.4,Matt Thomas
2021-04-12,26-251,UTA,HOME,WAS,L (-4),0,7:28,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0,129,-1.1,-13.5,Matt Thomas
2021-04-13,26-252,UTA,HOME,OKC,W (+10),0,14:59,.250,.250,0.0,17.5,9.5,0.0,0.0,0.0,0.0,30.0,55,106,-0.3,-18.9,Matt Thomas
2021-04-17,26-256,UTA,AWAY,LAL,L (-12),0,6:33,.000,.000,17.2,0.0,9.1,0.0,0.0,0.0,0.0,20.3,27,128,-1.4,-25.1,Matt Thomas
2021-04-19,26-258,UTA,AWAY,LAL,W (+14),0,2:08,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,200,108,1.3,2.9,Matt Thomas
2021-04-21,26-260,UTA,AWAY,HOU,W (+23),0,6:59,.667,.667,0.0,10.7,6.2,0.0,0.0,0.0,25.0,25.2,83,94,2.0,-5.6,Matt Thomas
2021-04-28,26-267,UTA,AWAY,SAC,W (+49),0,9:15,1.214,1.214,0.0,12.4,7.3,0.0,0.0,0.0,12.5,38.4,179,110,14.2,27.3,Matt Thomas
2021-04-30,26-269,UTA,AWAY,PHO,L (-21),0,8:32,.833,.833,0.0,0.0,0.0,45.0,0.0,0.0,14.3,39.0,122,136,7.1,15.2,Matt Thomas
2021-05-01,26-270,UTA,HOME,TOR,W (+4),0,5:20,1.136,,0.0,17.6,10.2,0.0,0.0,0.0,0.0,11.2,250,109,3.3,10.9,Matt Thomas
2021-05-03,26-272,UTA,HOME,SAS,W (+11),0,1:16,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,0.0,-6.6,Matt Thomas
2021-05-05,26-274,UTA,HOME,SAS,W (+32),0,10:24,.313,.313,14.0,16.8,15.7,11.6,0.0,0.0,0.0,34.1,85,99,1.8,-14.3,Matt Thomas
