DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2007-11-03,23-267,DAL,HOME,SAC,W (+21),0,3:32,1.136,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,250,125,2.0,6.4,Maurice Ager
2007-11-10,23-274,DAL,AWAY,POR,L (-9),0,9:17,.200,.200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,48,106,-1.9,-17.9,Maurice Ager
2007-11-15,23-279,DAL,HOME,SAS,W (+13),1,20:57,.644,.667,0.0,9.7,5.8,20.6,0.0,0.0,20.5,11.3,121,112,3.8,-0.2,Maurice Ager
2007-11-17,23-281,DAL,HOME,MEM,W (+3),1,12:53,.333,.333,8.7,8.7,8.7,0.0,0.0,0.0,0.0,9.8,94,115,0.9,-7.0,Maurice Ager
2007-11-20,23-284,DAL,HOME,TOR,W (+6),1,2:50,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,99,123,0.2,-22.3,Maurice Ager
2007-11-23,23-287,DAL,AWAY,IND,L (-4),0,7:17,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0,123,-3.2,-29.1,Maurice Ager
2007-11-26,23-290,DAL,HOME,WAS,L (-12),0,4:16,.347,.000,0.0,0.0,0.0,0.0,0.0,20.1,0.0,29.8,87,107,1.3,1.1,Maurice Ager
2008-01-06,23-331,DAL,AWAY,MIN,W (+23),0,3:40,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.8,0,103,-1.7,-35.0,Maurice Ager
2008-01-28,23-353,DAL,AWAY,MEM,W (+19),0,1:09,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,101,0.0,-1.0,Maurice Ager
2008-02-03,23-359,DAL,AWAY,DET,L (-23),0,3:11,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,0,116,-1.8,-34.1,Maurice Ager
2008-02-06,23-362,DAL,HOME,MIL,W (+11),0,2:43,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,34.4,0,119,-2.1,-52.2,Maurice Ager
2008-02-08,23-364,DAL,HOME,MEM,W (+11),0,5:06,.000,.000,0.0,0.0,0.0,25.4,0.0,0.0,0.0,39.0,15,100,-2.1,-32.5,Maurice Ager
2008-02-20,24-011,NJN,HOME,CHI,W (+8),0,0:23,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,0.0,-7.3,Maurice Ager
2008-02-22,24-013,NJN,AWAY,IND,L (-10),0,5:38,.200,.200,0.0,0.0,0.0,0.0,0.0,0.0,28.6,53.3,30,128,-3.5,-49.6,Maurice Ager
2008-02-23,24-014,NJN,HOME,IND,W (+11),0,0:27,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,102,0.0,-5.3,Maurice Ager
2008-03-04,24-024,NJN,AWAY,SAS,L (-11),0,0:42,.000,.000,0.0,100.0,72.9,0.0,0.0,0.0,0.0,72.9,0,32,-0.4,-44.1,Maurice Ager
2008-03-07,24-027,NJN,AWAY,NOH,L (-11),0,1:02,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1,0,126,-0.7,-49.0,Maurice Ager
2008-03-18,24-038,NJN,AWAY,CHI,L (-16),0,4:57,.820,.875,0.0,23.7,11.7,0.0,0.0,0.0,0.0,45.6,149,122,6.3,26.9,Maurice Ager
2008-03-24,24-044,NJN,AWAY,NYK,W (+15),0,1:35,1.000,1.000,0.0,0.0,0.0,100.0,0.0,0.0,0.0,30.6,206,106,2.0,32.8,Maurice Ager
2008-04-04,24-055,NJN,AWAY,DET,L (-19),0,16:23,.342,.429,14.3,7.7,11.1,23.2,0.0,0.0,0.0,26.0,87,128,3.8,-4.6,Maurice Ager
2008-04-05,24-056,NJN,HOME,TOR,W (+9),0,6:45,.000,.000,0.0,16.2,8.9,0.0,0.0,0.0,0.0,14.5,0,108,-1.1,-19.6,Maurice Ager
2008-04-09,24-060,NJN,AWAY,CLE,L (-21),0,1:25,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,0,125,-0.7,-34.3,Maurice Ager
2008-04-11,24-062,NJN,AWAY,TOR,L (-28),0,5:09,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0,136,-1.8,-27.3,Maurice Ager
2008-04-12,24-063,NJN,AWAY,MIL,W (+13),0,14:13,1.167,1.167,0.0,10.2,5.4,9.7,0.0,0.0,25.0,13.7,146,113,5.3,1.2,Maurice Ager
2008-04-15,24-066,NJN,HOME,CHA,W (+4),0,11:22,.250,.250,10.1,0.0,5.1,0.0,0.0,0.0,0.0,16.5,67,114,0.3,-14.3,Maurice Ager
