DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2006-11-16,24-022,CHI,AWAY,HOU,L (-1),0,2:41,.266,.000,0.0,0.0,0.0,0.0,0.0,0.0,34.7,49.7,36,117,-1.5,-40.8,Mike Sweetney
2006-11-17,24-023,CHI,AWAY,SAS,L (-17),0,3:13,.500,.500,0.0,40.3,18.9,82.5,0.0,0.0,0.0,28.9,121,107,2.0,18.3,Mike Sweetney
2006-11-24,24-030,CHI,AWAY,PHI,L (-15),0,8:45,.282,.250,16.1,45.7,31.3,15.9,0.0,0.0,27.3,37.4,59,125,-1.1,-24.1,Mike Sweetney
2006-11-25,24-031,CHI,AWAY,NYK,W (+11),0,4:08,.568,,0.0,54.0,25.8,30.6,12.1,0.0,0.0,9.4,143,60,1.7,12.3,Mike Sweetney
2006-12-01,24-037,CHI,AWAY,NOK,W (+3),0,12:29,.595,.600,17.9,35.0,26.5,39.1,0.0,12.8,14.5,23.6,126,97,8.6,13.3,Mike Sweetney
2006-12-02,24-038,CHI,HOME,WAS,W (+18),0,19:00,.486,.400,18.5,5.7,11.9,14.1,0.0,0.0,12.2,20.0,117,108,4.3,-7.2,Mike Sweetney
2006-12-04,24-040,CHI,HOME,BOS,W (+18),0,19:37,.515,.333,0.0,22.2,11.5,14.2,2.6,0.0,20.5,11.0,102,86,4.1,2.0,Mike Sweetney
2006-12-06,24-042,CHI,HOME,PHI,W (+27),0,4:29,,,0.0,27.5,14.9,44.6,0.0,0.0,100.0,10.3,80,103,0.7,10.2,Mike Sweetney
2006-12-08,24-044,CHI,HOME,TOR,W (+3),0,8:58,.475,.400,0.0,24.3,12.7,22.0,0.0,0.0,0.0,33.2,103,102,3.4,-2.0,Mike Sweetney
2006-12-09,24-045,CHI,HOME,MIN,L (-10),0,8:28,.500,.500,25.2,14.2,20.0,0.0,0.0,0.0,33.3,16.7,86,105,1.7,-4.4,Mike Sweetney
2006-12-11,24-047,CHI,HOME,IND,W (+15),0,1:17,,,0.0,100.0,68.0,0.0,0.0,0.0,100.0,39.5,0,98,-0.7,-38.6,Mike Sweetney
2006-12-15,24-051,CHI,HOME,MIL,W (+6),0,5:22,1.064,1.000,18.6,33.1,26.3,0.0,0.0,0.0,34.7,21.1,136,103,3.2,0.6,Mike Sweetney
2006-12-19,24-055,CHI,HOME,LAL,W (+5),0,11:39,.564,.500,34.3,11.4,22.9,0.0,0.0,0.0,9.3,42.5,112,98,6.8,-2.1,Mike Sweetney
2006-12-22,24-058,CHI,AWAY,NYK,L (-11),0,8:40,.500,.500,0.0,36.9,17.9,0.0,12.3,8.1,0.0,10.6,100,73,3.4,8.7,Mike Sweetney
2006-12-23,24-059,CHI,HOME,CHA,W (+39),0,10:28,.000,.000,11.5,40.2,28.4,21.3,0.0,0.0,66.7,12.8,54,71,-0.3,-9.2,Mike Sweetney
2006-12-26,24-062,CHI,AWAY,MIN,L (-2),0,4:54,1.000,1.000,0.0,0.0,0.0,68.0,0.0,0.0,33.3,27.6,123,110,2.3,6.5,Mike Sweetney
2006-12-29,24-065,CHI,AWAY,TOR,W (+10),0,8:43,.820,.750,0.0,34.4,21.2,0.0,0.0,0.0,0.0,26.9,162,97,6.9,9.3,Mike Sweetney
2006-12-30,24-066,CHI,HOME,CLE,W (+7),0,10:11,.773,1.000,20.9,30.1,25.6,15.8,0.0,13.3,0.0,16.5,153,92,7.5,17.5,Mike Sweetney
2007-01-05,24-072,CHI,AWAY,NJN,L (-5),0,8:49,.225,.250,25.3,22.2,23.7,0.0,0.0,0.0,18.4,27.8,55,94,-1.0,-19.7,Mike Sweetney
2007-01-06,24-073,CHI,HOME,DET,W (+17),0,1:43,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,200,110,1.7,21.7,Mike Sweetney
2007-01-08,24-075,CHI,HOME,HOU,L (-7),0,18:28,.474,.500,5.3,27.7,16.2,0.0,0.0,0.0,10.6,24.3,84,93,4.4,-0.8,Mike Sweetney
2007-01-10,24-077,CHI,AWAY,WAS,L (-10),0,8:58,.665,.500,0.0,12.4,6.7,0.0,0.0,7.9,34.7,28.8,86,121,1.0,-13.8,Mike Sweetney
2007-01-13,24-080,CHI,HOME,MEM,W (+45),0,25:02,.553,.500,21.3,22.6,22.0,16.7,3.9,3.1,7.8,21.2,129,63,15.1,7.5,Mike Sweetney
2007-01-15,24-082,CHI,HOME,SAS,W (+12),0,7:44,.000,.000,15.9,12.7,14.1,15.1,0.0,0.0,0.0,6.0,94,99,-0.6,-8.5,Mike Sweetney
2007-01-17,24-084,CHI,AWAY,MIL,W (+9),0,3:29,.820,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,141,104,2.6,10.0,Mike Sweetney
