DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2007-11-07,22-278,UTA,HOME,CLE,W (+2),0,2:31,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,110,-0.8,-18.5,Morris Almond
2007-11-10,22-281,UTA,HOME,MEM,W (+24),0,2:40,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,105,0.0,-4.9,Morris Almond
2007-11-19,22-290,UTA,HOME,NJN,W (+27),0,4:42,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,95,-1.4,-23.9,Morris Almond
2007-11-30,22-301,UTA,HOME,LAL,W (+24),0,1:56,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0,112,-1.1,-38.0,Morris Almond
2008-01-08,22-340,UTA,HOME,IND,W (+22),0,6:34,.200,.200,0.0,0.0,0.0,0.0,6.8,0.0,0.0,31.5,41,77,-0.1,-12.4,Morris Almond
2008-01-10,22-342,UTA,HOME,PHO,W (+22),0,6:58,.266,.000,0.0,0.0,0.0,16.0,0.0,0.0,0.0,11.5,86,105,0.6,-4.8,Morris Almond
2008-03-31,23-058,UTA,HOME,WAS,W (+42),0,8:09,.644,.500,0.0,33.7,18.7,26.7,0.0,0.0,20.5,28.0,138,106,3.9,-1.5,Morris Almond
2008-04-02,23-060,UTA,HOME,MIN,W (+17),0,3:28,.644,.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.4,126,120,2.9,-10.2,Morris Almond
2008-04-04,23-062,UTA,HOME,SAS,W (+26),0,2:14,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,21.9,0,86,-1.0,-27.4,Morris Almond
2008-11-01,23-273,UTA,HOME,LAC,W (+22),0,3:41,.833,.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,154,104,3.7,26.1,Morris Almond
2008-11-03,23-275,UTA,AWAY,LAC,W (+16),0,0:53,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,98,0.0,-6.9,Morris Almond
2008-11-15,23-287,UTA,AWAY,CLE,L (-12),0,21:21,.518,.400,12.5,11.0,11.7,7.9,0.0,4.5,22.8,19.8,98,125,3.3,-6.9,Morris Almond
2008-11-19,23-291,UTA,HOME,MIL,W (+11),0,6:07,,,0.0,18.2,10.1,0.0,0.0,0.0,,0.0,0,108,0.3,-5.9,Morris Almond
2008-11-21,23-293,UTA,AWAY,SAS,L (-25),0,16:32,.699,.667,9.4,0.0,4.0,0.0,0.0,0.0,0.0,18.8,144,142,6.7,-1.6,Morris Almond
2008-11-22,23-294,UTA,AWAY,MEM,W (+9),0,14:59,.637,.500,0.0,37.7,19.7,0.0,3.6,0.0,0.0,27.7,139,100,8.6,-0.6,Morris Almond
2008-11-24,23-296,UTA,HOME,CHI,L (-1),0,13:45,.400,.400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,90,121,1.3,-11.2,Morris Almond
