DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2014-10-29,20-202,PHI,AWAY,IND,L (-12),1,34:53,.220,.182,10.8,20.1,15.0,0.0,0.0,7.4,12.8,19.0,55,109,0.6,-13.4,Nerlens Noel
2014-10-31,20-204,PHI,AWAY,MIL,L (-12),1,35:07,.636,.636,2.6,27.3,14.1,12.2,1.4,6.4,0.0,13.5,132,89,15.8,7.5,Nerlens Noel
2014-11-01,20-205,PHI,HOME,MIA,L (-18),1,25:23,.250,.250,0.0,22.5,13.1,17.1,1.9,3.2,42.9,12.9,50,114,1.5,-8.7,Nerlens Noel
2014-11-03,20-207,PHI,HOME,HOU,L (-11),1,29:52,.625,.625,0.0,4.2,2.1,32.2,10.4,3.9,27.3,17.5,102,97,12.7,9.1,Nerlens Noel
2014-11-05,20-209,PHI,HOME,ORL,L (-2),1,17:01,.500,.500,6.6,6.1,6.3,30.9,0.0,4.1,42.9,18.4,75,98,2.8,-5.0,Nerlens Noel
2014-11-13,20-217,PHI,AWAY,DAL,L (-53),0,28:35,.259,.286,11.2,13.6,12.1,0.0,5.1,3.5,34.2,20.7,43,115,0.5,-10.2,Nerlens Noel
2014-11-14,20-218,PHI,AWAY,HOU,L (-1),0,23:18,.481,.429,4.3,22.9,13.3,0.0,0.0,4.7,32.5,22.9,68,90,0.8,-11.3,Nerlens Noel
2014-11-17,20-221,PHI,AWAY,SAS,L (-25),0,25:10,.250,.250,3.7,23.8,12.6,0.0,1.9,3.5,0.0,14.3,56,99,1.5,-8.4,Nerlens Noel
2014-11-19,20-223,PHI,HOME,BOS,L (-11),1,34:10,.500,.500,3.1,23.4,12.8,15.6,2.8,2.2,0.0,12.7,112,98,11.8,3.1,Nerlens Noel
2014-11-21,20-225,PHI,HOME,PHO,L (-26),1,27:44,.469,1.000,0.0,21.6,10.2,10.1,0.0,0.0,38.5,8.2,65,129,0.4,-10.0,Nerlens Noel
2014-11-22,20-226,PHI,AWAY,NYK,L (-8),1,38:42,.552,.545,8.5,34.9,19.6,11.0,1.4,2.5,11.5,20.8,109,99,15.6,5.3,Nerlens Noel
2014-11-24,20-228,PHI,HOME,POR,L (-10),0,32:53,.857,.857,3.6,14.6,9.0,13.2,4.7,4.7,0.0,9.8,172,115,16.7,8.1,Nerlens Noel
2014-11-26,20-230,PHI,HOME,BRK,L (-8),1,36:30,.615,.500,2.7,15.9,8.0,0.0,4.0,2.8,29.1,8.0,91,95,6.8,-2.9,Nerlens Noel
2014-11-29,20-233,PHI,HOME,DAL,L (-7),1,37:12,.500,.500,7.9,16.8,12.2,0.0,1.3,2.2,16.7,12.6,96,113,7.4,-4.7,Nerlens Noel
2014-12-03,20-237,PHI,AWAY,MIN,W (+8),1,25:28,.500,.500,0.0,12.0,5.7,0.0,3.9,2.8,11.1,15.3,89,79,5.0,-2.1,Nerlens Noel
2014-12-05,20-239,PHI,HOME,OKC,L (-12),1,34:22,.511,.444,15.8,18.0,16.6,10.6,3.0,2.9,27.1,18.1,92,109,9.4,-4.1,Nerlens Noel
2014-12-06,20-240,PHI,AWAY,DET,W (+7),1,37:13,.514,.429,6.1,16.1,11.4,8.0,1.3,2.2,25.5,14.2,91,97,7.0,-5.2,Nerlens Noel
2014-12-10,20-244,PHI,AWAY,ATL,L (-16),1,33:44,.457,.429,0.0,14.8,7.8,16.6,0.0,7.0,18.6,15.4,83,106,6.0,-3.2,Nerlens Noel
2014-12-12,20-246,PHI,AWAY,BRK,L (-18),1,21:29,.000,.000,20.3,11.2,16.0,0.0,2.5,3.7,38.5,28.8,14,98,-7.1,-28.5,Nerlens Noel
2014-12-13,20-247,PHI,HOME,MEM,L (-5),1,30:33,.347,.250,0.0,19.7,10.0,4.5,6.7,5.2,34.2,13.5,53,101,3.8,-4.5,Nerlens Noel
2014-12-15,20-249,PHI,HOME,BOS,L (-18),1,29:16,.764,.750,9.5,17.1,13.1,36.0,4.7,5.4,19.4,20.4,126,92,20.4,14.8,Nerlens Noel
2014-12-19,20-253,PHI,HOME,CHO,L (-18),1,30:50,.429,.429,5.2,24.9,17.5,17.1,4.7,6.3,22.2,13.7,83,96,10.2,2.3,Nerlens Noel
2014-12-21,20-255,PHI,AWAY,ORL,W (+8),1,32:18,.454,.385,13.2,23.8,18.8,5.4,1.6,2.4,17.3,23.0,92,91,9.7,-3.1,Nerlens Noel
2014-12-23,20-257,PHI,AWAY,MIA,W (+4),1,28:56,.074,.000,21.3,19.7,20.5,10.1,0.0,6.1,30.7,15.4,47,101,0.7,-12.3,Nerlens Noel
2014-12-26,20-260,PHI,AWAY,POR,L (-21),1,28:18,.405,.444,3.5,24.2,13.2,11.6,6.6,7.5,9.2,16.3,84,97,10.4,3.1,Nerlens Noel
2014-12-27,20-261,PHI,AWAY,UTA,L (-17),1,31:35,.460,.400,3.0,28.5,15.4,14.5,1.7,0.0,15.5,9.6,93,92,6.7,-0.4,Nerlens Noel
