DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2019-10-25,25-039,UTA,AWAY,LAL,L (-9),0,0:28,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108,0.0,-3.7,Nigel Williams-Goss
2019-10-26,25-040,UTA,HOME,SAC,W (+32),0,4:42,.000,.000,0.0,0.0,0.0,23.2,0.0,0.0,0.0,9.8,65,89,-0.4,-10.2,Nigel Williams-Goss
2019-10-30,25-044,UTA,HOME,LAC,W (+14),0,1:22,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,34.8,0,108,-1.0,-40.5,Nigel Williams-Goss
2019-11-11,25-056,UTA,AWAY,GSW,W (+14),0,1:51,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,0,113,-0.7,-31.4,Nigel Williams-Goss
2019-12-01,25-076,UTA,AWAY,TOR,L (-20),0,6:34,.347,.000,14.3,17.0,15.6,0.0,0.0,0.0,0.0,17.4,102,128,1.6,-6.7,Nigel Williams-Goss
2019-12-04,25-079,UTA,HOME,LAL,L (-25),0,3:51,.000,.000,0.0,0.0,0.0,36.7,0.0,20.4,0.0,11.4,54,111,0.7,7.4,Nigel Williams-Goss
2019-12-09,25-084,UTA,HOME,OKC,L (-14),0,2:45,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108,0.0,-6.8,Nigel Williams-Goss
2019-12-30,25-105,UTA,HOME,DET,W (+23),0,2:28,,,46.3,41.4,43.7,99.8,20.6,0.0,100.0,18.4,102,39,2.4,44.0,Nigel Williams-Goss
2020-01-08,25-114,UTA,HOME,NYK,W (+24),0,3:36,.500,.500,0.0,25.6,14.7,37.4,0.0,0.0,0.0,24.9,130,111,1.6,-6.8,Nigel Williams-Goss
2020-08-13,25-332,UTA,HOME,SAS,W (+6),0,22:11,.556,.556,0.0,5.4,2.5,5.6,4.4,0.0,10.0,19.1,104,110,5.7,-3.7,Nigel Williams-Goss
