DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2022-10-19,22-182,UTA,HOME,DEN,W (+21),0,0:55,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,109,0.0,-3.3,Ochai Agbaji
2022-10-28,22-191,UTA,AWAY,DEN,L (-16),0,19:00,.571,.571,0.0,5.4,2.6,0.0,0.0,0.0,0.0,18.4,110,131,4.8,-6.6,Ochai Agbaji
2022-10-29,22-192,UTA,HOME,MEM,W (+1),0,17:45,.427,.333,20.3,8.0,14.6,6.8,0.0,0.0,0.0,19.3,118,127,5.9,-7.4,Ochai Agbaji
2022-10-31,22-194,UTA,HOME,MEM,W (+16),0,21:09,.333,.333,5.0,8.3,6.8,0.0,0.0,0.0,0.0,12.0,82,108,0.7,-11.2,Ochai Agbaji
2022-11-04,22-198,UTA,AWAY,LAL,W (+14),0,1:17,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,129,0.0,-8.1,Ochai Agbaji
2022-11-07,22-201,UTA,HOME,LAL,W (+23),0,6:29,,,0.0,39.0,20.0,0.0,0.0,0.0,,0.0,0,115,0.2,-7.0,Ochai Agbaji
2022-11-30,22-224,UTA,HOME,LAC,W (+13),0,1:51,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,125,-0.4,-15.0,Ochai Agbaji
2022-12-02,22-226,UTA,HOME,IND,W (+20),0,3:29,1.250,1.250,0.0,0.0,0.0,0.0,12.2,0.0,0.0,22.4,250,85,5.0,39.2,Ochai Agbaji
2022-12-07,22-231,UTA,HOME,GSW,W (+1),0,0:24,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,129,0.0,-7.0,Ochai Agbaji
2022-12-09,22-233,UTA,HOME,MIN,L (-10),0,12:00,1.250,1.250,8.0,23.5,14.3,0.0,0.0,0.0,0.0,7.2,245,123,5.3,6.0,Ochai Agbaji
2022-12-10,22-234,UTA,AWAY,DEN,L (-5),0,19:36,.375,.375,5.7,6.4,6.0,0.0,0.0,0.0,0.0,18.3,88,128,1.4,-10.6,Ochai Agbaji
2022-12-13,22-237,UTA,HOME,NOP,W (+21),0,3:50,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0,103,-1.1,-19.1,Ochai Agbaji
2022-12-17,22-241,UTA,AWAY,MIL,L (-26),0,7:21,.340,.400,0.0,17.7,7.9,25.2,0.0,0.0,0.0,37.4,75,135,1.5,-13.1,Ochai Agbaji
2022-12-19,22-243,UTA,AWAY,CLE,L (-23),0,6:15,.000,.000,0.0,0.0,0.0,21.3,0.0,0.0,0.0,13.1,29,131,-1.1,-15.7,Ochai Agbaji
2022-12-20,22-244,UTA,AWAY,DET,W (+15),0,2:39,.750,.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,137,122,2.0,12.8,Ochai Agbaji
2022-12-22,22-246,UTA,HOME,WAS,W (+8),0,2:46,.000,.000,0.0,49.6,22.5,0.0,0.0,0.0,0.0,16.3,0,119,-0.4,-19.8,Ochai Agbaji
2023-01-03,22-258,UTA,HOME,SAC,L (-2),0,7:05,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,17.4,0,122,-2.4,-23.7,Ochai Agbaji
2023-01-05,22-260,UTA,AWAY,HOU,W (+17),0,17:40,1.100,1.100,0.0,5.8,3.0,0.0,0.0,0.0,0.0,12.3,195,125,7.8,2.9,Ochai Agbaji
2023-01-07,22-262,UTA,AWAY,CHI,L (-8),0,21:09,1.277,1.286,5.2,0.0,2.7,7.5,0.0,0.0,0.0,15.2,250,132,17.5,17.9,Ochai Agbaji
2023-01-08,22-263,UTA,AWAY,MEM,L (-5),0,21:19,.000,.000,6.6,8.8,7.9,0.0,0.0,0.0,33.3,5.7,26,124,-1.1,-11.3,Ochai Agbaji
2023-01-10,22-265,UTA,HOME,CLE,W (+2),0,17:57,.250,.250,5.9,17.4,11.8,15.1,0.0,0.0,0.0,9.0,96,119,1.4,-5.5,Ochai Agbaji
2023-01-13,22-268,UTA,HOME,ORL,W (+4),0,25:59,.375,.375,8.0,10.5,9.3,10.8,0.0,6.2,0.0,5.9,129,107,5.3,2.0,Ochai Agbaji
2023-01-14,22-269,UTA,HOME,PHI,L (-1),0,20:41,.387,.333,0.0,4.9,2.7,5.7,2.4,0.0,20.5,10.3,75,123,0.7,-8.1,Ochai Agbaji
