DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2001-10-30,27-272,NYK,HOME,WAS,W (+2),0,31:17,.521,.500,10.8,33.2,21.9,0.0,1.7,0.0,18.8,15.5,97,95,6.6,-3.2,Othella Harrington
2001-11-02,27-275,NYK,AWAY,CHH,L (-4),0,25:10,.543,.429,4.2,0.0,2.5,14.6,2.2,6.4,30.3,23.5,86,112,5.6,-2.6,Othella Harrington
2001-11-03,27-276,NYK,AWAY,CHI,L (-5),0,23:17,.546,.500,8.9,22.0,14.7,0.0,0.0,0.0,21.5,18.2,90,93,3.2,-6.9,Othella Harrington
2001-11-06,27-279,NYK,AWAY,MIN,L (-10),0,26:01,.524,.545,0.0,23.1,12.0,0.0,0.0,0.0,8.0,23.4,92,121,5.6,-6.4,Othella Harrington
2001-11-07,27-280,NYK,HOME,CLE,W (+18),0,26:50,.635,.714,5.1,20.1,14.1,16.8,0.0,0.0,20.2,19.0,99,73,6.6,1.0,Othella Harrington
2001-11-09,27-282,NYK,AWAY,IND,L (-8),0,22:02,.429,.429,0.0,23.0,10.1,0.0,0.0,0.0,0.0,14.4,86,116,1.9,-10.0,Othella Harrington
2001-11-10,27-283,NYK,HOME,GSW,L (-19),0,14:07,.250,.250,6.7,0.0,3.8,0.0,0.0,0.0,20.0,17.3,49,113,-2.3,-20.0,Othella Harrington
2001-11-13,27-286,NYK,HOME,POR,W (+7),0,20:15,.515,.333,5.5,0.0,2.4,0.0,2.8,3.6,0.0,9.4,124,97,3.1,-0.3,Othella Harrington
2001-11-15,27-288,NYK,HOME,MIA,W (+9),0,26:44,.970,1.000,4.8,8.7,6.8,6.7,6.2,0.0,0.0,8.6,205,79,12.6,13.3,Othella Harrington
2001-11-16,27-289,NYK,AWAY,NJN,L (-26),0,18:49,.532,.000,6.6,0.0,3.6,8.1,2.8,3.7,51.5,9.7,73,119,0.8,-7.8,Othella Harrington
2001-11-18,27-291,NYK,AWAY,LAC,L (-13),0,18:16,.595,.600,6.7,20.0,13.3,0.0,0.0,0.0,33.8,22.8,75,114,0.9,-12.1,Othella Harrington
2001-11-20,27-293,NYK,AWAY,GSW,W (+24),0,27:08,.678,.667,11.1,10.7,10.8,0.0,2.0,2.5,16.2,21.8,113,81,11.3,1.9,Othella Harrington
2001-11-21,27-294,NYK,AWAY,PHO,L (-24),1,23:17,.820,.750,13.3,19.0,15.7,10.1,0.0,3.1,17.0,11.7,144,111,7.8,1.8,Othella Harrington
2001-11-24,27-297,NYK,HOME,CHI,W (+7),0,32:39,.731,.727,11.5,6.5,8.8,14.3,1.7,2.6,0.0,18.0,157,86,16.5,11.8,Othella Harrington
2001-11-26,27-299,NYK,HOME,ATL,W (+5),0,19:23,.600,.600,23.0,6.6,14.2,0.0,0.0,0.0,28.6,19.0,98,111,1.7,-12.0,Othella Harrington
2001-11-28,27-301,NYK,AWAY,ATL,W (+5),0,21:35,.926,1.000,6.2,16.4,11.6,0.0,0.0,0.0,18.8,11.3,146,115,6.1,-1.3,Othella Harrington
2001-12-01,27-304,NYK,HOME,DET,L (-3),0,16:13,.410,.333,25.5,31.6,28.2,9.7,0.0,6.1,21.5,25.1,91,108,4.0,-5.8,Othella Harrington
2001-12-03,27-306,NYK,HOME,HOU,W (+3),0,27:41,.875,.875,5.0,21.4,13.9,6.6,0.0,2.7,0.0,14.8,176,103,14.4,10.3,Othella Harrington
