DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2000-10-31,22-120,PHO,AWAY,GSW,L (-2),0,8:52,.250,.250,30.8,0.0,16.2,17.4,5.3,0.0,0.0,18.4,92,95,3.4,4.3,Paul McPherson
2000-11-02,22-122,PHO,HOME,POR,W (+26),0,8:05,1.000,1.000,15.8,0.0,8.3,0.0,0.0,0.0,33.3,17.0,115,103,2.7,-0.3,Paul McPherson
2000-11-04,22-124,PHO,AWAY,DEN,W (+3),0,10:01,.667,.667,0.0,22.9,12.8,35.0,4.9,0.0,0.0,12.7,154,92,5.3,13.7,Paul McPherson
2000-11-05,22-125,PHO,HOME,HOU,W (+5),0,3:59,.000,.000,0.0,30.0,16.0,0.0,0.0,0.0,0.0,11.8,0,112,-0.4,-16.1,Paul McPherson
2000-11-07,22-127,PHO,HOME,SAS,W (+19),0,8:07,.400,.400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,82,98,0.5,-14.2,Paul McPherson
2000-11-09,22-129,PHO,HOME,ATL,W (+9),0,0:44,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,42.0,0,97,-1.0,-75.4,Paul McPherson
2000-11-15,22-135,PHO,HOME,DAL,W (+21),0,15:04,.551,.600,8.6,23.4,16.4,19.2,0.0,0.0,0.0,15.4,129,87,5.9,6.0,Paul McPherson
2000-11-17,22-137,PHO,HOME,NYK,L (-5),0,2:38,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,98,-0.4,-8.3,Paul McPherson
2000-11-18,22-138,PHO,AWAY,HOU,L (-5),0,2:27,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,113,0.0,-5.3,Paul McPherson
2000-11-22,22-142,PHO,HOME,NJN,W (+12),0,11:00,1.042,1.000,10.9,22.4,16.6,0.0,9.2,0.0,25.8,16.1,147,75,7.3,14.5,Paul McPherson
2000-11-24,22-144,PHO,HOME,GSW,W (+6),0,3:50,.000,.000,0.0,24.0,11.4,0.0,0.0,0.0,50.0,20.9,0,82,-1.4,-26.6,Paul McPherson
2000-11-29,22-149,PHO,AWAY,VAN,L (-3),0,18:42,.714,.714,5.7,12.7,9.0,0.0,10.9,0.0,0.0,17.0,143,82,11.6,16.5,Paul McPherson
2000-12-01,22-151,PHO,AWAY,SAC,L (-7),0,12:00,.615,.500,0.0,10.3,4.3,11.8,0.0,5.7,0.0,8.3,144,106,2.5,0.9,Paul McPherson
2000-12-03,22-153,PHO,HOME,POR,W (+5),0,5:51,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.1,0,98,-1.4,-19.2,Paul McPherson
