DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2008-10-29,31-142,NOH,AWAY,GSW,W (+5),1,35:10,.627,.591,3.8,3.0,3.4,12.5,1.4,0.0,7.3,17.6,127,113,12.6,1.5,Peja Stojakovic
2008-10-30,31-143,NOH,AWAY,PHO,W (+13),1,30:30,.678,.654,7.7,21.0,13.3,6.1,0.0,0.0,0.0,23.2,147,110,16.6,6.6,Peja Stojakovic
2008-11-05,31-149,NOH,HOME,ATL,L (-8),1,37:21,.308,.308,0.0,19.3,9.6,19.7,1.6,0.0,13.3,21.0,65,106,3.3,-7.3,Peja Stojakovic
2008-11-07,31-151,NOH,AWAY,CHA,L (-3),1,31:42,.625,.625,4.0,25.2,14.3,7.1,0.0,0.0,5.9,25.4,120,113,13.4,7.4,Peja Stojakovic
2008-11-08,31-152,NOH,HOME,MIA,W (+11),1,32:09,.500,.500,3.6,3.6,3.6,5.3,0.0,0.0,7.7,19.7,101,114,5.5,-3.0,Peja Stojakovic
2008-11-12,31-156,NOH,HOME,LAL,L (-7),1,32:23,.360,.308,0.0,6.7,3.6,5.0,0.0,0.0,6.7,21.9,75,111,1.2,-6.4,Peja Stojakovic
2008-11-14,31-158,NOH,HOME,POR,W (+5),1,30:56,.474,.438,7.4,8.6,8.0,0.0,0.0,0.0,0.0,14.5,113,111,5.2,-2.6,Peja Stojakovic
2008-11-15,31-159,NOH,AWAY,HOU,L (-9),1,24:19,.300,.300,4.7,5.8,5.2,6.8,2.4,0.0,16.7,12.8,67,116,0.4,-8.3,Peja Stojakovic
2008-11-19,31-163,NOH,HOME,SAC,L (-9),1,27:48,.438,.438,5.1,10.8,7.8,5.0,0.0,0.0,11.1,15.8,97,131,3.2,-10.2,Peja Stojakovic
2008-11-21,31-165,NOH,AWAY,OKC,W (+25),1,24:56,.464,.464,4.6,0.0,2.3,12.7,5.8,0.0,0.0,25.7,97,81,9.9,5.6,Peja Stojakovic
2008-11-22,31-166,NOH,HOME,OKC,W (+12),1,34:36,.429,.429,0.0,4.1,2.2,0.0,0.0,0.0,12.5,23.0,77,120,1.3,-15.1,Peja Stojakovic
2008-11-24,31-168,NOH,AWAY,LAC,W (+12),1,30:23,.505,.458,0.0,27.9,16.7,4.9,1.8,0.0,13.4,22.8,95,90,9.0,-0.3,Peja Stojakovic
2008-11-27,31-171,NOH,AWAY,DEN,W (+4),1,33:31,.690,.636,3.9,8.7,6.1,16.6,1.6,0.0,14.0,20.4,131,118,12.9,5.1,Peja Stojakovic
2008-11-28,31-172,NOH,AWAY,POR,L (-15),1,31:08,.706,.679,4.2,9.3,6.6,6.8,3.7,0.0,0.0,24.6,147,120,18.0,15.4,Peja Stojakovic
2008-12-03,31-177,NOH,HOME,PHO,W (+13),1,35:23,.693,.656,7.3,13.9,10.7,0.0,0.0,0.0,5.5,24.5,150,116,17.2,6.1,Peja Stojakovic
2008-12-06,31-180,NOH,HOME,MEM,W (+19),1,27:10,.850,.850,0.0,4.1,2.4,6.4,0.0,0.0,0.0,22.2,167,106,15.6,12.6,Peja Stojakovic
2008-12-10,31-184,NOH,HOME,CHA,W (+16),1,26:47,.773,.773,9.2,3.8,6.3,6.1,0.0,0.0,8.3,20.8,143,112,13.1,6.7,Peja Stojakovic
2008-12-12,31-186,NOH,AWAY,BOS,L (-12),1,29:43,.167,.167,0.0,3.9,1.8,6.1,5.5,0.0,14.3,10.9,37,104,0.4,-5.5,Peja Stojakovic
2008-12-14,31-188,NOH,AWAY,TOR,W (+8),1,37:35,.385,.385,3.9,9.6,7.0,4.1,0.0,0.0,7.1,19.6,81,113,3.4,-8.7,Peja Stojakovic
2008-12-16,31-190,NOH,AWAY,MEM,W (+7),1,32:45,.514,.429,0.0,8.6,4.3,12.7,0.0,0.0,18.6,16.8,90,105,3.7,-5.1,Peja Stojakovic
2008-12-28,31-202,NOH,AWAY,IND,W (+2),1,37:00,.500,.500,8.5,17.5,12.5,4.0,4.1,0.0,7.7,16.3,105,108,11.1,0.2,Peja Stojakovic
2008-12-30,31-204,NOH,HOME,WAS,W (+12),1,30:50,.321,.321,4.3,7.6,6.1,29.1,0.0,0.0,6.7,25.8,83,109,4.6,-7.7,Peja Stojakovic
2009-01-02,31-207,NOH,AWAY,POR,W (+15),1,36:18,.636,.636,0.0,0.0,0.0,0.0,0.0,0.0,8.3,17.4,122,108,6.9,1.1,Peja Stojakovic
2009-01-03,31-208,NOH,AWAY,DEN,L (-5),1,40:02,.638,.643,0.0,21.2,10.7,8.4,0.0,2.1,6.3,18.7,122,119,12.5,2.6,Peja Stojakovic
2009-01-06,31-211,NOH,AWAY,LAL,W (+11),1,32:11,.318,.278,0.0,21.3,12.6,4.1,0.0,0.0,0.0,13.8,75,113,2.9,-5.5,Peja Stojakovic
2009-01-07,31-212,NOH,AWAY,UTA,L (-26),1,28:01,.389,.389,0.0,8.8,4.2,6.4,0.0,0.0,0.0,16.5,79,134,2.0,-9.3,Peja Stojakovic
2009-01-09,31-214,NOH,HOME,LAC,W (+27),1,30:39,.530,.450,0.0,17.9,8.6,9.3,0.0,0.0,0.0,18.5,120,100,8.0,-4.7,Peja Stojakovic
2009-01-12,31-217,NOH,HOME,NYK,L (-6),1,34:36,.333,.333,2.7,15.1,8.6,19.2,1.6,2.2,0.0,15.5,99,113,6.3,-0.9,Peja Stojakovic
2009-01-14,31-219,NOH,AWAY,DAL,W (+7),1,35:16,.571,.571,0.0,4.3,1.9,0.0,0.0,0.0,0.0,19.3,115,120,8.9,-3.7,Peja Stojakovic
2009-01-16,31-221,NOH,AWAY,CLE,L (-14),1,39:44,.558,.538,2.8,15.5,8.8,0.0,0.0,0.0,0.0,17.6,117,116,9.7,3.4,Peja Stojakovic
2009-01-17,31-222,NOH,AWAY,DET,W (+6),1,37:09,.402,.375,3.6,14.0,9.5,0.0,1.7,0.0,0.0,18.5,89,108,4.8,-6.8,Peja Stojakovic
2009-01-19,31-224,NOH,HOME,IND,W (+3),1,39:18,.781,.750,3.5,9.2,6.5,11.0,1.3,0.0,5.7,21.8,146,112,21.2,9.9,Peja Stojakovic
2009-01-21,31-226,NOH,HOME,NJN,W (+10),1,39:01,.625,.625,3.3,26.4,15.6,8.2,1.4,2.1,0.0,20.0,133,103,18.5,7.1,Peja Stojakovic
2009-01-23,31-228,NOH,AWAY,MIN,L (-8),1,39:13,.551,.533,0.0,7.4,3.6,3.7,0.0,0.0,6.1,21.5,106,142,9.6,-7.0,Peja Stojakovic
2009-01-26,31-231,NOH,HOME,PHI,W (+15),1,41:17,.722,.722,3.0,11.6,6.7,0.0,2.7,0.0,14.3,24.6,118,103,16.4,4.4,Peja Stojakovic
2009-01-28,31-233,NOH,HOME,DEN,W (+13),1,40:56,.802,.786,0.0,16.3,8.3,15.8,1.3,0.0,11.0,22.2,139,94,22.0,10.2,Peja Stojakovic
2009-01-30,31-235,NOH,HOME,GSW,L (-4),1,36:24,.431,.318,0.0,11.5,5.6,5.5,0.0,0.0,13.6,18.3,83,103,2.0,-9.4,Peja Stojakovic
2009-01-31,31-236,NOH,AWAY,SAS,L (-13),1,31:30,.333,.333,0.0,26.1,12.7,4.1,1.7,0.0,14.3,10.7,69,117,2.7,-5.1,Peja Stojakovic
