DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2012-12-15,22-055,MIN,HOME,DAL,W (+8),0,18:02,.532,.250,6.3,21.0,13.2,69.5,8.7,0.0,21.0,22.5,122,92,12.9,15.6,Ricky Rubio
2012-12-17,22-057,MIN,AWAY,ORL,L (-9),0,16:28,.000,.000,11.4,0.0,6.9,29.9,3.0,0.0,50.0,14.8,44,105,-0.7,-12.7,Ricky Rubio
2012-12-20,22-060,MIN,HOME,OKC,W (+6),0,18:13,.000,.000,0.0,18.0,9.0,21.4,2.8,0.0,40.0,12.1,33,96,-0.1,-10.5,Ricky Rubio
2012-12-23,22-063,MIN,AWAY,NYK,L (-3),0,17:36,.363,.333,0.0,7.2,3.3,19.1,0.0,0.0,42.1,30.0,49,106,-3.7,-22.3,Ricky Rubio
2012-12-26,22-066,MIN,HOME,HOU,L (-3),0,21:23,.592,.400,0.0,0.0,0.0,16.3,2.4,0.0,0.0,14.4,136,97,6.5,-0.2,Ricky Rubio
2012-12-29,22-069,MIN,HOME,PHO,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Ricky Rubio
2013-01-02,22-073,MIN,AWAY,UTA,L (-22),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Ricky Rubio
2013-01-03,22-074,MIN,AWAY,DEN,W (+4),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Ricky Rubio
2013-01-05,22-076,MIN,HOME,POR,L (-5),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Ricky Rubio
2013-01-08,22-079,MIN,HOME,ATL,W (+5),0,18:31,.758,,0.0,6.5,3.0,51.8,11.4,0.0,43.1,11.2,127,94,9.5,10.9,Ricky Rubio
2013-01-09,22-080,MIN,AWAY,OKC,L (-22),0,21:57,.000,.000,0.0,11.8,5.7,49.4,0.0,0.0,40.0,10.8,57,127,1.0,-10.7,Ricky Rubio
2013-01-11,22-082,MIN,AWAY,NOH,L (-12),0,21:32,.387,.333,0.0,0.0,0.0,23.2,2.5,0.0,50.8,18.0,52,122,-0.4,-15.0,Ricky Rubio
2013-01-13,22-084,MIN,AWAY,SAS,L (-18),0,22:04,.258,.000,0.0,0.0,0.0,13.2,7.0,0.0,20.5,18.9,56,108,2.2,-7.7,Ricky Rubio
2013-01-14,22-085,MIN,AWAY,DAL,L (-15),0,26:05,.773,.667,11.3,12.3,11.6,35.3,0.0,0.0,34.0,9.6,134,131,8.8,0.3,Ricky Rubio
2013-01-17,22-088,MIN,HOME,LAC,L (-13),1,27:25,.222,.222,3.5,9.0,5.9,39.6,1.9,0.0,18.2,18.0,63,102,3.0,-6.1,Ricky Rubio
