DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2008-11-21,33-001,NOH,AWAY,OKC,W (+25),0,8:11,.667,.667,0.0,42.9,21.2,0.0,5.9,0.0,0.0,16.8,123,68,4.2,7.3,Ryan Bowen
2008-12-25,33-035,NOH,AWAY,ORL,L (-20),0,10:17,.500,.500,9.7,21.2,15.2,0.0,5.7,0.0,0.0,9.5,117,95,3.3,7.3,Ryan Bowen
2009-01-23,33-064,NOH,AWAY,MIN,L (-8),0,15:44,.581,.667,0.0,0.0,0.0,0.0,7.2,0.0,22.5,14.5,81,128,1.7,-7.4,Ryan Bowen
2009-01-26,33-067,NOH,HOME,PHI,W (+15),0,7:27,.000,.000,16.5,0.0,9.3,56.8,0.0,0.0,0.0,6.5,146,110,1.3,2.0,Ryan Bowen
2009-01-28,33-069,NOH,HOME,DEN,W (+13),0,7:04,1.000,1.000,0.0,0.0,0.0,0.0,7.6,0.0,0.0,14.2,200,84,4.0,15.3,Ryan Bowen
2009-02-04,33-076,NOH,HOME,CHI,L (-14),0,17:29,.750,.750,12.5,8.9,11.0,0.0,3.1,0.0,0.0,10.0,160,120,5.5,0.0,Ryan Bowen
2009-02-06,33-078,NOH,HOME,TOR,W (+9),1,16:11,.387,.333,16.9,0.0,8.5,0.0,7.0,0.0,20.5,15.2,87,101,1.7,-8.6,Ryan Bowen
2009-02-08,33-080,NOH,HOME,MIN,W (+4),1,12:39,.667,.667,0.0,0.0,0.0,14.9,0.0,6.7,0.0,12.2,136,118,2.1,-4.4,Ryan Bowen
2009-02-09,33-081,NOH,AWAY,MEM,L (-5),1,16:29,.000,.000,0.0,13.2,5.7,11.2,3.4,9.4,0.0,2.8,39,92,1.8,-0.9,Ryan Bowen
2009-02-11,33-083,NOH,HOME,BOS,L (-12),0,11:28,,,0.0,10.7,5.6,0.0,0.0,6.4,100.0,8.8,0,103,-2.6,-14.4,Ryan Bowen
