DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2010-10-29,21-293,CLE,AWAY,TOR,L (-20),0,7:05,.643,.600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,126,116,4.7,9.4,Samardo Samuels
2010-12-04,21-329,CLE,AWAY,MIN,L (-34),0,8:00,.714,.500,24.5,0.0,16.0,0.0,6.2,10.9,19.2,29.2,131,118,6.3,7.0,Samardo Samuels
2010-12-17,21-342,CLE,AWAY,IND,L (-9),0,2:15,,,0.0,52.0,24.5,0.0,0.0,0.0,,0.0,0,102,0.3,-2.0,Samardo Samuels
2010-12-20,21-345,CLE,HOME,UTA,L (-11),0,0:38,,,0.0,100.0,97.2,0.0,0.0,0.0,,0.0,0,63,0.3,5.6,Samardo Samuels
2011-01-07,21-363,CLE,AWAY,GSW,L (-18),0,8:26,.727,.667,13.9,0.0,7.0,0.0,5.9,0.0,0.0,18.0,153,118,5.4,6.4,Samardo Samuels
2011-01-09,22-000,CLE,AWAY,PHO,L (-8),0,19:52,.333,.333,16.4,28.8,21.5,0.0,0.0,0.0,25.0,8.1,88,110,3.6,-8.5,Samardo Samuels
2011-01-11,22-002,CLE,AWAY,LAL,L (-55),0,32:54,.116,.083,2.7,17.8,9.2,0.0,1.6,2.2,23.7,23.9,22,124,-7.1,-21.1,Samardo Samuels
2011-01-14,22-005,CLE,AWAY,UTA,L (-22),0,21:07,.602,.750,21.6,6.1,14.4,0.0,2.4,6.5,13.1,15.8,114,124,7.7,-2.9,Samardo Samuels
2011-01-15,22-006,CLE,AWAY,DEN,L (-28),0,28:16,.714,.714,8.5,23.6,14.2,0.0,0.0,0.0,22.2,12.3,111,127,7.9,-6.5,Samardo Samuels
2011-01-19,22-010,CLE,HOME,PHO,L (-8),0,19:26,.500,.500,5.3,19.0,11.5,0.0,0.0,0.0,25.0,18.3,77,113,2.2,-11.6,Samardo Samuels
2011-01-21,22-012,CLE,HOME,MIL,L (-14),0,18:16,.452,.250,32.8,7.5,21.0,0.0,0.0,0.0,13.1,20.0,109,116,4.0,-8.2,Samardo Samuels
2011-01-22,22-013,CLE,AWAY,CHI,L (-13),0,6:50,.500,.500,11.9,17.6,14.2,0.0,0.0,0.0,0.0,12.5,115,102,1.6,-4.0,Samardo Samuels
2011-01-24,22-015,CLE,AWAY,NJN,L (-2),0,12:02,1.025,1.000,10.2,19.0,14.8,0.0,0.0,0.0,45.0,16.0,105,114,2.9,-5.0,Samardo Samuels
2011-01-25,22-016,CLE,AWAY,BOS,L (-17),0,21:30,.442,.400,5.0,15.6,10.1,8.0,0.0,7.4,20.9,30.2,76,116,4.1,-9.4,Samardo Samuels
2011-01-28,22-019,CLE,HOME,DEN,L (-14),0,5:06,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,99,128,1.0,-6.4,Samardo Samuels
2011-01-30,22-021,CLE,AWAY,ORL,L (-16),0,18:33,.784,.750,6.0,4.9,5.4,0.0,2.7,0.0,8.9,28.0,139,109,11.8,7.3,Samardo Samuels
2011-01-31,22-022,CLE,AWAY,MIA,L (-27),0,22:18,.387,.333,9.0,5.0,7.1,0.0,0.0,3.1,43.6,13.6,56,130,-1.3,-16.0,Samardo Samuels
2011-02-02,22-024,CLE,HOME,IND,L (-5),0,5:33,.521,.500,0.0,20.6,10.7,0.0,0.0,0.0,0.0,23.4,104,121,1.9,-6.6,Samardo Samuels
2011-02-05,22-027,CLE,HOME,POR,L (-6),0,5:32,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,136,-1.1,-22.7,Samardo Samuels
2011-02-13,22-035,CLE,HOME,WAS,L (-15),0,8:23,.410,.250,11.5,27.9,18.9,0.0,0.0,0.0,0.0,24.6,106,121,2.1,-12.3,Samardo Samuels
2011-02-23,22-045,CLE,HOME,HOU,L (-5),0,18:10,.750,.750,6.3,0.0,2.8,8.5,0.0,3.6,11.1,22.1,132,134,8.7,-0.8,Samardo Samuels
2011-02-25,22-047,CLE,HOME,NYK,W (+6),0,17:36,.125,.125,11.4,14.6,13.1,15.0,0.0,3.8,20.0,21.8,48,107,-1.6,-15.4,Samardo Samuels
2011-02-27,22-049,CLE,HOME,PHI,L (-4),0,23:59,.615,.625,4.4,25.7,14.3,0.0,0.0,3.0,0.0,18.3,126,101,8.9,2.3,Samardo Samuels
2011-03-02,22-052,CLE,HOME,SAS,L (-10),1,33:47,.569,.556,21.4,7.5,15.6,19.6,0.0,0.0,0.0,25.6,135,123,21.1,6.2,Samardo Samuels
2011-03-04,22-054,CLE,AWAY,NYK,W (+4),1,30:47,.560,.556,14.9,9.2,12.3,4.4,1.7,0.0,6.9,20.3,124,126,11.2,-4.6,Samardo Samuels
2011-03-06,22-056,CLE,HOME,NOH,L (-15),1,31:53,.455,.444,10.0,23.5,15.6,6.9,0.0,6.9,19.9,21.6,82,106,7.3,-3.4,Samardo Samuels
2011-03-08,22-058,CLE,HOME,GSW,L (-10),1,30:55,.370,.357,18.1,15.1,16.6,6.7,0.0,0.0,16.8,24.8,80,112,4.4,-9.5,Samardo Samuels
2011-03-09,22-059,CLE,AWAY,MIL,L (-20),1,31:00,.656,.636,8.1,14.1,10.9,0.0,1.7,0.0,14.9,21.1,108,117,10.6,-2.6,Samardo Samuels
2011-03-13,22-063,CLE,HOME,OKC,L (-20),1,23:06,.379,.273,7.7,37.8,21.2,20.0,0.0,3.4,0.0,25.3,100,102,8.6,3.2,Samardo Samuels
2011-03-16,22-066,CLE,AWAY,SAC,W (+4),1,27:32,.477,.455,8.9,3.4,5.7,6.0,1.8,0.0,18.0,28.1,87,102,4.9,-8.1,Samardo Samuels
2011-03-17,22-067,CLE,AWAY,POR,L (-41),1,19:49,.329,.125,6.5,13.1,9.8,13.0,0.0,0.0,8.6,31.3,74,137,1.2,-12.2,Samardo Samuels
2011-03-19,22-069,CLE,AWAY,LAC,L (-8),1,31:37,.704,.667,13.0,8.4,10.7,5.6,5.0,2.5,19.9,23.4,119,102,14.0,2.5,Samardo Samuels
2011-03-21,22-071,CLE,HOME,ORL,L (-11),1,19:05,.400,.286,5.6,18.9,11.8,9.3,2.7,0.0,36.3,32.9,57,102,-0.4,-17.4,Samardo Samuels
2011-03-23,22-073,CLE,HOME,NJN,L (-4),0,21:44,.340,.300,26.6,8.3,17.1,9.1,0.0,3.3,14.5,27.4,82,104,4.0,-9.1,Samardo Samuels
2011-03-25,22-075,CLE,HOME,DET,W (+6),0,18:19,.514,.429,11.9,5.7,8.7,0.0,5.9,3.5,10.2,23.7,113,94,6.7,-0.9,Samardo Samuels
2011-03-27,22-077,CLE,HOME,ATL,L (-16),0,21:41,.549,.500,4.0,5.7,4.7,0.0,2.4,0.0,0.0,17.0,117,105,5.2,-2.9,Samardo Samuels
2011-03-29,22-079,CLE,HOME,MIA,W (+12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Samardo Samuels
2011-03-30,22-080,CLE,AWAY,CHA,L (-1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Samardo Samuels
2011-04-01,22-082,CLE,AWAY,WAS,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Samardo Samuels
2011-04-03,22-084,CLE,AWAY,NYK,L (-16),0,28:25,.514,.571,14.9,25.3,20.5,0.0,0.0,2.8,36.3,20.8,72,124,2.1,-13.0,Samardo Samuels
2011-04-05,22-086,CLE,HOME,CHA,W (+10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Samardo Samuels
2011-12-28,22-353,CLE,AWAY,DET,W (+16),0,24:33,.799,.750,7.0,15.4,11.8,6.9,0.0,0.0,22.0,26.5,126,107,11.9,-0.7,Samardo Samuels
