DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2001-10-30,31-338,POR,AWAY,LAL,L (-11),0,21:36,.615,.500,5.6,13.6,10.0,0.0,2.3,3.5,9.3,23.5,115,101,7.9,0.9,Shawn Kemp
2001-10-31,31-339,POR,HOME,GSW,W (+5),0,18:23,.500,.500,12.4,27.4,19.5,0.0,3.0,3.6,25.0,20.1,80,89,3.7,-6.6,Shawn Kemp
2001-11-03,31-342,POR,HOME,SAS,L (-16),0,18:33,.510,.400,5.9,37.0,21.1,0.0,0.0,4.7,40.5,24.4,64,109,0.9,-10.8,Shawn Kemp
2001-11-04,31-343,POR,AWAY,GSW,L (-10),0,10:35,1.000,1.000,0.0,25.7,14.1,0.0,5.1,0.0,42.9,32.3,78,82,3.7,-4.5,Shawn Kemp
2001-11-06,31-345,POR,HOME,UTA,W (+18),0,4:16,1.000,1.000,42.9,41.4,42.1,0.0,0.0,0.0,66.7,36.3,56,97,-0.1,-22.5,Shawn Kemp
2001-11-08,31-347,POR,HOME,LAC,W (+18),0,9:02,.858,1.000,13.3,36.8,23.2,0.0,0.0,0.0,0.0,20.1,185,111,6.0,3.3,Shawn Kemp
2001-11-10,31-349,POR,AWAY,IND,L (-9),0,13:01,.250,.250,0.0,16.4,9.3,0.0,0.0,0.0,20.0,18.6,44,121,-2.4,-21.4,Shawn Kemp
2001-11-11,31-350,POR,AWAY,DET,W (+2),0,10:36,.667,.667,0.0,13.0,6.2,0.0,0.0,0.0,40.0,21.9,70,109,0.2,-10.8,Shawn Kemp
2001-11-13,31-352,POR,AWAY,NYK,L (-7),0,7:18,.000,.000,0.0,0.0,0.0,0.0,7.9,0.0,0.0,12.3,0,95,-1.2,-12.9,Shawn Kemp
2001-11-15,31-354,POR,AWAY,MEM,W (+16),0,5:16,.000,.000,0.0,0.0,0.0,25.9,0.0,0.0,0.0,9.2,61,118,0.0,-7.9,Shawn Kemp
2001-11-17,31-356,POR,AWAY,CHH,W (+10),0,9:49,.600,.600,17.8,0.0,7.6,0.0,0.0,0.0,0.0,24.7,126,112,3.6,-3.7,Shawn Kemp
2001-11-20,31-359,POR,HOME,HOU,L (-7),0,16:02,.820,.750,0.0,8.1,3.8,0.0,3.5,0.0,17.0,17.9,130,105,5.1,0.9,Shawn Kemp
2001-11-21,31-360,POR,AWAY,SAC,L (-12),0,22:21,.470,.364,10.4,31.8,21.8,8.3,2.4,0.0,13.6,32.8,93,96,8.3,-0.9,Shawn Kemp
2001-11-23,31-362,POR,HOME,DEN,W (+7),0,13:31,.512,.500,16.7,17.6,17.1,16.9,0.0,0.0,9.3,37.2,105,114,6.5,-1.0,Shawn Kemp
2001-11-27,32-001,POR,HOME,IND,W (+6),0,5:52,.532,.000,0.0,0.0,0.0,0.0,0.0,0.0,34.7,21.9,74,104,0.3,-10.6,Shawn Kemp
2001-11-30,32-004,POR,HOME,MIL,W (+6),0,8:18,.258,.000,14.3,0.0,7.7,0.0,0.0,0.0,0.0,22.6,97,123,-0.6,-23.9,Shawn Kemp
2001-12-06,32-010,POR,HOME,CHH,L (-6),0,14:00,.798,.500,9.5,28.0,20.2,11.6,0.0,0.0,44.4,21.9,98,104,3.8,-3.1,Shawn Kemp
2001-12-08,32-012,POR,HOME,SEA,W (+21),0,12:07,.600,.600,22.9,19.0,20.8,0.0,0.0,6.3,0.0,19.2,137,102,5.6,1.5,Shawn Kemp
2001-12-11,32-015,POR,AWAY,DAL,L (-2),0,13:19,.410,.250,9.7,22.2,16.8,0.0,0.0,5.5,29.1,24.1,72,112,1.1,-11.9,Shawn Kemp
2001-12-14,32-018,POR,AWAY,UTA,L (-8),0,21:43,.479,.444,5.5,16.4,10.9,0.0,5.2,3.5,19.3,34.3,81,102,5.4,-4.5,Shawn Kemp
2001-12-15,32-019,POR,HOME,ORL,W (+11),0,7:54,.500,.500,0.0,0.0,0.0,15.8,0.0,0.0,50.0,23.8,58,129,-0.3,-13.9,Shawn Kemp
2001-12-18,32-022,POR,AWAY,HOU,W (+9),0,10:14,.333,.333,0.0,12.0,6.2,0.0,11.7,0.0,25.0,19.6,53,94,0.8,-10.0,Shawn Kemp
2001-12-19,32-023,POR,AWAY,SAS,L (-18),0,7:55,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,16.8,0,118,-2.8,-23.1,Shawn Kemp
2001-12-21,32-025,POR,HOME,DET,W (+2),0,7:21,.521,.500,0.0,35.2,16.3,0.0,0.0,0.0,0.0,18.6,117,95,1.8,-0.8,Shawn Kemp
2001-12-22,32-026,POR,AWAY,PHO,L (-12),0,2:16,.000,.000,0.0,55.8,28.6,0.0,0.0,0.0,0.0,23.4,0,101,-0.8,-31.6,Shawn Kemp
2001-12-27,32-031,POR,HOME,UTA,L (-12),0,8:24,.665,.500,0.0,27.4,13.9,0.0,0.0,0.0,34.7,30.1,88,114,1.8,-7.2,Shawn Kemp
2001-12-30,32-034,POR,HOME,MIN,L (-2),0,12:37,.333,.333,9.5,47.6,26.4,10.2,0.0,6.6,0.0,12.0,99,107,2.4,-5.4,Shawn Kemp
2002-01-01,32-036,POR,AWAY,LAC,L (-15),0,5:41,1.000,1.000,21.1,25.8,23.2,24.2,0.0,0.0,0.0,7.7,204,132,3.0,9.3,Shawn Kemp
2002-01-02,32-037,POR,HOME,TOR,L (-11),0,15:27,.658,.500,6.3,41.0,21.3,13.0,3.6,0.0,0.0,15.5,157,97,8.1,11.4,Shawn Kemp
2002-01-05,32-040,POR,HOME,PHI,W (+8),0,13:22,.833,.833,20.0,37.9,29.1,31.4,4.1,0.0,14.3,25.0,143,91,11.4,19.5,Shawn Kemp
2002-01-07,32-042,POR,AWAY,CLE,W (+26),0,20:02,.279,.222,0.0,15.0,8.6,7.0,8.6,3.3,8.5,29.4,63,71,2.8,-8.0,Shawn Kemp
2002-01-08,32-043,POR,AWAY,ATL,L (-9),0,13:42,.340,.200,0.0,21.4,9.3,0.0,3.5,11.8,0.0,18.3,80,90,2.7,-2.4,Shawn Kemp
2002-01-10,32-045,POR,AWAY,MIA,W (+7),0,24:30,.515,.333,26.2,10.7,19.2,0.0,4.8,0.0,0.0,23.0,139,105,12.5,4.0,Shawn Kemp
2002-01-11,32-046,POR,AWAY,ORL,W (+8),0,11:13,.338,.250,10.4,10.1,10.3,0.0,0.0,7.9,31.1,26.2,61,102,-0.5,-16.6,Shawn Kemp
2002-01-13,32-048,POR,HOME,CLE,W (+32),0,18:00,.442,.400,12.7,30.3,21.7,0.0,3.3,0.0,8.1,31.4,102,73,5.5,-6.0,Shawn Kemp
