DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2018-10-16,30-216,GSW,HOME,OKC,W (+8),1,36:37,.721,.675,0.0,18.4,10.2,42.8,1.3,0.0,11.9,26.7,141,97,27.5,17.1,Stephen Curry
2018-10-19,30-219,GSW,AWAY,UTA,W (+1),1,37:07,.634,.646,3.6,8.6,6.4,32.1,2.5,0.0,14.1,33.2,118,121,23.4,5.6,Stephen Curry
2018-10-21,30-221,GSW,AWAY,DEN,L (-2),1,39:13,.606,.565,0.0,10.4,5.6,30.9,0.0,0.0,7.5,30.5,116,108,19.7,9.7,Stephen Curry
2018-10-22,30-222,GSW,HOME,PHO,W (+20),1,29:40,.768,.778,0.0,14.4,7.6,47.6,3.2,0.0,13.7,31.2,129,100,26.2,17.2,Stephen Curry
2018-10-24,30-224,GSW,HOME,WAS,W (+22),1,31:35,.898,.854,0.0,13.5,7.4,15.1,0.0,3.0,6.6,39.2,163,117,41.8,23.0,Stephen Curry
2018-10-26,30-226,GSW,AWAY,NYK,W (+28),1,33:24,.751,.722,4.1,9.8,7.3,7.8,1.4,0.0,13.4,30.2,129,105,20.6,4.2,Stephen Curry
2018-10-28,30-228,GSW,AWAY,BRK,W (+6),1,36:16,.602,.558,3.0,19.9,11.0,13.5,1.3,0.0,6.4,36.9,121,119,24.0,4.8,Stephen Curry
2018-10-29,30-229,GSW,AWAY,CHI,W (+25),1,24:50,.952,.889,0.0,29.2,16.6,24.5,3.7,0.0,7.6,22.1,185,112,25.2,14.0,Stephen Curry
2018-10-31,30-231,GSW,HOME,NOP,W (+10),1,36:53,.802,.775,0.0,5.7,3.0,37.3,2.5,0.0,17.8,30.7,134,118,30.1,12.7,Stephen Curry
2018-11-02,30-233,GSW,HOME,MIN,W (+17),1,35:28,.563,.542,3.1,19.0,12.2,33.7,0.0,4.8,13.9,34.4,109,98,19.8,5.2,Stephen Curry
2018-11-05,30-236,GSW,HOME,MEM,W (+16),1,32:04,.506,.441,8.8,10.7,9.8,32.7,1.6,2.7,21.0,34.2,100,104,13.0,-0.8,Stephen Curry
2018-11-08,30-239,GSW,HOME,MIL,L (-23),1,26:06,.357,.357,0.0,4.3,2.2,33.6,0.0,0.0,12.5,25.7,81,132,3.1,-12.5,Stephen Curry
2018-12-01,30-262,GSW,AWAY,DET,L (-9),1,36:30,.593,.548,0.0,13.2,7.2,15.3,2.7,0.0,23.5,36.2,90,110,13.3,-1.7,Stephen Curry
2018-12-03,30-264,GSW,AWAY,ATL,W (+17),1,29:06,.800,.765,0.0,11.8,6.7,10.5,1.6,2.6,13.8,32.1,128,106,21.5,6.9,Stephen Curry
2018-12-05,30-266,GSW,AWAY,CLE,W (+24),1,33:47,.831,.775,0.0,26.1,14.7,33.9,1.5,0.0,7.3,37.4,160,109,38.2,22.1,Stephen Curry
2018-12-07,30-268,GSW,AWAY,MIL,W (+10),1,35:37,.559,.529,0.0,10.4,5.6,35.3,1.3,0.0,14.4,25.8,107,96,14.5,3.7,Stephen Curry
